Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
25,58,50,,P\xf6stlberger Lukas,1,BORA - hansgrohe,,,1,2017
22,123,35,,Ewan Caleb,2,ORICA-Scott,,,1,2017
28,148,32,,Teklehaimanot Daniel,3,Team Dimension Data,,,1,2017
27,219,28,,Zhupa Eugert,4,Wilier Triestina - Selle Italia,,,1,2017
34,100,25,,Greipel Andr\xe9,5,Lotto Soudal,,,1,2017
35,92,18,,Brutt Pavel,6,Gazprom-RusVelo,,,1,2017
28,196,18,,Nizzolo Giacomo,7,Trek - Segafredo,,,1,2017
26,147,18,,Sbaragli Kristian,8,Team Dimension Data,,,1,2017
29,205,14,,Modolo Sacha,9,UAE Team Emirates,,,1,2017
33,72,12,,Bialoblocki Marcin,10,CCC Sprandi Polkowice,,,1,2017
25,199,10,,Stuyven Jasper,11,Trek - Segafredo,,,1,2017
29,52,10,,Benedetti Cesare,12,BORA - hansgrohe,,,1,2017
22,145,8,,Gibbons Ryan,13,Team Dimension Data,,,1,2017
26,53,7,,Bennett Sam,14,BORA - hansgrohe,,,1,2017
22,182,6,,Bauhaus Phil,15,Team Sunweb,,,1,2017
23,56,5,,M\xfchlberger Gregor,16,BORA - hansgrohe,,,1,2017
22,135,4,,Gaviria Fernando,17,Quick-Step Floors,,,1,2017
27,162,3,,Battaglin Enrico,18,Team LottoNL-Jumbo,,,1,2017
27,156,2,,Kuznetsov Viacheslav,19,Team Katusha - Alpecin,,,1,2017
28,141,2,,Haas Nathan,20,Team Dimension Data,,,1,2017
39,128,2,,Tuft Svein,21,ORICA-Scott,,,1,2017
24,131,1,,Jungels Bob,22,Quick-Step Floors,,,1,2017
37,101,1,,Bak Lars Ytting,23,Lotto Soudal,,,1,2017
28,139,1,,Serry Pieter,24,Quick-Step Floors,,,1,2017
34,100,75,5.0,Greipel Andr\xe9,1,Lotto Soudal,,\u25b24,2,2017
28,148,72,3.0,Teklehaimanot Daniel,2,Team Dimension Data,,\u25b21,2,2017
25,58,51,1.0,P\xf6stlberger Lukas,3,BORA - hansgrohe,,\u25bc2,2,2017
22,123,42,2.0,Ewan Caleb,4,ORICA-Scott,,\u25bc2,2,2017
26,147,38,8.0,Sbaragli Kristian,5,Team Dimension Data,,\u25b23,2,2017
34,203,35,,Ferrari Roberto,6,UAE Team Emirates,,-,2,2017
25,199,35,11.0,Stuyven Jasper,7,Trek - Segafredo,,\u25b24,2,2017
27,219,28,4.0,Zhupa Eugert,8,Wilier Triestina - Selle Italia,,\u25bc4,2,2017
22,135,22,17.0,Gaviria Fernando,9,Quick-Step Floors,,\u25b28,2,2017
26,215,20,,Koshevoy Ilia,10,Wilier Triestina - Selle Italia,,-,2,2017
35,92,18,6.0,Brutt Pavel,11,Gazprom-RusVelo,,\u25bc5,2,2017
22,145,18,13.0,Gibbons Ryan,12,Team Dimension Data,,\u25b21,2,2017
28,196,18,7.0,Nizzolo Giacomo,13,Trek - Segafredo,,\u25bc6,2,2017
23,33,18,,Andreetta Simone,14,Bardiani - CSF,,-,2,2017
27,162,15,18.0,Battaglin Enrico,15,Team LottoNL-Jumbo,,\u25b23,2,2017
29,205,14,9.0,Modolo Sacha,16,UAE Team Emirates,,\u25bc7,2,2017
25,98,12,,Shalunov Evgeny,17,Gazprom-RusVelo,,-,2,2017
33,72,12,10.0,Bialoblocki Marcin,18,CCC Sprandi Polkowice,,\u25bc8,2,2017
29,52,11,12.0,Benedetti Cesare,19,BORA - hansgrohe,,\u25bc7,2,2017
27,74,10,,Owsian Lukasz,20,CCC Sprandi Polkowice,,-,2,2017
30,179,8,,Thomas Geraint,21,Team Sky,,-,2,2017
26,53,7,14.0,Bennett Sam,22,BORA - hansgrohe,,\u25bc8,2,2017
30,201,6,,Costa Rui,23,UAE Team Emirates,,-,2,2017
22,182,6,15.0,Bauhaus Phil,24,Team Sunweb,,\u25bc9,2,2017
33,19,5,,Montaguti Matteo,25,AG2R La Mondiale,,-,2,2017
23,56,5,16.0,M\xfchlberger Gregor,26,BORA - hansgrohe,,\u25bc10,2,2017
25,68,4,,Villella Davide,27,Cannondale-Drapac Pro Cycling Team,,-,2,2017
32,1,3,,Nibali Vincenzo,28,Bahrain Merida Pro Cycling Team,,-,2,2017
32,51,3,,B\xe1rta Jan,29,BORA - hansgrohe,,-,2,2017
28,141,2,20.0,Haas Nathan,30,Team Dimension Data,,\u25bc10,2,2017
