Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,81,15,,Boardman Christopher,1,GAN,,0,1998
28,71,12,,Olano Abraham,2,Banesto,,0,1998
29,41,10,,Jalabert Laurent,3,O.N.C.E.,,0,1998
26,135,8,,Julich Bobby,4,Cofidis,,0,1998
27,16,6,,Moreau Christophe,5,Festina - Lotus,,0,1998
24,1,5,,Ullrich Jan,6,Team Telekom - ARD,,0,1998
30,19,4,,Z\xfclle Alex,7,Festina - Lotus,,0,1998
29,13,3,,Dufaux Laurent,8,Festina - Lotus,,0,1998
35,94,2,,Tchmil Andrei,9,Lotto - Mobistar,,0,1998
32,185,1,,Ekimov Viatcheslav,10,US Postal Service,,0,1998
26,36,35,,Steels Tom,1,Mapei - Bricobi,-,1,1998
28,9,34,,Zabel Erik,2,Team Telekom - ARD,-,1,1998
26,55,26,,van Bon L\xe9on,3,Rabobank ProTeam,-,1,1998
27,114,24,,Fagnini Gian-matteo,4,Saeco Macchine da Caffe' - Cannondale,-,1,1998
29,41,24,3.0,Jalabert Laurent,5,O.N.C.E.,\u25bc2,1,1998
28,197,22,,Minali Nicola,6,Riso Scotti - MG,-,1,1998
29,83,22,,Moncassin Fr\xe9d\xe9ric,7,GAN,-,1,1998
29,37,22,,Svorada Jan,8,Mapei - Bricobi,-,1,1998
25,133,19,,Gaumont Philippe,9,Cofidis,-,1,1998
26,29,18,,Traversoni Mario,10,Mercatone Uno,-,1,1998
29,87,17,,Simon Fran\xe7ois,11,GAN,-,1,1998
25,134,15,,Jalabert Nicolas,12,Cofidis,-,1,1998
29,81,15,1.0,Boardman Christopher,13,GAN,\u25bc12,1,1998
35,147,13,,Martinello Silvio,14,Polti,-,1,1998
25,187,12,,Hincapie George,15,US Postal Service,-,1,1998
28,71,12,2.0,Olano Abraham,16,Banesto,\u25bc14,1,1998
28,67,11,,Kirsipuu Jaan,17,Casino - AG2R,-,1,1998
24,84,10,,O'Grady Stuart,18,GAN,-,1,1998
31,65,10,,Durand Jacky,19,Casino - AG2R,-,1,1998
23,152,9,,Bongioni Alessio,20,Asics - CGA,-,1,1998
30,12,8,,Brochard Laurent,21,Festina - Lotus,-,1,1998
26,135,8,4.0,Julich Bobby,22,Cofidis,\u25bc18,1,1998
29,39,8,,Zanini Stefano,23,Mapei - Bricobi,-,1,1998
29,205,7,,Djavanian Viatcheslav,24,BigMat - Auber 93,-,1,1998
27,126,6,,Magnien Emmanuel,25,La Fran\xe7aise des Jeux,-,1,1998
27,16,6,5.0,Moreau Christophe,26,Festina - Lotus,\u25bc21,1,1998
26,102,5,,Blijlevens Jeroen,27,TVM - Farm Frites,-,1,1998
24,1,5,6.0,Ullrich Jan,28,Team Telekom - ARD,\u25bc22,1,1998
28,58,4,,Vierhouten Aart,29,Rabobank ProTeam,-,1,1998
30,19,4,7.0,Z\xfclle Alex,30,Festina - Lotus,\u25bc23,1,1998
26,97,4,,Van Hyfte Paul,31,Lotto - Mobistar,-,1,1998
28,78,3,,Sergio Rodrigues Orlando,32,Banesto,-,1,1998
29,13,3,8.0,Dufaux Laurent,33,Festina - Lotus,\u25bc25,1,1998
27,88,2,,Vasseur C\xe9dric,34,GAN,-,1,1998
35,94,2,9.0,Tchmil Andrei,35,Lotto - Mobistar,\u25bc26,1,1998
26,143,2,,Crepaldi Mirco,36,Polti,-,1,1998
24,32,1,,Di Grande Giuseppe,37,Mapei - Bricobi,-,1,1998
32,185,1,10.0,Ekimov Viatcheslav,38,US Postal Service,\u25bc28,1,1998
26,36,63,1.0,Steels Tom,1,Mapei - Bricobi,-,2,1998
29,37,57,8.0,Svorada Jan,2,Mapei - Bricobi,\u25b26,2,1998
26,55,56,3.0,van Bon L\xe9on,3,Rabobank ProTeam,-,2,1998
