Rnk,Rider,Age,Team,Pnt,year,stage
1,Zabel Erik,31,Team Telekom,63,2002,9
2,Teutenberg Sven,29,Phonak Hearing Systems,60,2002,9
3,Z\xfclle Alex,33,Team Coast,51,2002,9
4,Rodriguez Fred,28,Domo - Farm Frites,38,2002,9
5,Casagrande Francesco,31,Fassa Bortolo,37,2002,9
6,Moos Alexandre,29,Phonak Hearing Systems,37,2002,9
7,Dufaux Laurent,33,Alessio,33,2002,9
8,Garate Juan Manuel,26,Lampre - Daikin,25,2002,9
9,Wadecki Piotr,29,Domo - Farm Frites,24,2002,9
10,Zberg Markus,28,Rabobank ProTeam,24,2002,9
11,Hauptman Andrej,27,Tacconi Sport,24,2002,9
12,Steinhauser Tobias,31,Gerolsteiner,22,2002,9
13,Luttenberger Peter,29,Tacconi Sport,22,2002,9
14,Di Grande Giuseppe,28,,20,2002,9
15,Cassani Enrico,30,Domo - Farm Frites,20,2002,9
16,Aldag Rolf,33,Team Telekom,16,2002,9
17,Julich Bobby,30,Team Telekom,16,2002,9
18,van Bon L\xe9on,30,Domo - Farm Frites,15,2002,9
19,Commesso Salvatore,27,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,15,2002,9
20,Flickinger Andy,23,AG2R Pr\xe9voyance,15,2002,9
21,Fritsch Nicolas,23,La Fran\xe7aise des Jeux,14,2002,9
22,Giabbecucci Federico,27,Acqua & Sapone,14,2002,9
23,Tonkov Pavel,33,Lampre - Daikin,13,2002,9
24,Agnolutto Christophe,32,AG2R Pr\xe9voyance,13,2002,9
25,Casper Jimmy,24,La Fran\xe7aise des Jeux,13,2002,9
26,Rebellin Davide,30,Gerolsteiner,12,2002,9
27,Kirchen Kim,23,Fassa Bortolo,12,2002,9
28,Loder Thierry,26,AG2R Pr\xe9voyance,11,2002,9
29,Bertogliati Rubens,23,Lampre - Daikin,11,2002,9
30,Wegelius Charles,24,Mapei - Quickstep,11,2002,9
31,Vanthourenhout Sven,21,Domo - Farm Frites,11,2002,9
32,Ludewig Jorg,26,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,10,2002,9
33,Totschnig Georg,31,Gerolsteiner,9,2002,9
34,Pencol\xe9 Franck,25,La Fran\xe7aise des Jeux,9,2002,9
35,Zanotti Marco,28,Fassa Bortolo,9,2002,9
36,Zampieri Steve,25,Tacconi Sport,7,2002,9
37,Hunter Robert,25,Mapei - Quickstep,7,2002,9
38,Guerra Alessandro,28,,7,2002,9
39,Valjavec Tadej,25,Fassa Bortolo,6,2002,9
40,Zberg Beat,31,Rabobank ProTeam,6,2002,9
41,Boven Jan,30,Rabobank ProTeam,6,2002,9
42,Da Cruz Carlos,27,La Fran\xe7aise des Jeux,5,2002,9
43,Ivanov Serguei,27,Fassa Bortolo,5,2002,9
44,Ivanov Ruslan,28,Alessio,5,2002,9
45,Elmiger Martin,23,Phonak Hearing Systems,4,2002,9
46,Schnider Daniel,28,Phonak Hearing Systems,4,2002,9
47,Gonzalez Santos,28,Acqua & Sapone,4,2002,9
48,Trampusch Gerhard,23,Mapei - Quickstep,4,2002,9
49,Gaynitdinov Dmitri,24,Tacconi Sport,4,2002,9
50,Lobato Ruben,23,Acqua & Sapone,3,2002,9
51,Mengin Christophe,33,La Fran\xe7aise des Jeux,2,2002,9
52,Kroon Karsten,26,Rabobank ProTeam,1,2002,9
53,Aggiano Elio,30,Mapei - Quickstep,1,2002,9
