Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,1.0,-,137,Meyer Cameron,25,Orica GreenEDGE,15,2013,2
2,,-,114,Mollema Bauke,26,Blanco Pro Cycling Team,15,2013,2
3,9.0,\u25b26,62,Hesjedal Ryder,32,Garmin Sharp,13,2013,2
4,12.0,\u25b28,73,Frank Mathias,26,BMC Racing Team,13,2013,2
5,2.0,\u25bc3,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,2
6,,-,166,Pinot Thibaut,23,FDJ.fr,10,2013,2
7,3.0,\u25bc4,194,Haussler Heinrich,29,IAM Cycling,10,2013,2
8,4.0,\u25bc4,67,Rasmussen Alex,29,Garmin Sharp,9,2013,2
9,,-,191,Tschopp Johann,30,IAM Cycling,8,2013,2
10,5.0,\u25bc5,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,2
11,,-,64,Martin Daniel,26,Garmin Sharp,7,2013,2
12,6.0,\u25bc6,195,Hollenstein Reto,27,IAM Cycling,7,2013,2
13,11.0,\u25bc2,8,Visconti Giovanni,30,Movistar Team,6,2013,2
14,,-,121,Kreuziger Roman,27,Team Saxo - Tinkoff,6,2013,2
15,7.0,\u25bc8,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,2
16,,-,96,Scarponi Michele,33,Lampre - Merida,5,2013,2
17,8.0,\u25bc9,48,Velits Peter,28,Omega Pharma - Quick-Step,5,2013,2
18,,-,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,2
19,10.0,\u25bc9,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,2
20,,-,91,Ulissi Diego,23,Lampre - Merida,2,2013,2
21,,-,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,2
1,2.0,\u25b21,114,Mollema Bauke,26,Blanco Pro Cycling Team,23,2013,3
2,4.0,\u25b22,73,Frank Mathias,26,BMC Racing Team,22,2013,3
3,14.0,\u25b211,121,Kreuziger Roman,27,Team Saxo - Tinkoff,16,2013,3
4,1.0,\u25bc3,137,Meyer Cameron,25,Orica GreenEDGE,15,2013,3
