Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
25,185,13.0,,Watson Calvin,1,Aqua Blue Sport,,2,2018
28,71,12.0,,Sagan Peter,2,BORA - hansgrohe,,2,2018
23,122,8.0,,Gaviria Fernando,3,Quick-Step Floors,,2,2018
24,13,6.0,,K\xfcng Stefan,4,BMC Racing Team,,2,2018
29,3,6.0,,Haas Nathan,5,Team Katusha - Alpecin,,2,2018
34,195,6.0,,Quemeneur Perrig,6,Direct Energie,,2,2018
27,36,4.0,,Matthews Michael,7,Team Sunweb,,2,2018
27,5,3.0,,Lammertink Maurits,8,Team Katusha - Alpecin,,2,2018
21,66,2.0,,Padun Mark,9,Bahrain Merida Pro Cycling Team,,2,2018
22,207,2.0,,Zaccanti Filippo,10,Nippo - Vini Fantini - Europa Ovini,,2,2018
25,185,19.0,1.0,Watson Calvin,1,Aqua Blue Sport,-,3,2018
28,71,18.0,2.0,Sagan Peter,2,BORA - hansgrohe,-,3,2018
23,122,16.0,3.0,Gaviria Fernando,3,Quick-Step Floors,-,3,2018
28,64,12.0,,Colbrelli Sonny,4,Bahrain Merida Pro Cycling Team,-,3,2018
22,207,9.0,10.0,Zaccanti Filippo,5,Nippo - Vini Fantini - Europa Ovini,\u25b25,3,2018
24,13,6.0,4.0,K\xfcng Stefan,6,BMC Racing Team,\u25bc2,3,2018
29,3,6.0,5.0,Haas Nathan,7,Team Katusha - Alpecin,\u25bc2,3,2018
34,195,6.0,6.0,Quemeneur Perrig,8,Direct Energie,\u25bc2,3,2018
27,36,4.0,7.0,Matthews Michael,9,Team Sunweb,\u25bc2,3,2018
37,21,4.0,,Albasini Michael,10,Mitchelton-Scott,-,3,2018
23,193,4.0,,Grellier Fabien,11,Direct Energie,-,3,2018
27,5,3.0,8.0,Lammertink Maurits,12,Team Katusha - Alpecin,\u25bc4,3,2018
28,23,3.0,,Juul-Jensen Christopher,13,Mitchelton-Scott,-,3,2018
21,66,2.0,9.0,Padun Mark,14,Bahrain Merida Pro Cycling Team,\u25bc5,3,2018
25,56,2.0,,Cort Nielsen Magnus,15,Astana Pro Team,-,3,2018
28,71,,2.0,Sagan Peter,1,BORA - hansgrohe,\u25b21,4,2018
25,185,,1.0,Watson Calvin,2,Aqua Blue Sport,\u25bc1,4,2018
23,122,,3.0,Gaviria Fernando,3,Quick-Step Floors,-,4,2018
28,23,,13.0,Juul-Jensen Christopher,4,Mitchelton-Scott,\u25b29,4,2018
28,64,,4.0,Colbrelli Sonny,5,Bahrain Merida Pro Cycling Team,\u25bc1,4,2018
27,36,,9.0,Matthews Michael,6,Team Sunweb,\u25b23,4,2018
24,44,,,Peters Nans,7,AG2R La Mondiale,-,4,2018
27,182,,,Christian Mark,8,Aqua Blue Sport,-,4,2018
22,207,,5.0,Zaccanti Filippo,9,Nippo - Vini Fantini - Europa Ovini,\u25bc4,4,2018
24,13,,6.0,K\xfcng Stefan,10,BMC Racing Team,\u25bc4,4,2018
27,125,,,Lampaert Yves,11,Quick-Step Floors,-,4,2018
29,3,,7.0,Haas Nathan,12,Team Katusha - Alpecin,\u25bc5,4,2018
34,195,,8.0,Quemeneur Perrig,13,Direct Energie,\u25bc5,4,2018
37,21,,10.0,Albasini Michael,14,Mitchelton-Scott,\u25bc4,4,2018
23,193,,11.0,Grellier Fabien,15,Direct Energie,\u25bc4,4,2018
27,5,,12.0,Lammertink Maurits,16,Team Katusha - Alpecin,\u25bc4,4,2018
21,66,,14.0,Padun Mark,17,Bahrain Merida Pro Cycling Team,\u25bc3,4,2018
25,56,,15.0,Cort Nielsen Magnus,18,Astana Pro Team,\u25bc3,4,2018
24,194,,,Ourselin Paul,19,Direct Energie,-,4,2018
26,142,,,Brown Nathan,20,Team EF Education First-Drapac p/b Cannondale,-,4,2018
28,71,22.0,1.0,Sagan Peter,1,BORA - hansgrohe,-,5,2018
25,185,19.0,2.0,Watson Calvin,2,Aqua Blue Sport,-,5,2018
23,122,16.0,3.0,Gaviria Fernando,3,Quick-Step Floors,-,5,2018
28,23,15.0,4.0,Juul-Jensen Christopher,4,Mitchelton-Scott,-,5,2018
28,64,14.0,5.0,Colbrelli Sonny,5,Bahrain Merida Pro Cycling Team,-,5,2018
28,177,12.0,,Ulissi Diego,6,UAE-Team Emirates,-,5,2018
27,36,12.0,6.0,Matthews Michael,7,Team Sunweb,\u25bc1,5,2018
24,44,9.0,7.0,Peters Nans,8,AG2R La Mondiale,\u25bc1,5,2018
27,182,9.0,8.0,Christian Mark,9,Aqua Blue Sport,\u25bc1,5,2018
22,207,9.0,9.0,Zaccanti Filippo,10,Nippo - Vini Fantini - Europa Ovini,\u25bc1,5,2018
23,126,8.0,,Mas Enric,11,Quick-Step Floors,-,5,2018
24,13,6.0,10.0,K\xfcng Stefan,12,BMC Racing Team,\u25bc2,5,2018
27,187,6.0,,Warbasse Larry,13,Aqua Blue Sport,-,5,2018
26,87,6.0,,Stuyven Jasper,14,Trek - Segafredo,-,5,2018
28,136,6.0,,Slagter Tom-Jelte,15,Team Dimension Data,-,5,2018
27,125,6.0,11.0,Lampaert Yves,16,Quick-Step Floors,\u25bc5,5,2018
29,3,6.0,12.0,Haas Nathan,17,Team Katusha - Alpecin,\u25bc5,5,2018
