Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28,22,15,,Cavendish Mark,1,Omega Pharma - Quick-Step,,1,2014
25,84,12,,Degenkolb John,2,Team Giant - Shimano,,1,2014
28,75,10,,Leezer Tom,3,Belkin-Pro Cycling Team,,1,2014
22,74,10,,Hofland Moreno,4,Belkin-Pro Cycling Team,,1,2014
24,61,7,,Sagan Peter,5,Cannondale,,1,2014
20,35,6,,van Poppel Danny,6,Trek Factory Racing,,1,2014
19,156,6,,Geoghegan Hart Tao,7,Bissell Development Team,,1,2014
19,154,5,,Daniel Gregory,8,Bissell Development Team,,1,2014
24,63,5,,Boivin Guillaume,9,Cannondale,,1,2014
25,126,4,,Young Eric,10,Optum p/b Kelly Benefit Strategies,,1,2014
27,51,3,,Goss Matthew,11,Orica GreenEDGE,,1,2014
27,97,3,,Reijnen Kiel,12,UnitedHealthcare Pro Cycling Team,,1,2014
23,5,2,,Phinney Taylor,13,BMC Racing Team,,1,2014
29,96,1,,Murphy John,14,UnitedHealthcare Pro Cycling Team,,1,2014
23,137,1,,Rathe Jacob,15,Jelly Belly p/b Maxxis,,1,2014
23,92,1,,Bolivar Isaac,16,UnitedHealthcare Pro Cycling Team,,1,2014
30,125,1,,Routley Will,17,Optum p/b Kelly Benefit Strategies,,1,2014
28,22,15,1.0,Cavendish Mark,1,Omega Pharma - Quick-Step,-,2,2014
25,84,12,2.0,Degenkolb John,2,Team Giant - Shimano,-,2,2014
28,75,10,3.0,Leezer Tom,3,Belkin-Pro Cycling Team,-,2,2014
22,74,10,4.0,Hofland Moreno,4,Belkin-Pro Cycling Team,-,2,2014
24,61,7,5.0,Sagan Peter,5,Cannondale,-,2,2014
20,35,6,6.0,van Poppel Danny,6,Trek Factory Racing,-,2,2014
19,156,6,7.0,Geoghegan Hart Tao,7,Bissell Development Team,-,2,2014
19,154,5,8.0,Daniel Gregory,8,Bissell Development Team,-,2,2014
24,63,5,9.0,Boivin Guillaume,9,Cannondale,-,2,2014
25,126,4,10.0,Young Eric,10,Optum p/b Kelly Benefit Strategies,-,2,2014
27,51,3,11.0,Goss Matthew,11,Orica GreenEDGE,-,2,2014
27,97,3,12.0,Reijnen Kiel,12,UnitedHealthcare Pro Cycling Team,-,2,2014
23,5,2,13.0,Phinney Taylor,13,BMC Racing Team,-,2,2014
