Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,6,21,,Terpstra Niki,1,Omega Pharma - Quick-Step,,1,2014
28,26,14,,Roelandts Jurgen,2,Lotto Belisol,,1,2014
27,36,10,,Schar Michael,3,BMC Racing Team,,1,2014
35,103,7,,Elmiger Martin,4,IAM Cycling,,1,2014
22,7,6,,van Keirsbulck Guillaume,5,Omega Pharma - Quick-Step,,1,2014
33,1,5,,Boonen Tom,6,Omega Pharma - Quick-Step,,1,2014
22,45,4,,Markus Barry,7,Belkin-Pro Cycling Team,,1,2014
22,51,3,,D\xe9mare Arnaud,8,FDJ.fr,,1,2014
26,81,2,,Kristoff Alexander,9,Team Katusha,,1,2014
25,151,2,,van Staeyen Michael,10,Topsport Vlaanderen - Baloise,,1,2014
23,131,1,,Bennett Sam,11,Team NetApp \u2013 Endura,,1,2014
31,27,1,,Sieberg Marcel,12,Lotto Belisol,,1,2014
29,6,28,1.0,Terpstra Niki,1,Omega Pharma - Quick-Step,-,2,2014
28,26,26,2.0,Roelandts Jurgen,2,Lotto Belisol,-,2,2014
33,1,22,6.0,Boonen Tom,3,Omega Pharma - Quick-Step,\u25b23,2,2014
28,128,12,,M\xf8rk\xf8v Michael,4,Tinkoff - Saxo,-,2,2014
27,36,10,3.0,Schar Michael,5,BMC Racing Team,\u25bc2,2,2014
23,2,7,,Fenn Andrew,6,Omega Pharma - Quick-Step,-,2,2014
35,103,7,4.0,Elmiger Martin,7,IAM Cycling,\u25bc3,2,2014
29,123,6,,Breschel Matti,8,Tinkoff - Saxo,-,2,2014
22,7,6,5.0,van Keirsbulck Guillaume,9,Omega Pharma - Quick-Step,\u25bc4,2,2014
26,67,5,,Stannard Ian,10,Team Sky,-,2,2014
31,27,4,12.0,Sieberg Marcel,11,Lotto Belisol,\u25b21,2,2014
22,45,4,7.0,Markus Barry,12,Belkin-Pro Cycling Team,\u25bc5,2,2014
27,4,3,,Maes Nikolas,13,Omega Pharma - Quick-Step,-,2,2014
22,51,3,8.0,D\xe9mare Arnaud,14,FDJ.fr,\u25bc6,2,2014
28,41,2,,Boom Lars,15,Belkin-Pro Cycling Team,-,2,2014
25,151,2,10.0,van Staeyen Michael,16,Topsport Vlaanderen - Baloise,\u25bc6,2,2014
26,81,2,9.0,Kristoff Alexander,17,Team Katusha,\u25bc8,2,2014
38,126,1,,Kroon Karsten,18,Tinkoff - Saxo,-,2,2014
27,115,1,,Kruopis Aidis,19,Orica GreenEDGE,-,2,2014
23,131,1,11.0,Bennett Sam,20,Team NetApp \u2013 Endura,\u25bc9,2,2014
29,6,34,1.0,Terpstra Niki,1,Omega Pharma - Quick-Step,-,3,2014
28,26,26,2.0,Roelandts Jurgen,2,Lotto Belisol,-,3,2014
33,1,22,3.0,Boonen Tom,3,Omega Pharma - Quick-Step,-,3,2014
22,111,15,,Hepburn Michael,4,Orica GreenEDGE,-,3,2014
28,41,14,15.0,Boom Lars,5,Belkin-Pro Cycling Team,\u25b210,3,2014
28,128,12,4.0,M\xf8rk\xf8v Michael,6,Tinkoff - Saxo,\u25bc2,3,2014
35,103,12,7.0,Elmiger Martin,7,IAM Cycling,-,3,2014
22,7,10,9.0,van Keirsbulck Guillaume,8,Omega Pharma - Quick-Step,\u25b21,3,2014
27,36,10,5.0,Schar Michael,9,BMC Racing Team,\u25bc4,3,2014
33,121,9,,Bennati Daniele,10,Tinkoff - Saxo,-,3,2014
23,2,7,6.0,Fenn Andrew,11,Omega Pharma - Quick-Step,\u25bc5,3,2014
