Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
30,201,5.0,,Millar David,1,Saunier Duval,,1,2007
32,142,5.0,,Auge St\xe9phane,2,Cofidis,,1,2007
27,132,3.0,,Bichot Freddy,3,Agritubel,,1,2007
23,184,2.0,,Grivko Andrei,4,Milram,,1,2007
27,156,2.0,,Kuchynski Aliaksandr,5,Liquigas,,1,2007
26,205,1.0,,De La Fuente David,6,Saunier Duval,,1,2007
30,201,5.0,1.0,Millar David,1,Saunier Duval,-,2,2007
32,142,5.0,2.0,Auge St\xe9phane,2,Cofidis,-,2,2007
27,132,3.0,3.0,Bichot Freddy,3,Agritubel,-,2,2007
23,184,2.0,4.0,Grivko Andrei,4,Milram,-,2,2007
27,156,2.0,5.0,Kuchynski Aliaksandr,5,Liquigas,-,2,2007
26,205,1.0,6.0,De La Fuente David,6,Saunier Duval,-,2,2007
32,142,8.0,2.0,Auge St\xe9phane,1,Cofidis,\u25b21,3,2007
30,201,5.0,1.0,Millar David,2,Saunier Duval,\u25bc1,3,2007
27,132,3.0,3.0,Bichot Freddy,3,Agritubel,-,3,2007
23,184,2.0,4.0,Grivko Andrei,4,Milram,-,3,2007
22,167,2.0,,Ladagnous Matthieu,5,Fran\xe7aise des Jeux,-,3,2007
27,156,2.0,5.0,Kuchynski Aliaksandr,6,Liquigas,\u25bc1,3,2007
27,159,1.0,,Willems Frederik,7,Liquigas,-,3,2007
26,205,1.0,6.0,De La Fuente David,8,Saunier Duval,\u25bc2,3,2007
32,142,9.0,1.0,Auge St\xe9phane,1,Cofidis,-,4,2007
28,141,7.0,,Chavanel Sylvain,2,Cofidis,-,4,2007
30,201,7.0,2.0,Millar David,3,Saunier Duval,\u25bc1,4,2007
26,185,5.0,,Knees Christian,4,Milram,-,4,2007
27,156,5.0,6.0,Kuchynski Aliaksandr,5,Liquigas,\u25b21,4,2007
27,132,3.0,3.0,Bichot Freddy,6,Agritubel,\u25bc3,4,2007
29,55,3.0,,Flecha Juan Antonio,7,Rabobank ProTeam,-,4,2007
23,184,2.0,4.0,Grivko Andrei,8,Milram,\u25bc4,4,2007
22,167,2.0,5.0,Ladagnous Matthieu,9,Fran\xe7aise des Jeux,\u25bc4,4,2007
25,127,2.0,,Sprick Matthieu,10,Bouygues Telecom,-,4,2007
27,159,1.0,7.0,Willems Frederik,11,Liquigas,\u25bc4,4,2007
26,205,1.0,8.0,De La Fuente David,12,Saunier Duval,\u25bc4,4,2007
28,79,1.0,,Verdugo Gorka,13,Euskaltel - Euskadi,-,4,2007
28,141,37.0,2.0,Chavanel Sylvain,1,Cofidis,\u25b21,5,2007
25,165,23.0,,Gilbert Philippe,2,Fran\xe7aise des Jeux,-,5,2007
25,102,15.0,,Bonnet William,3,Cr\xe9dit Agricole,-,5,2007
28,213,10.0,,Cheula Giampaolo,4,Barloworld,-,5,2007
32,142,9.0,1.0,Auge St\xe9phane,5,Cofidis,\u25bc4,5,2007
33,58,8.0,,Rasmussen Michael,6,Rabobank ProTeam,-,5,2007
30,201,7.0,3.0,Millar David,7,Saunier Duval,\u25bc4,5,2007
26,185,5.0,4.0,Knees Christian,8,Milram,\u25bc4,5,2007
27,156,5.0,5.0,Kuchynski Aliaksandr,9,Liquigas,\u25bc4,5,2007
27,117,5.0,,Paulinho S\xe9rgio,10,Discovery Channel,-,5,2007
31,125,4.0,,Lefevre Laurent,11,Bouygues Telecom,-,5,2007
27,132,3.0,6.0,Bichot Freddy,12,Agritubel,\u25bc6,5,2007
29,55,3.0,7.0,Flecha Juan Antonio,13,Rabobank ProTeam,\u25bc6,5,2007
29,27,3.0,,Kirchen Kim,14,T-Mobile Team,-,5,2007
23,184,2.0,8.0,Grivko Andrei,15,Milram,\u25bc7,5,2007
22,167,2.0,9.0,Ladagnous Matthieu,16,Fran\xe7aise des Jeux,\u25bc7,5,2007
25,127,2.0,10.0,Sprick Matthieu,17,Bouygues Telecom,\u25bc7,5,2007
27,18,1.0,,Valverde Alejandro,18,Caisse d'Epargne,-,5,2007
26,205,1.0,12.0,De La Fuente David,19,Saunier Duval,\u25bc7,5,2007
28,79,1.0,13.0,Verdugo Gorka,20,Euskaltel - Euskadi,\u25bc7,5,2007
27,159,1.0,11.0,Willems Frederik,21,Liquigas,\u25bc10,5,2007
28,141,37.0,1.0,Chavanel Sylvain,1,Cofidis,-,6,2007
25,165,23.0,2.0,Gilbert Philippe,2,Fran\xe7aise des Jeux,-,6,2007
25,102,15.0,3.0,Bonnet William,3,Cr\xe9dit Agricole,-,6,2007
28,213,10.0,4.0,Cheula Giampaolo,4,Barloworld,-,6,2007
32,142,9.0,5.0,Auge St\xe9phane,5,Cofidis,-,6,2007
33,58,8.0,6.0,Rasmussen Michael,6,Rabobank ProTeam,-,6,2007
30,201,7.0,7.0,Millar David,7,Saunier Duval,-,6,2007
26,185,5.0,8.0,Knees Christian,8,Milram,-,6,2007
27,156,5.0,9.0,Kuchynski Aliaksandr,9,Liquigas,-,6,2007
27,117,5.0,10.0,Paulinho S\xe9rgio,10,Discovery Channel,-,6,2007
31,125,4.0,11.0,Lefevre Laurent,11,Bouygues Telecom,-,6,2007
27,132,3.0,12.0,Bichot Freddy,12,Agritubel,-,6,2007
29,55,3.0,13.0,Flecha Juan Antonio,13,Rabobank ProTeam,-,6,2007
29,27,3.0,14.0,Kirchen Kim,14,T-Mobile Team,-,6,2007
23,184,2.0,15.0,Grivko Andrei,15,Milram,-,6,2007
22,167,2.0,16.0,Ladagnous Matthieu,16,Fran\xe7aise des Jeux,-,6,2007
25,127,2.0,17.0,Sprick Matthieu,17,Bouygues Telecom,-,6,2007
27,18,1.0,18.0,Valverde Alejandro,18,Caisse d'Epargne,-,6,2007
26,205,1.0,19.0,De La Fuente David,19,Saunier Duval,-,6,2007
28,79,1.0,20.0,Verdugo Gorka,20,Euskaltel - Euskadi,-,6,2007
27,159,1.0,21.0,Willems Frederik,21,Liquigas,-,6,2007
28,141,42.0,1.0,Chavanel Sylvain,1,Cofidis,-,7,2007
24,25,30.0,,Gerdemann Linus,2,T-Mobile Team,-,7,2007
26,205,30.0,19.0,De La Fuente David,3,Saunier Duval,\u25b216,7,2007
31,125,27.0,11.0,Lefevre Laurent,4,Bouygues Telecom,\u25b27,7,2007
30,76,26.0,,Landaluze Inigo,5,Euskaltel - Euskadi,-,7,2007
25,165,23.0,2.0,Gilbert Philippe,6,Fran\xe7aise des Jeux,\u25bc4,7,2007
33,58,22.0,6.0,Rasmussen Michael,7,Rabobank ProTeam,\u25bc1,7,2007
24,219,16.0,,Soler Juan Mauricio,8,Barloworld,-,7,2007
30,106,15.0,,Fofonov Dimitri,9,Cr\xe9dit Agricole,-,7,2007
25,102,15.0,3.0,Bonnet William,10,Cr\xe9dit Agricole,\u25bc7,7,2007
28,65,12.0,,Elmiger Martin,11,AG2R Pr\xe9voyance,-,7,2007
28,213,10.0,4.0,Cheula Giampaolo,12,Barloworld,\u25bc8,7,2007
32,142,9.0,5.0,Auge St\xe9phane,13,Cofidis,\u25bc8,7,2007
30,201,7.0,7.0,Millar David,14,Saunier Duval,\u25bc7,7,2007
27,149,6.0,,Wiggins Bradley,15,Cofidis,-,7,2007
27,117,6.0,10.0,Paulinho S\xe9rgio,16,Discovery Channel,\u25bc6,7,2007
26,185,5.0,8.0,Knees Christian,17,Milram,\u25bc9,7,2007
27,156,5.0,9.0,Kuchynski Aliaksandr,18,Liquigas,\u25bc9,7,2007
28,79,4.0,20.0,Verdugo Gorka,19,Euskaltel - Euskadi,\u25b21,7,2007
27,132,3.0,12.0,Bichot Freddy,20,Agritubel,\u25bc8,7,2007
29,27,3.0,14.0,Kirchen Kim,21,T-Mobile Team,\u25bc7,7,2007
31,174,3.0,,Garate Juan Manuel,22,Quickstep - Innergetic,-,7,2007
29,55,3.0,13.0,Flecha Juan Antonio,23,Rabobank ProTeam,\u25bc10,7,2007
25,169,2.0,,Vaugrenard Benoit,24,Fran\xe7aise des Jeux,-,7,2007
23,184,2.0,15.0,Grivko Andrei,25,Milram,\u25bc10,7,2007
25,127,2.0,17.0,Sprick Matthieu,26,Bouygues Telecom,\u25bc9,7,2007
22,167,2.0,16.0,Ladagnous Matthieu,27,Fran\xe7aise des Jeux,\u25bc11,7,2007
27,18,1.0,18.0,Valverde Alejandro,28,Caisse d'Epargne,\u25bc10,7,2007
25,77,1.0,,Perez Ruben,29,Euskaltel - Euskadi,-,7,2007
27,159,1.0,21.0,Willems Frederik,30,Liquigas,\u25bc9,7,2007
33,58,82.0,7.0,Rasmussen Michael,1,Rabobank ProTeam,\u25b26,8,2007
28,141,42.0,1.0,Chavanel Sylvain,2,Cofidis,\u25bc1,8,2007
24,25,30.0,2.0,Gerdemann Linus,3,T-Mobile Team,\u25bc1,8,2007
26,205,30.0,3.0,De La Fuente David,4,Saunier Duval,\u25bc1,8,2007
31,125,27.0,4.0,Lefevre Laurent,5,Bouygues Telecom,\u25bc1,8,2007
29,207,26.0,,Mayo Iban,6,Saunier Duval,-,8,2007
30,76,26.0,5.0,Landaluze Inigo,7,Euskaltel - Euskadi,\u25bc2,8,2007
25,165,23.0,6.0,Gilbert Philippe,8,Fran\xe7aise des Jeux,\u25bc2,8,2007
36,61,22.0,,Moreau Christophe,9,AG2R Pr\xe9voyance,-,8,2007
27,12,20.0,,Arroyo David,10,Caisse d'Epargne,-,8,2007
37,68,20.0,,Goubert Stephane,11,AG2R Pr\xe9voyance,-,8,2007
29,192,20.0,,Colom Antonio,12,Astana,-,8,2007
25,95,19.0,,Kohl Bernhard,13,Gerolsteiner,-,8,2007
30,41,18.0,,Evans Cadel,14,Predictor - Lotto,-,8,2007
25,91,16.0,,Schumacher Stefan,15,Gerolsteiner,-,8,2007
27,195,16.0,,Kashechkin Andrey,16,Astana,-,8,2007
24,219,16.0,8.0,Soler Juan Mauricio,17,Barloworld,\u25bc9,8,2007
30,106,15.0,9.0,Fofonov Dimitri,18,Cr\xe9dit Agricole,\u25bc9,8,2007
27,117,15.0,16.0,Paulinho S\xe9rgio,19,Discovery Channel,\u25bc3,8,2007
25,102,15.0,10.0,Bonnet William,20,Cr\xe9dit Agricole,\u25bc10,8,2007
30,201,14.0,14.0,Millar David,21,Saunier Duval,\u25bc7,8,2007
27,36,14.0,,Schleck Fr\xe4nk,22,CSC ProTeam,-,8,2007
27,18,13.0,28.0,Valverde Alejandro,23,Caisse d'Epargne,\u25b25,8,2007
34,114,13.0,,Hincapie George,24,Discovery Channel,-,8,2007
28,65,12.0,11.0,Elmiger Martin,25,AG2R Pr\xe9voyance,\u25bc14,8,2007
26,109,11.0,,Le M\xe9vel Christophe,26,Cr\xe9dit Agricole,-,8,2007
28,129,10.0,,Voeckler Thomas,27,Bouygues Telecom,-,8,2007
24,112,10.0,,Contador Alberto,28,Discovery Channel,-,8,2007
28,213,10.0,12.0,Cheula Giampaolo,29,Barloworld,\u25bc17,8,2007
32,142,9.0,13.0,Auge St\xe9phane,30,Cofidis,\u25bc17,8,2007
28,14,7.0,,Guti\xe9rrez Jos\xe9 Iv\xe1n,31,Caisse d'Epargne,-,8,2007
27,149,6.0,15.0,Wiggins Bradley,32,Cofidis,\u25bc17,8,2007
31,174,6.0,22.0,Garate Juan Manuel,33,Quickstep - Innergetic,\u25bc11,8,2007
24,78,6.0,,Txurruka Amets,34,Euskaltel - Euskadi,-,8,2007
28,79,6.0,19.0,Verdugo Gorka,35,Euskaltel - Euskadi,\u25bc16,8,2007
