Rnk,Rider,Age,Team,Pnt,year,stage
1,Mayo Iban,25,Euskaltel - Euskadi,132,2003,7
2,Armstrong Lance,31,US Postal Service,99,2003,7
3,Moreau Christophe,32,Cr\xe9dit Agricole,81,2003,7
4,Mancebo Francisco,27,Ibanesto.com,75,2003,7
5,Edaleine Christophe,23,Jean Delatour,61,2003,7
6,Lastras Pablo,27,Ibanesto.com,60,2003,7
7,Mercado Juan Miguel,24,Ibanesto.com,57,2003,7
8,Vasseur C\xe9dric,32,Cofidis,50,2003,7
9,Turpin Ludovic,28,AG2R Pr\xe9voyance,44,2003,7
10,Portal Nicolas,24,AG2R Pr\xe9voyance,35,2003,7
11,Wielinga Remmert,25,Rabobank ProTeam,33,2003,7
12,Chavanel Sylvain,23,Brioches La Boulang\xe8re,27,2003,7
13,Menchov Denis,25,Ibanesto.com,27,2003,7
14,Hary Maryan,23,Brioches La Boulang\xe8re,27,2003,7
15,Beltran Manuel,32,Team Bianchi,26,2003,7
16,Dessel Cyril,28,Phonak Hearing Systems,24,2003,7
17,Chaurreau I\xf1igo,30,AG2R Pr\xe9voyance,24,2003,7
18,Renier Franck,29,Brioches La Boulang\xe8re,23,2003,7
19,Millar David,26,Cofidis,19,2003,7
20,Kashechkin Andrey,23,Quickstep - Davitamon,17,2003,7
21,Leipheimer Levi,29,Rabobank ProTeam,17,2003,7
22,Niermann Grischa,27,Rabobank ProTeam,14,2003,7
23,Lefevre Laurent,26,Jean Delatour,14,2003,7
24,Lopez De Munain Alberto,31,Euskaltel - Euskadi,13,2003,7
25,Boven Jan,31,Rabobank ProTeam,12,2003,7
26,Talabardon Yannick,21,,11,2003,7
27,Morin Anthony,28,Cr\xe9dit Agricole,10,2003,7
28,Rous Didier,32,Brioches La Boulang\xe8re,10,2003,7
29,Poilvet Benoit,26,Cr\xe9dit Agricole,10,2003,7
30,Clain M\xe9d\xe9ric,26,Cofidis,9,2003,7
31,Dufaux Laurent,34,Alessio,8,2003,7
32,Silloniz Josu,25,Euskaltel - Euskadi,8,2003,7
33,Vogondy Nicolas,25,Fdjeux.com,8,2003,7
34,Salmon Benoit,29,Phonak Hearing Systems,6,2003,7
35,Geslin Anthony,23,Brioches La Boulang\xe8re,6,2003,7
36,Rubiera Jos\xe9 Luis,30,US Postal Service,6,2003,7
37,Fofonov Dimitri,26,Cofidis,4,2003,7
38,Beuchat Roger,31,Phonak Hearing Systems,3,2003,7
39,Flores Iker,26,Euskaltel - Euskadi,2,2003,7
40,Flickinger Andy,24,AG2R Pr\xe9voyance,2,2003,7
41,Lelli Massimiliano,35,Cofidis,1,2003,7
42,Ekimov Viatcheslav,37,US Postal Service,1,2003,7
43,Astarloza Mikel,23,AG2R Pr\xe9voyance,1,2003,7
44,Charteau Anthony,24,Brioches La Boulang\xe8re,1,2003,7
