Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,11,3,,Nibali Vincenzo,1,Astana Pro Team,,1,2014
29,1,2,,Froome Christopher,2,Team Sky,,1,2014
31,21,1,,Contador Alberto,3,Tinkoff - Saxo,,1,2014
26,77,37,,R\xe9za K\xe9vin,1,Team Europcar,-,2,2014
28,105,31,,De Marchi Alessandro,2,Cannondale,-,2,2014
25,171,27,,Damuseau Thomas,3,Team Giant - Shimano,-,2,2014
21,66,23,,Gougeard Alexis,4,AG2R La Mondiale,-,2,2014
29,1,22,2.0,Froome Christopher,5,Team Sky,\u25bc3,2,2014
31,21,19,3.0,Contador Alberto,6,Tinkoff - Saxo,\u25bc3,2,2014
24,92,18,,Br\xe4ndle Matthias,7,IAM Cycling,-,2,2014
23,191,16,,Kelderman Wilco,8,Belkin-Pro Cycling Team,-,2,2014
31,81,14,,Van den Broeck Jurgen,9,Lotto Belisol,-,2,2014
29,11,13,1.0,Nibali Vincenzo,10,Astana Pro Team,\u25bc9,2,2014
25,168,12,,Talansky Andrew,11,Garmin Sharp,-,2,2014
35,5,10,,Pate Danny,12,Team Sky,-,2,2014
31,51,8,,Anton Igor,13,Movistar Team,-,2,2014
21,48,7,,Yates Adam,14,Orica GreenEDGE,-,2,2014
25,97,6,,Reichenbach Sebastien,15,IAM Cycling,-,2,2014
30,31,5,,Navarro Daniel,16,"Cofidis, Solutions Cr\xe9dits",-,2,2014
33,3,5,,Lopez David,17,Team Sky,-,2,2014
26,77,44,1.0,R\xe9za K\xe9vin,1,Team Europcar,-,3,2014
25,171,33,3.0,Damuseau Thomas,2,Team Giant - Shimano,\u25b21,3,2014
28,105,31,2.0,De Marchi Alessandro,3,Cannondale,\u25bc1,3,2014
21,66,23,4.0,Gougeard Alexis,4,AG2R La Mondiale,-,3,2014
29,1,22,5.0,Froome Christopher,5,Team Sky,-,3,2014
23,72,20,,Berhane Natnael,6,Team Europcar,-,3,2014
31,21,19,6.0,Contador Alberto,7,Tinkoff - Saxo,\u25bc1,3,2014
24,92,18,7.0,Br\xe4ndle Matthias,8,IAM Cycling,\u25bc1,3,2014
26,203,18,,Benedetti Cesare,9,Team NetApp \u2013 Endura,-,3,2014
23,191,16,8.0,Kelderman Wilco,10,Belkin-Pro Cycling Team,\u25bc2,3,2014
27,67,16,,Kadri Blel,11,AG2R La Mondiale,-,3,2014
31,81,14,9.0,Van den Broeck Jurgen,12,Lotto Belisol,\u25bc3,3,2014
29,11,13,10.0,Nibali Vincenzo,13,Astana Pro Team,\u25bc3,3,2014
25,168,12,11.0,Talansky Andrew,14,Garmin Sharp,\u25bc3,3,2014
33,3,10,17.0,Lopez David,15,Team Sky,\u25b22,3,2014
35,5,10,12.0,Pate Danny,16,Team Sky,\u25bc4,3,2014
31,51,8,13.0,Anton Igor,17,Movistar Team,\u25bc4,3,2014
21,48,7,14.0,Yates Adam,18,Orica GreenEDGE,\u25bc4,3,2014
29,6,7,,Porte Richie,19,Team Sky,-,3,2014
25,97,6,15.0,Reichenbach Sebastien,20,IAM Cycling,\u25bc5,3,2014
32,23,6,,Hern\xe1ndez Jes\xfas,21,Tinkoff - Saxo,-,3,2014
30,31,5,16.0,Navarro Daniel,22,"Cofidis, Solutions Cr\xe9dits",\u25bc6,3,2014
29,75,5,,Jerome Vincent,23,Team Europcar,-,3,2014
26,77,44,1.0,R\xe9za K\xe9vin,1,Team Europcar,-,4,2014
25,171,33,2.0,Damuseau Thomas,2,Team Giant - Shimano,-,4,2014
