Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
30,149,3.0,,Visconti Giovanni,1,Movistar Team,,1,2013
29,79,3.0,,Wurf Cameron,2,Cannondale Pro Cycling Team,,1,2013
25,16,3.0,,Bonnafond Guillaume,3,AG2R La Mondiale,,1,2013
24,45,2.0,,Canola Marco,4,Bardiani Valvole - CSF Inox,,1,2013
25,213,1.0,,Keizer Martijn,5,Vacansoleil - DCM,,1,2013
23,219,9.0,,Wauters Willem,1,Vacansoleil - DCM,-,3,2013
30,149,8.0,1.0,Visconti Giovanni,2,Movistar Team,\u25bc1,3,2013
26,203,5.0,,Boaro Manuele,3,Team Saxo - Tinkoff,-,3,2013
29,79,3.0,2.0,Wurf Cameron,4,Cannondale Pro Cycling Team,\u25bc2,3,2013
27,229,3.0,,Taborre Fabio,5,Vini Fantini,-,3,2013
25,16,3.0,3.0,Bonnafond Guillaume,6,AG2R La Mondiale,\u25bc3,3,2013
22,33,3.0,,Aru Fabio,7,Astana Pro Team,-,3,2013
28,32,2.0,,Agnoli Valerio,8,Astana Pro Team,-,3,2013
28,26,2.0,,Rodriguez Jackson,9,Androni Giocattoli - Venezuela,-,3,2013
24,45,2.0,4.0,Canola Marco,10,Bardiani Valvole - CSF Inox,\u25bc6,3,2013
25,213,1.0,5.0,Keizer Martijn,11,Vacansoleil - DCM,\u25bc6,3,2013
24,88,1.0,,Pantano Jarlinson,12,Team Colombia,-,3,2013
30,149,13.0,2.0,Visconti Giovanni,1,Movistar Team,\u25b21,4,2013
23,219,9.0,1.0,Wauters Willem,2,Vacansoleil - DCM,\u25bc1,4,2013
29,83,9.0,,Chalapud Robinson,3,Team Colombia,-,4,2013
26,48,5.0,,Pirazzi Stefano,4,Bardiani Valvole - CSF Inox,-,4,2013
26,203,5.0,3.0,Boaro Manuele,5,Team Saxo - Tinkoff,\u25bc2,4,2013
37,224,5.0,,Di Luca Danilo,6,Vini Fantini,-,4,2013
29,79,3.0,4.0,Wurf Cameron,7,Cannondale Pro Cycling Team,\u25bc3,4,2013
27,229,3.0,5.0,Taborre Fabio,8,Vini Fantini,\u25bc3,4,2013
26,195,3.0,,Gretsch Patrick,9,Team Argos - Shimano,-,4,2013
25,16,3.0,6.0,Bonnafond Guillaume,10,AG2R La Mondiale,\u25bc4,4,2013
22,33,3.0,7.0,Aru Fabio,11,Astana Pro Team,\u25bc4,4,2013
