Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,39,10,,Zanini Stefano,1,Mapei - Bricobi,,1,1998
26,89,7,,Voigt Jens,2,GAN,,1,1998
27,162,5,,Benitez Francisco,3,Vitalicio Seguros,,1,1998
31,65,3,,Durand Jacky,4,Casino - AG2R,,1,1998
25,174,1,,De Los Angeles Juan Jos\xe9,5,Kelme - Costa Blanca,,1,1998
29,39,16,1.0,Zanini Stefano,1,Mapei - Bricobi,-,2,1998
34,14,13,,Herv\xe9 Pascal,2,Festina - Lotus,-,2,1998
26,89,10,2.0,Voigt Jens,3,GAN,\u25bc1,2,1998
28,62,7,,Agnolutto Christophe,4,Casino - AG2R,-,2,1998
25,178,5,,Serrano Marcos Antonio,5,Kelme - Costa Blanca,-,2,1998
27,162,5,3.0,Benitez Francisco,6,Vitalicio Seguros,\u25bc3,2,1998
31,65,3,4.0,Durand Jacky,7,Casino - AG2R,\u25bc3,2,1998
26,135,1,,Julich Bobby,8,Cofidis,-,2,1998
25,174,1,5.0,De Los Angeles Juan Jos\xe9,9,Kelme - Costa Blanca,\u25bc4,2,1998
34,14,28,2.0,Herv\xe9 Pascal,1,Festina - Lotus,\u25b21,3,1998
29,39,16,1.0,Zanini Stefano,2,Mapei - Bricobi,\u25bc1,3,1998
26,89,10,3.0,Voigt Jens,3,GAN,-,3,1998
28,61,7,,Hamburger Bo,4,Casino - AG2R,-,3,1998
28,62,7,4.0,Agnolutto Christophe,5,Casino - AG2R,\u25bc1,3,1998
25,178,5,5.0,Serrano Marcos Antonio,6,Kelme - Costa Blanca,\u25bc1,3,1998
28,125,5,,Jan Xavier,7,La Fran\xe7aise des Jeux,-,3,1998
27,162,5,6.0,Benitez Francisco,8,Vitalicio Seguros,\u25bc2,3,1998
25,187,3,,Hincapie George,9,US Postal Service,-,3,1998
33,6,3,,Heppner Jens,10,Team Telekom - ARD,-,3,1998
31,65,3,7.0,Durand Jacky,11,Casino - AG2R,\u25bc4,3,1998
29,172,2,,Cabello Francisco,12,Kelme - Costa Blanca,-,3,1998
26,135,1,8.0,Julich Bobby,13,Cofidis,\u25bc5,3,1998
25,174,1,9.0,De Los Angeles Juan Jos\xe9,14,Kelme - Costa Blanca,\u25bc5,3,1998
34,14,34,1.0,Herv\xe9 Pascal,1,Festina - Lotus,-,4,1998
29,39,16,2.0,Zanini Stefano,2,Mapei - Bricobi,-,4,1998
26,89,10,3.0,Voigt Jens,3,GAN,-,4,1998
28,61,7,4.0,Hamburger Bo,4,Casino - AG2R,-,4,1998
28,62,7,5.0,Agnolutto Christophe,5,Casino - AG2R,-,4,1998
31,65,6,11.0,Durand Jacky,6,Casino - AG2R,\u25b25,4,1998
24,128,5,,Nazon Damien,7,La Fran\xe7aise des Jeux,-,4,1998
