Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
22,207,9.0,,Zaccanti Filippo,1,Nippo - Vini Fantini - Europa Ovini,,2,2018
34,195,6.0,,Quemeneur Perrig,2,Direct Energie,,2,2018
31,75,3.0,,Oss Daniel,3,BORA - hansgrohe,,2,2018
25,185,3.0,,Watson Calvin,4,Aqua Blue Sport,,2,2018
29,97,2.0,,Vichot Arthur,5,Groupama - FDJ,,2,2018
33,11,1.0,,Porte Richie,6,BMC Racing Team,,2,2018
22,207,17.0,1.0,Zaccanti Filippo,1,Nippo - Vini Fantini - Europa Ovini,-,3,2018
23,193,12.0,,Grellier Fabien,2,Direct Energie,-,3,2018
34,195,6.0,2.0,Quemeneur Perrig,3,Direct Energie,\u25bc1,3,2018
25,185,6.0,4.0,Watson Calvin,4,Aqua Blue Sport,-,3,2018
23,35,3.0,,Andersen S\xf8ren Kragh,5,Team Sunweb,-,3,2018
31,75,3.0,3.0,Oss Daniel,6,BORA - hansgrohe,\u25bc3,3,2018
33,11,2.0,6.0,Porte Richie,7,BMC Racing Team,\u25bc1,3,2018
27,31,2.0,,Kelderman Wilco,8,Team Sunweb,-,3,2018
29,97,2.0,5.0,Vichot Arthur,9,Groupama - FDJ,\u25bc4,3,2018
28,23,1.0,,Juul-Jensen Christopher,10,Mitchelton-Scott,-,3,2018
22,207,,1.0,Zaccanti Filippo,1,Nippo - Vini Fantini - Europa Ovini,-,4,2018
23,193,,2.0,Grellier Fabien,2,Direct Energie,-,4,2018
24,44,,,Peters Nans,3,AG2R La Mondiale,-,4,2018
28,23,,10.0,Juul-Jensen Christopher,4,Mitchelton-Scott,\u25b26,4,2018
34,195,,3.0,Quemeneur Perrig,5,Direct Energie,\u25bc2,4,2018
25,185,,4.0,Watson Calvin,6,Aqua Blue Sport,\u25bc2,4,2018
26,142,,,Brown Nathan,7,Team EF Education First-Drapac p/b Cannondale,-,4,2018
23,35,,5.0,Andersen S\xf8ren Kragh,8,Team Sunweb,\u25bc3,4,2018
24,194,,,Ourselin Paul,9,Direct Energie,-,4,2018
31,75,,6.0,Oss Daniel,10,BORA - hansgrohe,\u25bc4,4,2018
27,43,,,Dillier Silvan,11,AG2R La Mondiale,-,4,2018
27,182,,,Christian Mark,12,Aqua Blue Sport,-,4,2018
33,11,,7.0,Porte Richie,13,BMC Racing Team,\u25bc6,4,2018
27,31,,8.0,Kelderman Wilco,14,Team Sunweb,\u25bc6,4,2018
29,97,,9.0,Vichot Arthur,15,Groupama - FDJ,\u25bc6,4,2018
30,196,22.0,,Sicard Romain,1,Direct Energie,-,5,2018
27,187,20.0,,Warbasse Larry,2,Aqua Blue Sport,-,5,2018
22,207,17.0,1.0,Zaccanti Filippo,3,Nippo - Vini Fantini - Europa Ovini,\u25bc2,5,2018
24,44,16.0,3.0,Peters Nans,4,AG2R La Mondiale,\u25bc1,5,2018
31,75,15.0,10.0,Oss Daniel,5,BORA - hansgrohe,\u25b25,5,2018
25,6,15.0,,Smit Willie,6,Team Katusha - Alpecin,-,5,2018
28,177,12.0,,Ulissi Diego,7,UAE-Team Emirates,-,5,2018
23,193,12.0,2.0,Grellier Fabien,8,Direct Energie,\u25bc6,5,2018
23,126,8.0,,Mas Enric,9,Quick-Step Floors,-,5,2018
28,136,8.0,,Slagter Tom-Jelte,10,Team Dimension Data,-,5,2018
28,23,7.0,4.0,Juul-Jensen Christopher,11,Mitchelton-Scott,\u25bc7,5,2018
27,31,6.0,14.0,Kelderman Wilco,12,Team Sunweb,\u25b22,5,2018
34,195,6.0,5.0,Quemeneur Perrig,13,Direct Energie,\u25bc8,5,2018
25,185,6.0,6.0,Watson Calvin,14,Aqua Blue Sport,\u25bc8,5,2018
36,62,4.0,,Gasparotto Enrico,15,Bahrain Merida Pro Cycling Team,-,5,2018
27,52,4.0,,Fraile Omar,16,Astana Pro Team,-,5,2018
26,142,4.0,7.0,Brown Nathan,17,Team EF Education First-Drapac p/b Cannondale,\u25bc10,5,2018
23,35,3.0,8.0,Andersen S\xf8ren Kragh,18,Team Sunweb,\u25bc10,5,2018
24,194,3.0,9.0,Ourselin Paul,19,Direct Energie,\u25bc10,5,2018
27,43,3.0,11.0,Dillier Silvan,20,AG2R La Mondiale,\u25bc9,5,2018
27,182,3.0,12.0,Christian Mark,21,Aqua Blue Sport,\u25bc9,5,2018
33,11,2.0,13.0,Porte Richie,22,BMC Racing Team,\u25bc9,5,2018
29,97,2.0,15.0,Vichot Arthur,23,Groupama - FDJ,\u25bc8,5,2018
31,81,2.0,,Mollema Bauke,24,Trek - Segafredo,-,5,2018
27,182,33.0,21.0,Christian Mark,1,Aqua Blue Sport,\u25b220,6,2018
29,3,32.0,,Haas Nathan,2,Team Katusha - Alpecin,-,6,2018
