Rider,year,stage_scores
Abduljaleel Ahmed,2005,0.0
Abduljanan Khalil,2005,0.0
Abduljanan Khalil,2007,0.0
Abduljanan Khalil,2008,0.0
Aerts Mario,2004,0.0
Afif Hamad,2008,0.0
Agnoli Valerio,2006,0.0
Agnoli Valerio,2014,0.0
Agnolutto Christophe,2004,0.0
Ahlstrand Jonas,2015,0.0
Al Doseri Ahmed Salman,2007,0.0
Al Moraqab Radhwan,2005,0.0
Al Moraqab Radhwan,2007,0.0
Alarc\xf3n Ra\xfal,2008,0.0
Albasini Michael,2004,10.0
Alberio Tomas,2011,0.0
Aldape Moises,2006,0.0
Alhammadi Sultan Hassan,2016,0.0
Alzate Carlos Eduardo,2016,0.0
Amador Andrey,2015,0.0
Andersen S\xf8ren Kragh,2016,51.0
Andriotto Dario,2005,0.0
Antonini Simone,2016,7.0
Appollonio Davide,2010,0.0
Appollonio Davide,2012,37.0
Appollonio Davide,2013,31.0
Arashiro Yukiya,2016,0.0
Archbold Shane,2015,0.0
Archbold Shane,2016,0.0
Aregger Marcel,2014,0.0
Aregger Marcel,2015,0.0
Arndt Nikias,2013,0.0
Arndt Nikias,2015,52.0
Arrieta Jose Luis,2009,0.0
Arvesen Kurt-Asle,2010,0.0
Arvesen Kurt-Asle,2011,8.0
Ascani Luca,2006,0.0
Ascani Luca,2012,0.0
Asgharzadeh Alireza,2007,0.0
Askari Hossein,2008,0.0
Asselman Jesper,2016,0.0
Auge St\xe9phane,2004,0.0
Avery Clinton,2012,0.0
B\xe4ckstedt Magnus,2005,11.0
B\xe4ckstedt Magnus,2008,15.0
B\xe9rard Julien,2010,0.0
B\xe9rard Julien,2013,0.0
Bacquet Fabien,2007,0.0
Bagdonas Gediminas,2011,13.0
Bagdonas Gediminas,2013,9.0
Bagdonas Gediminas,2014,12.0
Bagdonas Gediminas,2016,6.0
Bak Glenn,2007,0.0
Bak Lars Ytting,2005,18.0
Bak Lars Ytting,2010,0.0
Bak Lars Ytting,2011,0.0
Bak Lars Ytting,2012,6.0
Bak Lars Ytting,2014,0.0
Balciunas Linas,2007,17.0
Balducci Gabriele,2004,35.0
Ballan Alessandro,2010,8.0
Bandiera Marco,2008,0.0
Bandiera Marco,2009,0.0
Bandiera Marco,2010,12.0
Bandiera Marco,2011,0.0
Bandiera Marco,2013,0.0
Baranauskas Aivaras,2006,7.0
Baranauskas Aivaras,2007,0.0
Barbe Koen,2004,0.0
Barbe Koen,2006,0.0
Barbe Koen,2008,0.0
Barry Michael,2009,0.0
Barry Michael,2012,7.0
Bates Gene Michael,2008,0.0
Battaglin Enrico,2014,0.0
Battaglin Enrico,2015,0.0
Bauer Jack,2012,0.0
Baumann Eric,2004,0.0
Baumann Eric,2005,27.0
Baumann Eric,2007,0.0
Bazzana Alessandro,2014,17.0
Beddegenoodts Christophe,2007,0.0
Belhani Farid,2009,0.0
Belohvosciks Raivis,2007,0.0
Belohvosciks Raivis,2008,0.0
Ben Hassine Aymen,2008,0.0
Ben Hassine Aymen,2009,0.0
Benenati Cristian,2012,0.0
Beneteau Walter,2004,15.0
Bennati Daniele,2010,22.0
Bennati Daniele,2011,124.0
Bennati Daniele,2013,0.0
Bennati Daniele,2014,80.0
Bennett Sam,2011,0.0
Bennett Sam,2014,71.0
Bennett Sam,2015,57.0
Bennett Sam,2016,68.0
Beppu Fumiyuki,2008,13.0
Beppu Fumiyuki,2012,0.0
Beppu Fumiyuki,2013,0.0
Berges Emilien-beno\xeet,2007,0.0
Berges Stephane,2004,0.0
Berthou Eric,2008,0.0
Bertogliati Rubens,2004,0.0
Bertogliati Rubens,2005,0.0
Bertogliati Rubens,2008,0.0
Bertolini Thomas,2012,0.0
Bewley Sam,2013,0.0
Beyer Chad,2009,0.0
Bichot Freddy,2007,0.0
Blythe Adam,2012,58.0
Blythe Adam,2013,68.0
