Age,BIB,Rider,Rank_stage,stage,year,Rank_gc,Rank_points,Rank_youth,Rank_polka
27,181.0,Armstrong Lance,1.0,0,1999,1.0,1.0,,
30,161.0,Z\xfclle Alex,2.0,0,1999,2.0,2.0,,
29,51.0,Olano Abraham,3.0,0,1999,3.0,3.0,,
28,148.0,Moreau Christophe,4.0,0,1999,4.0,4.0,,
30,133.0,Boardman Christopher,5.0,0,1999,5.0,5.0,,
24,87.0,Verbrugghe Rik,6.0,0,1999,6.0,6.0,1.0,
25,91.0,Vinokourov Alexandre,7.0,0,1999,7.0,7.0,,
25,55.0,Gonzalez Santos,8.0,0,1999,8.0,8.0,,
31,142.0,Brochard Laurent,9.0,0,1999,9.0,9.0,,
30,97.0,Maignan Gilles,10.0,0,1999,10.0,10.0,,
27,57.0,Peron Andrea,11.0,0,1999,11.0,,,
30,74.0,Dufaux Laurent,12.0,0,1999,12.0,,,
28,29.0,Wesemann Steffen,13.0,0,1999,13.0,,,
23,188.0,Vande Velde Christian,14.0,0,1999,14.0,,2.0,
26,185.0,Hincapie George,15.0,0,1999,15.0,,,
25,136.0,O'Grady Stuart,16.0,0,1999,16.0,,,
26,121.0,Casero Angel Luis,17.0,0,1999,17.0,,,
28,184.0,Hamilton Tyler,18.0,0,1999,18.0,,,
26,189.0,Vaughters Jonathan,19.0,0,1999,19.0,,,
30,31.0,Tonkov Pavel,20.0,0,1999,20.0,,,
30,131.0,Simon Fran\xe7ois,21.0,0,1999,21.0,,,
27,1.0,Julich Bobby,22.0,0,1999,22.0,,,
29,126.0,Gonzalez Alvaro,23.0,0,1999,23.0,,,
28,169.0,Solaun Cesar,24.0,0,1999,24.0,,,
28,42.0,Dekker Erik,25.0,0,1999,25.0,,,
26,77.0,Savoldelli Paolo,26.0,0,1999,26.0,,,
30,44.0,Jonker Patrick,27.0,0,1999,27.0,,,
34,103.0,Dierckxsens Ludo,28.0,0,1999,28.0,,,
25,99.0,Salmon Benoit,29.0,0,1999,29.0,,3.0,
24,132.0,B\xe4ckstedt Magnus,30.0,0,1999,30.0,,4.0,
26,129.0,Salmeron Gines,31.0,0,1999,31.0,,,
26,98.0,Oriol Christophe,32.0,0,1999,32.0,,,
28,155.0,Heulot Stephane,33.0,0,1999,33.0,,,
24,81.0,Aerts Mario,34.0,0,1999,35.0,,5.0,
28,149.0,Rous Didier,35.0,0,1999,34.0,,,
30,48.0,Wauters Marc,36.0,0,1999,36.0,,,
23,146.0,Lefevre Laurent,37.0,0,1999,37.0,,6.0,
25,138.0,Vogels Henk,38.0,0,1999,38.0,,,
32,84.0,Durand Jacky,39.0,0,1999,39.0,,,
28,162.0,Arrieta Jose Luis,40.0,0,1999,40.0,,,
25,53.0,Etxebarria David,41.0,0,1999,41.0,,,
23,165.0,Mancebo Francisco,42.0,0,1999,42.0,,7.0,
26,52.0,Diaz Rafael,43.0,0,1999,43.0,,,
28,16.0,Fincato Marco,44.0,0,1999,44.0,,,
26,88.0,Verheyen Geert,45.0,0,1999,45.0,,,
32,182.0,Andreu Frankie,46.0,0,1999,46.0,,,
27,143.0,Javier Hernandez Jaime,47.0,0,1999,47.0,,,
30,157.0,Michaelsen Lars,48.0,0,1999,48.0,,,
26,164.0,Garcia Jose Vicente,49.0,0,1999,49.0,,,
32,22.0,Bolts Udo,50.0,0,1999,50.0,,,
26,38.0,Nardello Daniele,51.0,0,1999,51.0,,,
25,56.0,Perez Luis,52.0,0,1999,52.0,,8.0,
28,167.0,Odriozola Jon,53.0,0,1999,53.0,,,
30,156.0,Mengin Christophe,54.0,0,1999,54.0,,,
30,145.0,Jeker Fabian,55.0,0,1999,55.0,,,
28,104.0,Padrnos Pavel,56.0,0,1999,56.0,,,
28,141.0,Belli Wladimir,57.0,0,1999,57.0,,,
27,139.0,Voigt Jens,58.0,0,1999,58.0,,,
29,96.0,Kirsipuu Jaan,59.0,0,1999,59.0,,,
27,62.0,Brasi Rossano,60.0,0,1999,61.0,,,
29,76.0,Meier Armin,61.0,0,1999,60.0,,,
27,93.0,Bessy Fr\xe9d\xe9ric,62.0,0,1999,62.0,,,
31,6.0,Lelli Massimiliano,63.0,0,1999,63.0,,,
24,73.0,Commesso Salvatore,64.0,0,1999,64.0,,9.0,
