Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
28,52.56,91,1.0,+0:00,100.0,Boardman Christopher,1,GAN,8:20 8:20,0,1997
23,52.351000000000006,8,2.0,+0:02,70.0,Ullrich Jan,2,Team Telekom,0:02 0:02,0,1997
27,52.04,141,3.0,+0:05,50.0,Berzin Yewgeni,3,BATIK-DEL MONTE,0:05 0:05,0,1997
36,52.04,61,4.0,+0:05,40.0,Rominger Tony,4,Cofidis,",, 0:05",0,1997
29,52.04,39,5.0,+0:05,32.0,Z\xfclle Alex,5,O.N.C.E.,",, 0:05",0,1997
31,51.833999999999996,198,6.0,+0:07,26.0,Meinert-Nielsen Peter,6,US Postal Service,0:07 0:07,0,1997
32,51.528999999999996,128,7.0,+0:10,22.0,S\xf8rensen Rolf,7,Rabobank ProTeam,0:10 0:10,0,1997
27,51.528999999999996,151,8.0,+0:10,18.0,Olano Abraham,8,Banesto,",, 0:10",0,1997
29,51.428999999999995,13,9.0,+0:11,14.0,Brochard Laurent,9,Festina - Lotus,0:11 0:11,0,1997
26,51.328,17,10.0,+0:12,10.0,Moreau Christophe,10,Festina - Lotus,0:12 0:12,0,1997
25,51.228,76,11.0,+0:13,8.0,Peron Andrea,11,La Fran\xe7aise des Jeux,0:13 0:13,0,1997
29,51.128,35,12.0,+0:14,6.0,Garmendia Aitor,12,O.N.C.E.,0:14 0:14,0,1997
33,51.028999999999996,1,13.0,+0:15,4.0,Riis Bjarne,13,Team Telekom,0:15 0:15,0,1997
27,50.93,41,14.0,+0:16,2.0,Bartoli Michele,14,MG Maglificio - Technogym,0:16 0:16,0,1997
26,50.93,133,15.0,+0:16,1.0,Aus Lauri,15,Casino - C'est votre \xe9quipe,",, 0:16",0,1997
26,50.832,124,16.0,+0:17,,Dekker Erik,16,Rabobank ProTeam,0:17 0:17,0,1997
25,50.832,22,17.0,+0:17,,Camenzind Oscar,17,Mapei-GB,",, 0:17",0,1997
27,50.832,81,18.0,+0:17,,Gontsjenkov Alexander,18,Roslotto-ZG Mobili,",, 0:17",0,1997
33,50.733999999999995,123,19.0,+0:18,,Breukink Erik,19,Rabobank ProTeam,0:18 0:18,0,1997
27,50.733999999999995,38,20.0,+0:18,,Zarrabeitia Mikel,20,O.N.C.E.,",, 0:18",0,1997
22,50.733999999999995,29,21.0,+0:18,,Vandenbroucke Frank,21,Mapei-GB,",, 0:18",0,1997
28,50.733999999999995,31,22.0,+0:18,,Jalabert Laurent,22,O.N.C.E.,",, 0:18",0,1997
30,50.733999999999995,114,23.0,+0:18,,Cipollini Mario,23,Saeco,",, 0:18",0,1997
32,50.636,5,24.0,+0:19,,Heppner Jens,24,Team Telekom,0:19 0:19,0,1997
30,50.636,62,25.0,+0:19,,Andreu Frankie,25,Cofidis,",, 0:19",0,1997
28,50.538000000000004,174,26.0,+0:20,,Cabello Francisco,26,Kelme - Costa Blanca,0:20 0:20,0,1997
28,50.441,207,27.0,+0:21,,Maignan Gilles,27,La Mutuelle de Seine et Marne,0:21 0:21,0,1997
26,50.441,105,28.0,+0:21,,Knaven Servais,28,TVM - Farm Frites,",, 0:21",0,1997
24,50.441,64,29.0,+0:21,,Gaumont Philippe,29,Cofidis,",, 0:21",0,1997
35,50.441,24,30.0,+0:21,,Jaskula Zenon,30,Mapei-GB,",, 0:21",0,1997
34,50.345,192,31.0,+0:22,,Baffi Adriano,31,US Postal Service,0:22 0:22,0,1997
29,50.345,167,32.0,+0:22,,Teteriouk Andrei,32,Lotto - Mobistar,",, 0:22",0,1997
26,50.345,18,33.0,+0:22,,Rous Didier,33,Festina - Lotus,",, 0:22",0,1997
28,50.345,14,34.0,+0:22,,Dufaux Laurent,34,Festina - Lotus,",, 0:22",0,1997
29,50.345,109,35.0,+0:22,,Voskamp Bart,35,TVM - Farm Frites,",, 0:22",0,1997
28,50.248999999999995,32,36.0,+0:23,,Cuesta \xcd\xf1igo,36,O.N.C.E.,0:23 0:23,0,1997
27,50.248999999999995,108,37.0,+0:23,,van Petegem Peter,37,TVM - Farm Frites,",, 0:23",0,1997
23,50.153,99,38.0,+0:24,,Vogels Henk,38,GAN,0:24 0:24,0,1997
25,50.153,54,39.0,+0:24,,Crepaldi Mirco,39,Polti,",, 0:24",0,1997
26,50.153,127,40.0,+0:24,,Nelissen Danny,40,Rabobank ProTeam,",, 0:24",0,1997
27,50.153,132,41.0,+0:24,,Agnolutto Christophe,41,Casino - C'est votre \xe9quipe,",, 0:24",0,1997
25,50.153,122,42.0,+0:24,,Boogerd Michael,42,Rabobank ProTeam,",, 0:24",0,1997
25,50.153,178,43.0,+0:24,,Rodriguez Javier Pascual,43,Kelme - Costa Blanca,",, 0:24",0,1997
33,50.056999999999995,131,44.0,+0:25,,Elli Alberto,44,Casino - C'est votre \xe9quipe,0:25 0:25,0,1997
30,50.056999999999995,211,45.0,+0:25,,Lino Pascal,45,BigMat - Auber 93,",, 0:25",0,1997
31,50.056999999999995,191,46.0,+0:25,,Ekimov Viatcheslav,46,US Postal Service,",, 0:25",0,1997
26,50.056999999999995,189,47.0,+0:25,,Zberg Beat,47,Mercatone Uno,",, 0:25",0,1997
25,50.056999999999995,193,48.0,+0:25,,Baranowski Dariusz,48,US Postal Service,",, 0:25",0,1997
30,50.056999999999995,137,49.0,+0:25,,Kasputis Arturas,49,Casino - C'est votre \xe9quipe,",, 0:25",0,1997
26,50.056999999999995,9,50.0,+0:25,,Zabel Erik,50,Team Telekom,",, 0:25",0,1997
25,49.961999999999996,27,51.0,+0:26,,Steels Tom,51,Mapei-GB,0:26 0:26,0,1997
32,49.961999999999996,183,52.0,+0:26,,Conti Roberto,52,Mercatone Uno,",, 0:26",0,1997
26,49.961999999999996,172,53.0,+0:26,,Benitez Francisco,53,Kelme - Costa Blanca,",, 0:26",0,1997
28,49.867,101,54.0,+0:27,,den Bakker Maarten,54,TVM - Farm Frites,0:27 0:27,0,1997
24,49.867,25,55.0,+0:27,,Nardello Daniele,55,Mapei-GB,",, 0:27",0,1997
24,49.867,196,56.0,+0:27,,Hincapie George,56,US Postal Service,",, 0:27",0,1997
28,49.773,92,57.0,+0:28,,Moncassin Fr\xe9d\xe9ric,57,GAN,0:28 0:28,0,1997
34,49.773,166,58.0,+0:28,,Tchmil Andrei,58,Lotto - Mobistar,",, 0:28",0,1997
26,49.773,85,59.0,+0:28,,Padrnos Pavel,59,Roslotto-ZG Mobili,",, 0:28",0,1997
31,49.678999999999995,152,60.0,+0:29,,Alonso Marino,60,Banesto,0:29 0:29,0,1997
33,49.678999999999995,217,61.0,+0:29,,Lance Pascal,61,BigMat - Auber 93,",, 0:29",0,1997
30,49.678999999999995,78,62.0,+0:29,,Sciandri Maximilian,62,La Fran\xe7aise des Jeux,",, 0:29",0,1997
31,49.678999999999995,136,63.0,+0:29,,Jaermann Rolf,63,Casino - C'est votre \xe9quipe,",, 0:29",0,1997
24,49.678999999999995,121,64.0,+0:29,,Luttenberger Peter,64,Rabobank ProTeam,",, 0:29",0,1997
23,49.678999999999995,49,65.0,+0:29,,Tosatto Matteo,65,MG Maglificio - Technogym,",, 0:29",0,1997
28,49.678999999999995,12,66.0,+0:29,,Bortolami Gianluca,66,Festina - Lotus,",, 0:29",0,1997
29,49.678999999999995,134,67.0,+0:29,,Chanteur Pascal,67,Casino - C'est votre \xe9quipe,",, 0:29",0,1997
28,49.678999999999995,125,68.0,+0:29,,Jonker Patrick,68,Rabobank ProTeam,",, 0:29",0,1997
30,49.585,148,69.0,+0:30,,Pierobon Gianluca,69,BATIK-DEL MONTE,0:30 0:30,0,1997
25,49.585,77,70.0,+0:30,,Rebellin Davide,70,La Fran\xe7aise des Jeux,",, 0:30",0,1997
29,49.585,43,71.0,+0:30,,Finco Carlo,71,MG Maglificio - Technogym,",, 0:30",0,1997
25,49.585,102,72.0,+0:30,,Blijlevens Jeroen,72,TVM - Farm Frites,",, 0:30",0,1997
27,49.585,138,73.0,+0:30,,Kirsipuu Jaan,73,Casino - C'est votre \xe9quipe,",, 0:30",0,1997
27,49.585,63,74.0,+0:30,,Desbiens Laurent,74,Cofidis,",, 0:30",0,1997
37,49.492,176,75.0,+0:31,,Gonzalez Arsenio,75,Kelme - Costa Blanca,0:31 0:31,0,1997
26,49.492,147,76.0,+0:31,,Odriozola Jon,76,BATIK-DEL MONTE,",, 0:31",0,1997
31,49.492,28,77.0,+0:31,,Tafi Andrea,77,Mapei-GB,",, 0:31",0,1997
26,49.398,83,78.0,+0:32,,Fincato Marco,78,Roslotto-ZG Mobili,0:32 0:32,0,1997
28,49.306000000000004,169,79.0,+0:33,,Wauters Marc,79,Lotto - Mobistar,0:33 0:33,0,1997
33,49.306000000000004,19,80.0,+0:33,,Stephens Neil,80,Festina - Lotus,",, 0:33",0,1997
24,49.306000000000004,157,81.0,+0:33,,Garcia Jose Vicente,81,Banesto,",, 0:33",0,1997
27,49.213,103,82.0,+0:34,,Hamburger Bo,82,TVM - Farm Frites,0:34 0:34,0,1997
26,49.213,154,83.0,+0:34,,Beltran Manuel,83,Banesto,",, 0:34",0,1997
30,49.121,3,84.0,+0:35,,Bolts Udo,84,Team Telekom,0:35 0:35,0,1997
30,49.121,51,85.0,+0:35,,Leblanc Luc,85,Polti,",, 0:35",0,1997
33,49.121,4,86.0,+0:35,,Henn Christian,86,Team Telekom,",, 0:35",0,1997
27,49.121,144,87.0,+0:35,,Colombo Luca,87,BATIK-DEL MONTE,",, 0:35",0,1997
26,49.121,7,88.0,+0:35,,Totschnig Georg,88,Team Telekom,",, 0:35",0,1997
24,49.121,65,89.0,+0:35,,Jalabert Nicolas,89,Cofidis,",, 0:35",0,1997
27,49.121,104,90.0,+0:35,,Hoffman Tristan,90,TVM - Farm Frites,",, 0:35",0,1997
28,49.121,205,91.0,+0:35,,Fraser Gordon,91,La Mutuelle de Seine et Marne,",, 0:35",0,1997
30,49.03,45,92.0,+0:36,,Lecchi Angelo,92,MG Maglificio - Technogym,0:36 0:36,0,1997
25,49.03,86,93.0,+0:36,,Schmidt Torsten,93,Roslotto-ZG Mobili,",, 0:36",0,1997
23,48.93899999999999,93,94.0,+0:37,,O'Grady Stuart,94,GAN,0:37 0:37,0,1997
25,48.93899999999999,66,95.0,+0:37,,Julich Bobby,95,Cofidis,",, 0:37",0,1997
27,48.93899999999999,88,96.0,+0:37,,Strazzer Massimo,96,Roslotto-ZG Mobili,",, 0:37",0,1997
31,48.93899999999999,21,97.0,+0:37,,Museeuw Johan,97,Mapei-GB,",, 0:37",0,1997
23,48.93899999999999,33,98.0,+0:37,,Etxebarria David,98,O.N.C.E.,",, 0:37",0,1997
29,48.93899999999999,42,99.0,+0:37,,Baldato Fabio,99,MG Maglificio - Technogym,",, 0:37",0,1997
32,48.93899999999999,26,100.0,+0:37,,Peeters Wilfried,100,Mapei-GB,",, 0:37",0,1997
28,48.848,2,101.0,+0:38,,Aldag Rolf,101,Team Telekom,0:38 0:38,0,1997
25,48.848,52,103.0,+0:38,,Brasi Rossano,102,Polti,",, 0:38",0,1997
28,48.848,216,102.0,+0:38,,Gouvenou Thierry,103,BigMat - Auber 93,",, 0:38",0,1997
26,48.848,215,104.0,+0:38,,Genty Laurent,104,BigMat - Auber 93,",, 0:38",0,1997
22,48.848,84,105.0,+0:38,,Kokorine Vitali,105,Roslotto-ZG Mobili,",, 0:38",0,1997
26,48.848,113,106.0,+0:38,,Casagrande Francesco,106,Saeco,",, 0:38",0,1997
32,48.848,44,107.0,+0:38,,Fontanelli Fabiano,107,MG Maglificio - Technogym,",, 0:38",0,1997
29,48.848,171,108.0,+0:38,,Escartin Fernando,108,Kelme - Costa Blanca,",, 0:38",0,1997
27,48.757,181,109.0,+0:39,,Pantani Marco,109,Mercatone Uno,0:39 0:39,0,1997
33,48.757,79,110.0,+0:39,,Vanzella Flavio,110,La Fran\xe7aise des Jeux,",, 0:39",0,1997
26,48.757,112,111.0,+0:39,,Buschor Philipp,111,Saeco,",, 0:39",0,1997
30,48.757,37,112.0,+0:39,,Sierra Roberto,112,O.N.C.E.,",, 0:39",0,1997
27,48.667,159,113.0,+0:40,,Sergio Rodrigues Orlando,113,Banesto,0:40 0:40,0,1997
28,48.667,56,114.0,+0:40,,Gualdi Mirko,114,Polti,",, 0:40",0,1997
28,48.667,6,115.0,+0:40,,Lombardi Giovanni,115,Team Telekom,",, 0:40",0,1997
26,48.667,73,116.0,+0:40,,Heulot Stephane,116,La Fran\xe7aise des Jeux,",, 0:40",0,1997
32,48.667,197,117.0,+0:40,,Jemison Marty,117,US Postal Service,",, 0:40",0,1997
34,48.577,143,118.0,+0:41,,Cenghialta Bruno,118,BATIK-DEL MONTE,0:41 0:41,0,1997
27,48.577,199,119.0,+0:41,,Robin Jean-Cyril,119,US Postal Service,",, 0:41",0,1997
27,48.486999999999995,57,120.0,+0:42,,Guerini Giuseppe,120,Polti,0:42 0:42,0,1997
33,48.486999999999995,107,121.0,+0:42,,Skibby Jesper,121,TVM - Farm Frites,",, 0:42",0,1997
33,48.486999999999995,94,122.0,+0:42,,Poli Eros,122,GAN,",, 0:42",0,1997
30,48.486999999999995,173,123.0,+0:42,,Buenahora Hernan,123,Kelme - Costa Blanca,",, 0:42",0,1997
27,48.486999999999995,179,124.0,+0:42,,Vidal Jos\xe9 Angel,124,Kelme - Costa Blanca,",, 0:42",0,1997
34,48.398,214,125.0,+0:43,,Bourguignon Thierry,125,BigMat - Auber 93,0:43 0:43,0,1997
26,48.398,213,126.0,+0:43,,Auger Ludovic,126,BigMat - Auber 93,",, 0:43",0,1997
26,48.398,34,127.0,+0:43,,Garcia Marcelino,127,O.N.C.E.,",, 0:43",0,1997
28,48.398,111,128.0,+0:43,,Gotti Ivan,128,Saeco,",, 0:43",0,1997
30,48.398,161,129.0,+0:43,,Madouas Laurent,129,Lotto - Mobistar,",, 0:43",0,1997
33,48.309,208,130.0,+0:44,,Pillon Laurent,130,La Mutuelle de Seine et Marne,0:44 0:44,0,1997
26,48.309,158,131.0,+0:44,,Jimenez Jose Maria,131,Banesto,",, 0:44",0,1997
26,48.309,195,132.0,+0:44,,Hamilton Tyler,132,US Postal Service,",, 0:44",0,1997
32,48.309,139,133.0,+0:44,,Saligari Marco,133,Casino - C'est votre \xe9quipe,",, 0:44",0,1997
27,48.309,11,134.0,+0:44,,Virenque Richard,134,Festina - Lotus,",, 0:44",0,1997
26,48.309,115,135.0,+0:44,,Fagnini Gian-matteo,135,Saeco,",, 0:44",0,1997
26,48.309,149,136.0,+0:44,,Tartaggia Giuseppe,136,BATIK-DEL MONTE,",, 0:44",0,1997
25,48.309,168,137.0,+0:44,,Van Hyfte Paul,137,Lotto - Mobistar,",, 0:44",0,1997
32,48.309,187,138.0,+0:44,,Siboni Marcello,138,Mercatone Uno,",, 0:44",0,1997
31,48.22,36,139.0,+0:45,,Mauleon Francisco Javier,139,O.N.C.E.,0:45 0:45,0,1997
24,48.22,53,140.0,+0:45,,Chaurreau I\xf1igo,140,Polti,",, 0:45",0,1997
28,48.22,74,141.0,+0:45,,Mengin Christophe,141,La Fran\xe7aise des Jeux,",, 0:45",0,1997
26,48.22,142,142.0,+0:45,,Brognara Andrea,142,BATIK-DEL MONTE,",, 0:45",0,1997
25,48.22,72,143.0,+0:45,,Guesdon Fr\xe9d\xe9ric,143,La Fran\xe7aise des Jeux,",, 0:45",0,1997
28,48.132,82,144.0,+0:46,,Djavanian Viatcheslav,144,Roslotto-ZG Mobili,0:46 0:46,0,1997
