Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
26,,101,1.0,+0:00,100.0,Kittel Marcel,1,Team Giant - Shimano,4:44:07 4:44:07,20.0,1,2014
24,,51,2.0,+0:00,70.0,Sagan Peter,2,Cannondale,",, ,,",10.0,1,2014
26,,97,3.0,+0:00,50.0,Navardauskas Ramunas,3,Garmin Sharp,",, ,,",6.0,1,2014
22,,153,4.0,+0:00,40.0,Coquard Bryan,4,Team Europcar,",, ,,",4.0,1,2014
34,,38,5.0,+0:00,32.0,Rogers Michael,5,Tinkoff - Saxo,",, ,,",2.0,1,2014
29,,1,6.0,+0:00,26.0,Froome Christopher,6,Team Sky,",, ,,",,1,2014
27,,23,7.0,+0:00,22.0,Kristoff Alexander,7,Team Katusha,",, ,,",,1,2014
25,,68,8.0,+0:00,18.0,Vanmarcke Sep,8,Belkin-Pro Cycling Team,",, ,,",,1,2014
29,,18,9.0,+0:00,14.0,Rojas Jos\xe9 Joaqu\xedn,9,Movistar Team,",, ,,",,1,2014
33,,182,10.0,+0:00,10.0,Albasini Michael,10,Orica GreenEDGE,",, ,,",,1,2014
33,,163,11.0,+0:00,8.0,Cancellara Fabian,11,Trek Factory Racing,",, ,,",,1,2014
28,,209,12.0,+0:00,6.0,Voss Paul,12,Team NetApp \u2013 Endura,",, ,,",,1,2014
29,,148,13.0,+0:00,4.0,Van Avermaet Greg,13,BMC Racing Team,",, ,,",,1,2014
35,,193,14.0,+0:00,2.0,Elmiger Martin,14,IAM Cycling,",, ,,",,1,2014
33,,84,15.0,+0:00,1.0,Dumoulin Samuel,15,AG2R La Mondiale,",, ,,",,1,2014
27,,183,16.0,+0:00,,Clarke Simon,16,Orica GreenEDGE,",, ,,",,1,2014
28,,8,17.0,+0:00,,Thomas Geraint,17,Team Sky,",, ,,",,1,2014
31,,135,18.0,+0:00,,Greipel Andr\xe9,18,Lotto Belisol,",, ,,",,1,2014
31,,103,19.0,+0:00,,de Kort Koen,19,Team Giant - Shimano,",, ,,",,1,2014
31,,131,20.0,+0:00,,Van den Broeck Jurgen,20,Lotto Belisol,",, ,,",,1,2014
27,,61,21.0,+0:00,,Mollema Bauke,21,Belkin-Pro Cycling Team,",, ,,",,1,2014
31,,31,22.0,+0:00,,Contador Alberto,22,Tinkoff - Saxo,",, ,,",,1,2014
28,,206,23.0,+0:00,,Machado Tiago,23,Team NetApp \u2013 Endura,",, ,,",,1,2014
34,,11,24.0,+0:00,,Valverde Alejandro,24,Movistar Team,",, ,,",,1,2014
28,,92,25.0,+0:00,,Acevedo Janier Alexis,25,Garmin Sharp,",, ,,",,1,2014
26,,201,26.0,+0:00,,K\xf6nig Leopold,26,Team NetApp \u2013 Endura,",, ,,",,1,2014
35,,192,27.0,+0:00,,Chavanel Sylvain,27,IAM Cycling,",, ,,",,1,2014
29,,7,28.0,+0:00,,Porte Richie,28,Team Sky,",, ,,",,1,2014
29,,42,29.0,+0:00,,Fuglsang Jakob,29,Astana Pro Team,",, ,,",,1,2014
24,,213,30.0,+0:00,,Delaplace Anthony,30,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,1,2014
27,,111,31.0,+0:00,,Costa Rui,31,Lampre - Merida,",, ,,",,1,2014
25,,141,32.0,+0:00,,van Garderen Tejay,32,BMC Racing Team,",, ,,",,1,2014
37,,169,33.0,+0:00,,Zubeldia Haimar,33,Trek Factory Racing,",, ,,",,1,2014
29,,41,34.0,+0:00,,Nibali Vincenzo,34,Astana Pro Team,",, ,,",,1,2014
37,,81,35.0,+0:00,,Peraud Jean-Christophe,35,AG2R La Mondiale,",, ,,",,1,2014
23,,82,36.0,+0:00,,Bardet Romain,36,AG2R La Mondiale,",, ,,",,1,2014
25,,215,37.0,+0:00,,Fonseca Armindo,37,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,1,2014
27,,46,38.0,+0:00,,Kangert Tanel,38,Astana Pro Team,",, ,,",,1,2014
27,,64,39.0,+0:00,,Kruijswijk Steven,39,Belkin-Pro Cycling Team,",, ,,",,1,2014
35,,66,40.0,+0:00,,Tankink Bram,40,Belkin-Pro Cycling Team,",, ,,",,1,2014
24,,127,41.0,+0:00,,Pinot Thibaut,41,FDJ.fr,",, ,,",,1,2014
25,,129,42.0,+0:00,,Vichot Arthur,42,FDJ.fr,",, ,,",,1,2014
25,,98,43.0,+0:00,,Slagter Tom-Jelte,43,Garmin Sharp,",, ,,",,1,2014
29,,166,44.0,+0:00,,Schleck Andy,44,Trek Factory Racing,",, ,,",,1,2014
29,,149,45.0,+0:00,,Velits Peter,45,BMC Racing Team,",, ,,",,1,2014
30,,37,46.0,+0:00,,Roche Nicolas,46,Tinkoff - Saxo,",, ,,",,1,2014
28,,62,174.0,+0:20,,Boom Lars,47,Belkin-Pro Cycling Team,",, ,,",,1,2014
30,,5,47.0,+0:00,,Nieve Mikel,48,Team Sky,",, ,,",,1,2014
29,,202,48.0,+0:00,,B\xe1rta Jan,49,Team NetApp \u2013 Endura,",, ,,",,1,2014
25,,16,49.0,+0:00,,Izagirre Ion,50,Movistar Team,",, ,,",,1,2014
34,,197,50.0,+0:00,,Pineau J\xe9rome,51,IAM Cycling,",, ,,",,1,2014
20,,167,51.0,+0:00,,van Poppel Danny,52,Trek Factory Racing,",, ,,",,1,2014
33,,205,52.0,+0:00,,Huzarski Bartosz,53,Team NetApp \u2013 Endura,",, ,,",,1,2014
30,,214,53.0,+0:00,,Feillu Romain,54,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,1,2014
27,,191,54.0,+0:00,,Frank Mathias,55,IAM Cycling,",, ,,",,1,2014
28,,211,55.0,+0:00,,Feillu Brice,56,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,1,2014
29,,93,56.0,+0:00,,Bauer Jack,57,Garmin Sharp,",, ,,",,1,2014
27,,151,57.0,+0:00,,Rolland Pierre,58,Team Europcar,",, ,,",,1,2014
33,,67,58.0,+0:00,,ten Dam Laurens,59,Belkin-Pro Cycling Team,",, ,,",,1,2014
34,,161,59.0,+0:00,,Schleck Fr\xe4nk,60,Trek Factory Racing,",, ,,",,1,2014
22,,121,60.0,+0:00,,D\xe9mare Arnaud,61,FDJ.fr,",, ,,",,1,2014
21,,189,61.0,+0:00,,Yates Simon,62,Orica GreenEDGE,",, ,,",,1,2014
31,,49,62.0,+0:00,,Westra Lieuwe,63,Astana Pro Team,",, ,,",,1,2014
25,,116,63.0,+0:00,,Oliveira Nelson,64,Lampre - Merida,",, ,,",,1,2014
42,,114,64.0,+0:00,,Horner Chris,65,Lampre - Merida,",, ,,",,1,2014
26,,154,65.0,+0:00,,Gautier Cyril,66,Team Europcar,",, ,,",,1,2014
34,,47,66.0,+0:00,,Scarponi Michele,67,Astana Pro Team,",, ,,",,1,2014
26,,142,67.0,+0:00,,Atapuma John Darwin,68,BMC Racing Team,",, ,,",,1,2014
26,,85,68.0,+0:00,,Gastauer Ben,69,AG2R La Mondiale,",, ,,",,1,2014
26,,147,69.0,+0:00,,Stetina Peter,70,BMC Racing Team,",, ,,",,1,2014
34,,165,70.0,+0:00,,Rast Gregory,71,Trek Factory Racing,",, ,,",,1,2014
26,,26,71.0,+0:00,,Silin Egor,72,Team Katusha,",, ,,",,1,2014
