Age,Avg,Pnt,Rider,Rnk,Team,stage,year
29.0,,50.0,Boardman Christopher,1,GAN,0,1998
27.0,,30.0,Moreau Christophe,2,Festina - Lotus,0,1998
29.0,,18.0,Jalabert Laurent,3,O.N.C.E.,0,1998
25.0,,13.0,Baranowski Dariusz,4,US Postal Service,0,1998
29.0,,10.0,Jonker Patrick,5,Rabobank ProTeam,0,1998
25.0,,7.0,Jalabert Nicolas,6,Cofidis,0,1998
33.0,,4.0,S\xf8rensen Rolf,7,Rabobank ProTeam,0,1998
35.0,,3.0,Bourguignon Thierry,8,BigMat - Auber 93,0,1998
30.0,,2.0,Capelle Christophe,9,Cofidis,0,1998
23.0,,1.0,Verbrugghe Rik,10,Lotto - Mobistar,0,1998
29.0,,,Llaneras Juan,11,,0,1998
29.0,,,Thibout Bruno,12,Cofidis,0,1998
30.0,,,Brochard Laurent,13,Festina - Lotus,0,1998
27.0,,,Odriozola Jon,14,Banesto,0,1998
30.0,,,Teteriouk Andrei,15,Lotto - Mobistar,0,1998
28.0,,,Desbiens Laurent,16,Cofidis,0,1998
21.0,,,Lefevre Laurent,17,Festina - Lotus,0,1998
27.0,,,Rous Didier,18,Festina - Lotus,0,1998
23.0,,,Perez Luis,19,O.N.C.E.,0,1998
27.0,,,Vasseur C\xe9dric,20,GAN,0,1998
24.0,,,Vinokourov Alexandre,21,Casino - AG2R,0,1998
24.0,,,Bouyer Franck,22,La Fran\xe7aise des Jeux,0,1998
32.0,,,Ekimov Viatcheslav,23,US Postal Service,0,1998
28.0,,,Hamburger Bo,24,Casino - AG2R,0,1998
29.0,,,De Las Cuevas Armand,25,Banesto,0,1998
28.0,,,Zarrabeitia Mikel,26,O.N.C.E.,0,1998
33.0,,,Bruyneel Johan,27,O.N.C.E.,0,1998
26.0,,,Julich Bobby,28,Cofidis,0,1998
28.0,,,Vidal Jos\xe9 Angel,29,Kelme - Costa Blanca,0,1998
34.0,,,Stephens Neil,30,Festina - Lotus,0,1998
29.0,,,Gouvenou Thierry,31,BigMat - Auber 93,0,1998
28.0,,,Bouvard Gilles,32,Casino - AG2R,0,1998
29.0,,,Teyssier Francisque,33,Mutuelle de Seine-et-Marne,0,1998
29.0,,,Maignan Gilles,34,Mutuelle de Seine-et-Marne,0,1998
32.0,,,Meinert-Nielsen Peter,35,US Postal Service,0,1998
29.0,,,Cuesta \xcd\xf1igo,36,O.N.C.E.,0,1998
31.0,,,Bolts Udo,37,Team Telekom - ARD,0,1998
28.0,,,Vierhouten Aart,38,Rabobank ProTeam,0,1998
26.0,,,Voigt Jens,39,GAN,0,1998
29.0,,,Moncassin Fr\xe9d\xe9ric,40,GAN,0,1998
27.0,,,Genty Laurent,41,BigMat - Auber 93,0,1998
25.0,,,Barthe St\xe9phane,42,Casino - AG2R,0,1998
29.0,,,Simon Fran\xe7ois,43,GAN,0,1998
28.0,,,Berzin Yewgeni,44,La Fran\xe7aise des Jeux,0,1998
27.0,,,Solaun Cesar,45,Banesto,0,1998
27.0,,,Steinhauser Tobias,46,Vitalicio Seguros,0,1998
