Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27,0.0,1,+0:00,50.0,Zabriskie David,1,CSC ProTeam,4:36:24 4:36:24,0,2006
32,0.0,2,+0:02,30.0,Hincapie George,2,Discovery Channel,2:28 2:28,0,2006
32,0.0,3,+0:06,18.0,O'Grady Stuart,3,CSC ProTeam,6:07 6:07,0,2006
26,0.0,4,+0:07,13.0,Lang Sebastian,4,Gerolsteiner,7:31 7:31,0,2006
25,0.0,5,+0:08,10.0,Posthuma Joost,5,Rabobank ProTeam,7:35 7:35,0,2006
26,0.0,6,+0:08,7.0,Devolder Stijn,6,Discovery Channel,7:40 7:40,0,2006
26,0.0,7,+0:08,4.0,Valverde Alejandro,7,Caisse d'Epargne - Illes Balears,8:01 8:01,0,2006
23,0.0,8,+0:08,3.0,Gusev Vladimir,8,Discovery Channel,8:10 8:10,0,2006
30,0.0,9,+0:08,2.0,Landis Floyd,9,Phonak Hearing Systems,8:00 8:00,0,2006
26,0.0,10,+0:09,1.0,Kashechkin Andrey,10,Astana - W\xfcrth Team,8:19 8:19,0,2006
23,0.0,11,+0:09,,Mazur Piotr,11,,8:50 8:50,0,2006
35,0.0,12,+0:09,,Moreau Christophe,12,AG2R Pr\xe9voyance,9:36 9:36,0,2006
30,0.0,13,+0:09,,Grabsch Bert,13,Phonak Hearing Systems,9:01 9:01,0,2006
28,0.0,14,+0:10,,Hushovd Thor,14,Cr\xe9dit Agricole,9:32 9:32,0,2006
32,0.0,15,+0:10,,Vinokourov Alexandre,15,Astana - W\xfcrth Team,10:02 10:02,0,2006
25,0.0,16,+0:10,,Hesjedal Ryder,16,Phonak Hearing Systems,10:07 10:07,0,2006
28,0.0,17,+0:11,,Pereiro Oscar,17,Caisse d'Epargne - Illes Balears,10:26 10:26,0,2006
26,0.0,18,+0:11,,Quinziato Manuel,18,Liquigas,10:37 10:37,0,2006
21,0.0,19,+0:11,,Nibali Vincenzo,19,Liquigas,10:46 10:46,0,2006
28,0.0,20,+0:11,,Menchov Denis,20,Rabobank ProTeam,11:39 11:39,0,2006
26,0.0,21,+0:11,,Wiggins Bradley,21,Cofidis,11:02 11:02,0,2006
28,0.0,22,+0:11,,Scholz Ronny,22,Gerolsteiner,11:06 11:06,0,2006
21,0.0,23,+0:12,,Dekker Thomas,23,Rabobank ProTeam,11:23 11:23,0,2006
23,0.0,24,+0:12,,Gilbert Philippe,24,Fran\xe7aise des Jeux,11:30 11:30,0,2006
35,0.0,25,+0:12,,Dekker Erik,25,Rabobank ProTeam,11:34 11:34,0,2006
35,0.0,26,+0:12,,Rous Didier,26,Bouygues Telecom,11:35 11:35,0,2006
30,0.0,27,+0:12,,Barry Michael,27,Discovery Channel,11:39 11:39,0,2006
27,0.0,28,+0:12,,Cama\xf1o Iker,28,Euskaltel - Euskadi,12:10 12:10,0,2006
26,0.0,29,+0:13,,Popovych Yaroslav,29,Discovery Channel,12:19 12:19,0,2006
28,0.0,30,+0:13,,Wielinga Remmert,30,Quickstep - Innergetic,12:30 12:30,0,2006
24,0.0,31,+0:13,,Vandborg Brian,31,CSC ProTeam,12:38 12:38,0,2006
30,0.0,32,+0:13,,Brard Florent,32,Caisse d'Epargne - Illes Balears,12:40 12:40,0,2006
30,0.0,33,+0:13,,Pinotti Marco,33,Saunier Duval - Prodir,13:08 13:08,0,2006
22,0.0,34,+0:14,,Grivko Andrei,34,Milram,13:30 13:30,0,2006
24,0.0,35,+0:14,,Hernandez Gutierrez Aitor,35,Euskaltel - Euskadi,13:36 13:36,0,2006
24,0.0,36,+0:14,,Barredo Carlos,36,Astana - W\xfcrth Team,13:40 13:40,0,2006
33,0.0,37,+0:14,,Jalabert Nicolas,37,Phonak Hearing Systems,14:22 14:22,0,2006
26,0.0,38,+0:14,,Edaleine Christophe,38,Cr\xe9dit Agricole,14:25 14:25,0,2006
24,0.0,39,+0:14,,Pozzato Filippo,39,Quickstep - Innergetic,14:30 14:30,0,2006
34,0.0,40,+0:15,,Horner Chris,40,Saunier Duval - Prodir,15:00 15:00,0,2006
27,0.0,41,+0:15,,Noval Benjamin,41,Discovery Channel,15:19 15:19,0,2006
30,0.0,42,+0:15,,Mancebo Francisco,42,AG2R Pr\xe9voyance,15:06 15:06,0,2006
31,0.0,43,+0:15,,Horrillo Pedro,43,Rabobank ProTeam,15:09 15:09,0,2006
26,0.0,44,+0:15,,Astarloza Mikel,44,AG2R Pr\xe9voyance,15:15 15:15,0,2006
31,0.0,45,+0:16,,Arvesen Kurt-Asle,45,CSC ProTeam,15:23 15:23,0,2006
24,0.0,46,+0:16,,Vaugrenard Benoit,46,Fran\xe7aise des Jeux,15:50 15:50,0,2006
23,0.0,47,+0:16,,Renshaw Mark,47,Cr\xe9dit Agricole,16:13 16:13,0,2006
32,0.0,48,+0:16,,Leipheimer Levi,48,Gerolsteiner,16:22 16:22,0,2006
26,0.0,49,+0:16,,Joly S\xe9bastien,49,Fran\xe7aise des Jeux,16:23 16:23,0,2006
33,0.0,50,+0:16,,H\xf8j Frank,50,Gerolsteiner,16:29 16:29,0,2006
28,0.0,51,+0:16,,Siedler Sebastian,51,Milram,16:30 16:30,0,2006
31,0.0,52,+0:16,,S\xf8rensen Nicki,52,CSC ProTeam,16:31 16:31,0,2006
33,0.0,53,+0:16,,Garcia Jose Vicente,53,Caisse d'Epargne - Illes Balears,16:05 16:05,0,2006
25,0.0,54,+0:17,,Duenas Moises,54,Agritubel,16:19 16:19,0,2006
25,0.0,55,+0:17,,Martias Rony,55,Bouygues Telecom,16:28 16:28,0,2006
32,0.0,56,+0:17,,Azevedo Jos\xe9 Bento Carvalho,56,Discovery Channel,16:42 16:42,0,2006
27,0.0,57,+0:17,,Flickinger Andy,57,Bouygues Telecom,",, 16:42",0,2006
24,0.0,58,+0:17,,Lorenzetto Mirco,58,Milram,16:44 16:44,0,2006
24,0.0,59,+0:17,,Dekkers Hans,59,Agritubel,17:06 17:06,0,2006
27,0.0,60,+0:17,,Portal Nicolas,60,Caisse d'Epargne - Illes Balears,17:12 17:12,0,2006
26,0.0,61,+0:17,,Chavanel Sylvain,61,Cofidis,17:36 17:36,0,2006
29,0.0,62,+0:17,,Sevilla Oscar,62,T-Mobile Team,17:03 17:03,0,2006
27,0.0,63,+0:18,,Kuyckx Jan,63,Davitamon - Lotto,17:17 17:17,0,2006
33,0.0,64,+0:18,,Nardello Daniele,64,T-Mobile Team,17:27 17:27,0,2006
27,0.0,65,+0:18,,Fritsch Nicolas,65,Saunier Duval - Prodir,17:34 17:34,0,2006
35,0.0,66,+0:18,,Vasseur C\xe9dric,66,Quickstep - Innergetic,17:44 17:44,0,2006
23,0.0,67,+0:18,,Giling Bas,67,T-Mobile Team,17:47 17:47,0,2006
26,0.0,68,+0:18,,Bak Lars Ytting,68,CSC ProTeam,17:53 17:53,0,2006
33,0.0,69,+0:18,,Baranowski Dariusz,69,Astana - W\xfcrth Team,17:54 17:54,0,2006
29,0.0,70,+0:18,,Gustov Volodymyr,70,CSC ProTeam,18:24 18:24,0,2006
36,0.0,71,+0:18,,Milesi Marco,71,Liquigas,18:05 18:05,0,2006
28,0.0,72,+0:18,,Becke Daniel,72,Milram,18:08 18:08,0,2006
25,0.0,73,+0:18,,Wegmann Fabian,73,Gerolsteiner,18:13 18:13,0,2006
33,0.0,74,+0:19,,Luttenberger Peter,74,CSC ProTeam,18:35 18:35,0,2006
25,0.0,75,+0:19,,Da Dalto Mauro,75,Liquigas,18:38 18:38,0,2006
31,0.0,76,+0:19,,Dessel Cyril,76,AG2R Pr\xe9voyance,18:40 18:40,0,2006
26,0.0,77,+0:19,,Voeckler Thomas,77,Bouygues Telecom,19:08 19:08,0,2006
33,0.0,78,+0:19,,Beneteau Walter,78,Bouygues Telecom,19:11 19:11,0,2006
28,0.0,79,+0:19,,Martinez Egoi,79,Discovery Channel,19:15 19:15,0,2006
25,0.0,80,+0:19,,Mertens Pieter,80,Davitamon - Lotto,19:22 19:22,0,2006
25,0.0,81,+0:19,,Pena Aketza,81,Euskaltel - Euskadi,19:00 19:00,0,2006
