Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
27,47.626000000000005,,+0:00,50.0,Contador Alberto,1,Astana,8:34 8:34,6.0,0,2010
21,47.442,,+0:00,30.0,van Garderen Tejay,2,Team HTC - Columbia,0:02 0:02,4.0,0,2010
26,47.168,,+0:00,18.0,Brajkovi\u010d Janez,3,RadioShack,0:05 0:05,2.0,0,2010
24,46.718,,+0:00,13.0,Thomas Geraint,4,Sky Procycling,0:10 0:10,1.0,0,2010
25,46.54,,+0:00,10.0,Cataldo Dario,5,Quickstep - Innergetic,0:12 0:12,1.0,0,2010
28,46.54,,+0:00,7.0,Pauriol R\xe9mi,6,Cofidis Le Credit en Ligne,",, 0:12",,0,2010
22,46.54,,+0:00,4.0,Malori Adriano,7,,",, 0:12",,0,2010
23,46.452,,+0:00,3.0,Gretsch Patrick,8,Team HTC - Columbia,0:13 0:13,,0,2010
26,46.452,,+0:00,2.0,Martens Paul,9,Rabobank ProTeam,",, 0:13",,0,2010
23,46.364,,+0:00,1.0,Coppel J\xe9rome,10,Saur - Sojasun,0:14 0:14,,0,2010
29,46.364,,+0:00,,Riblon Christophe,11,AG2R La Mondiale,",, 0:14",,0,2010
31,46.276,,+0:00,,Verdugo Gorka,12,Euskaltel - Euskadi,0:15 0:15,,0,2010
33,46.276,,+0:00,,Millar David,13,Team Garmin - Transitions,",, 0:15",,0,2010
24,46.276,,+0:00,,Bole Grega,14,Lampre - Farnese Vini,",, 0:15",,0,2010
32,46.18899999999999,,+0:00,,Tjallingii Maarten,15,Rabobank ProTeam,0:16 0:16,,0,2010
30,46.18899999999999,,+0:00,,Pasamontes Luis,16,Caisse d'Epargne,",, 0:16",,0,2010
29,46.18899999999999,,+0:00,,Knees Christian,17,Milram,",, 0:16",,0,2010
25,46.102,,+0:00,,Samoilau Branislau,18,Quickstep - Innergetic,0:17 0:17,,0,2010
30,46.102,,+0:00,,Plaza Rub\xe9n,19,Caisse d'Epargne,",, 0:17",,0,2010
23,46.102,,+0:00,,Hermans Ben,20,RadioShack,",, 0:17",,0,2010
23,46.102,,+0:00,,Koren Kristijan,21,Liquigas - Doimo,",, 0:17",,0,2010
33,46.015,,+0:00,,Peraud Jean-Christophe,22,Omega Pharma-Lotto,0:18 0:18,,0,2010
33,46.015,,+0:00,,Zubeldia Haimar,23,RadioShack,",, 0:18",,0,2010
38,46.015,,+0:00,,Horner Chris,24,RadioShack,",, 0:18",,0,2010
39,45.928999999999995,,+0:00,,Moreau Christophe,25,Caisse d'Epargne,0:19 0:19,,0,2010
32,45.928999999999995,,+0:00,,Vogondy Nicolas,26,Bbox Bouygues Telecom,",, 0:19",,0,2010
27,45.928999999999995,,+0:00,,Gusev Vladimir,27,Team Katusha,",, 0:19",,0,2010
25,45.843,,+0:00,,Velits Peter,28,Team HTC - Columbia,0:20 0:20,,0,2010
27,45.757,,+0:00,,Van den Broeck Jurgen,29,Omega Pharma-Lotto,0:21 0:21,,0,2010
27,45.672,,+0:00,,Soler Juan Mauricio,30,Caisse d'Epargne,0:22 0:22,,0,2010
29,45.672,,+0:00,,Vansummeren Johan,31,Team Garmin - Transitions,",, 0:22",,0,2010
29,45.586999999999996,,+0:00,,Le M\xe9vel Christophe,32,Francaise des Jeux,0:23 0:23,,0,2010
23,45.586999999999996,,+0:00,,Ovechkin Artem,33,Team Katusha,",, 0:23",,0,2010
25,45.586999999999996,,+0:00,,Finetto Mauro,34,Liquigas - Doimo,",, 0:23",,0,2010
32,45.501999999999995,,+0:00,,Menchov Denis,35,Rabobank ProTeam,0:24 0:24,,0,2010
