Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
28,53.393,24,1.0,+0:00,50.0,,Kwiatkowski Michal,1,Team Sky,7:25 7:25,,60.0,,0,2018
33,53.273999999999994,186,2.0,+0:01,30.0,,van Emden Jos,2,Team LottoNL-Jumbo,0:01 0:01,,25.0,,0,2018
24,53.036,25,3.0,+0:03,18.0,,Moscon Gianni,3,Team Sky,0:03 0:03,,10.0,,0,2018
26,52.8,72,4.0,+0:05,13.0,,Campenaerts Victor,4,Lotto Soudal,0:05 0:05,,,,0,2018
27,52.8,42,5.0,+0:05,10.0,,Bevin Patrick,5,BMC Racing Team,",, 0:05",,,,0,2018
28,52.683,203,6.0,+0:06,7.0,,Br\xe4ndle Matthias,6,Trek - Segafredo,0:06 0:06,,,,0,2018
25,52.566,104,7.0,+0:07,4.0,,Jungels Bob,7,Quick-Step Floors,0:07 0:07,,,,0,2018
29,52.335,74,8.0,+0:09,3.0,,Keukeleire Jens,8,Lotto Soudal,0:09 0:09,,,,0,2018
31,52.335,22,9.0,+0:09,2.0,,Castroviejo Jonathan,9,Team Sky,",, 0:09",,,,0,2018
34,52.105,44,10.0,+0:11,1.0,,Bookwalter Brent,10,BMC Racing Team,0:11 0:11,,,,0,2018
24,52.105,132,11.0,+0:11,,,Edmondson Alexander,11,Mitchelton-Scott,",, 0:11",,,,0,2018
33,51.99100000000001,135,12.0,+0:12,,,Impey Daryl,12,Mitchelton-Scott,0:12 0:12,,,,0,2018
34,51.878,107,13.0,+0:13,,,Terpstra Niki,13,Quick-Step Floors,0:13 0:13,,,,0,2018
25,51.878,191,14.0,+0:13,,,Teunissen Mike,14,Team Sunweb,",, 0:13",,,,0,2018
26,51.878,27,15.0,+0:13,,,van Baarle Dylan,15,Team Sky,",, 0:13",,,,0,2018
26,51.878,154,16.0,+0:13,,,Craddock Lawson,16,Team EF Education First-Drapac p/b Cannondale,",, 0:13",,,,0,2018
25,51.765,101,17.0,+0:14,,,Alaphilippe Julian,17,Quick-Step Floors,0:14 0:14,,,,0,2018
22,51.765,116,18.0,+0:14,,,Thomas Benjamin,18,Groupama - FDJ,",, 0:14",,,,0,2018
32,51.765,182,19.0,+0:14,,,Boom Lars,19,Team LottoNL-Jumbo,",, 0:14",,,,0,2018
21,51.765,185,20.0,+0:14,,,Powless Neilson,20,Team LottoNL-Jumbo,",, 0:14",,,,0,2018
30,51.652,41,21.0,+0:15,,,Caruso Damiano,21,BMC Racing Team,0:15 0:15,,,,0,2018
22,51.652,102,22.0,+0:15,,,De Plus Laurens,22,Quick-Step Floors,",, 0:15",,,,0,2018
29,51.652,77,23.0,+0:15,,,Wallays Jelle,23,Lotto Soudal,",, 0:15",,,,0,2018
28,51.54,201,24.0,+0:16,,,Felline Fabio,24,Trek - Segafredo,0:16 0:16,,,,0,2018
26,51.54,7,25.0,+0:16,,,Valgren Michael,25,Astana Pro Team,",, 0:16",,,,0,2018
28,51.54,45,26.0,+0:16,,,Rosskopf Joey,26,BMC Racing Team,",, 0:16",,,,0,2018
25,51.428999999999995,97,27.0,+0:17,,,S\xfctterlin Jasha,27,Movistar Team,0:17 0:17,,,,0,2018
22,51.428999999999995,213,28.0,+0:17,,,Ermenault Corentin,28,Vital Concept Cycling Club,",, 0:17",,,,0,2018
28,51.317,121,29.0,+0:18,,,Zakarin Ilnur,29,Team Katusha - Alpecin,0:18 0:18,,,,0,2018
31,51.317,171,30.0,+0:18,,,Boasson Hagen Edvald,30,Team Dimension Data,",, 0:18",,,,0,2018
26,51.317,65,31.0,+0:18,,,P\xf6stlberger Lukas,31,BORA - hansgrohe,",, 0:18",,,,0,2018
24,51.317,43,32.0,+0:18,,,Bohli Tom,32,BMC Racing Team,",, 0:18",,,,0,2018
37,51.317,172,33.0,+0:18,,,Cummings Stephen,33,Team Dimension Data,",, 0:18",,,,0,2018
25,51.317,64,34.0,+0:18,,,McCarthy Jay,34,BORA - hansgrohe,",, 0:18",,,,0,2018
23,51.317,23,35.0,+0:18,,,Geoghegan Hart Tao,35,Team Sky,",, 0:18",,,,0,2018
25,51.207,92,36.0,+0:19,,,Arcas Jorge,36,Movistar Team,0:19 0:19,,,,0,2018
26,51.207,204,37.0,+0:19,,,Grmay Tsgabu,37,Trek - Segafredo,",, 0:19",,,,0,2018
30,51.207,33,38.0,+0:19,,,Gallopin Tony,38,AG2R La Mondiale,",, 0:19",,,,0,2018
24,51.097,91,39.0,+0:20,,,Soler Marc,39,Movistar Team,0:20 0:20,,,,0,2018
26,51.097,211,40.0,+0:20,,,Coquard Bryan,40,Vital Concept Cycling Club,",, 0:20",,,,0,2018
28,50.986999999999995,1,41.0,+0:21,,,Bilbao Pello,41,Astana Pro Team,0:21 0:21,,,,0,2018
25,50.986999999999995,131,42.0,+0:21,,,Yates Adam,42,Mitchelton-Scott,",, 0:21",,,,0,2018
32,50.986999999999995,21,43.0,+0:21,,,Thomas Geraint,43,Team Sky,",, 0:21",,,,0,2018
27,50.878,114,44.0,+0:22,,,Ludvigsson Tobias,44,Groupama - FDJ,0:22 0:22,,,,0,2018
28,50.878,26,45.0,+0:22,,,Rowe Luke,45,Team Sky,",, 0:22",,,,0,2018
28,50.878,115,46.0,+0:22,,,Molard Rudy,46,Groupama - FDJ,",, 0:22",,,,0,2018
33,50.878,156,47.0,+0:22,,,Langeveld Sebastian,47,Team EF Education First-Drapac p/b Cannondale,",, 0:22",,,,0,2018
27,50.769,31,48.0,+0:23,,,Bardet Romain,48,AG2R La Mondiale,0:23 0:23,,,,0,2018
22,50.769,133,49.0,+0:23,,,Hamilton Lucas,49,Mitchelton-Scott,",, 0:23",,,,0,2018
27,50.769,4,50.0,+0:23,,,Houle Hugo,50,Astana Pro Team,",, 0:23",,,,0,2018
