Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
24,,95.0,1.0,+0:00,80.0,Quaranta Ivan,1,Mobilvetta Design - Northwave,4:38:51 4:38:51,1,1999
27,,151.0,,+0:00,50.0,Blijlevens Jeroen,2,TVM - Farm Frites,",, ,,",1,1999
32,,131.0,,+0:00,35.0,Cipollini Mario,3,Saeco - Cannondale,",, ,,",1,1999
26,,43.0,,+0:00,25.0,Trenti Guido,4,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
26,,168.0,,+0:00,18.0,Vainsteins Romans,5,Vini Caldirola - Sidermec,",, ,,",1,1999
28,,66.0,,+0:00,15.0,Missaglia Gabriele,6,,",, ,,",1,1999
27,,144.0,,+0:00,12.0,Guidi Fabrizio,7,Polti,",, ,,",1,1999
34,,7.0,,+0:00,10.0,Fontanelli Fabiano,8,Mercatone Uno - Bianchi,",, ,,",1,1999
28,,53.0,,+0:00,8.0,Edo Angel,9,Kelme - Costa Blanca,",, ,,",1,1999
30,,74.0,,+0:00,6.0,Leoni Endrio,10,,",, ,,",1,1999
24,,107.0,,+0:00,5.0,Glomser Gerrit,11,Navigare - Gaerne,",, ,,",1,1999
25,,3.0,,+0:00,4.0,Garzelli Stefano,12,Mercatone Uno - Bianchi,",, ,,",1,1999
31,,72.0,,+0:00,3.0,Teteriouk Andrei,13,,",, ,,",1,1999
29,,39.0,,+0:00,2.0,Sergio Rodrigues Orlando,14,Banesto,",, ,,",1,1999
27,,61.0,,+0:00,1.0,Camenzind Oscar,15,,",, ,,",1,1999
23,,83.0,,+0:00,,Figueras Giuliano,16,Mapei - Quickstep,",, ,,",1,1999
23,,102.0,,+0:00,,Balducci Gabriele,17,Navigare - Gaerne,",, ,,",1,1999
26,,132.0,,+0:00,,Savoldelli Paolo,18,Saeco - Cannondale,",, ,,",1,1999
27,,147.0,,+0:00,,Rebellin Davide,19,Polti,",, ,,",1,1999
30,,87.0,,+0:00,,Noe Andrea,20,Mapei - Quickstep,",, ,,",1,1999
30,,114.0,,+0:00,,Jalabert Laurent,21,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
30,,171.0,,+0:00,,Clavero Daniel,22,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
25,,8.0,,+0:00,,Velo Marco,23,Mercatone Uno - Bianchi,",, ,,",1,1999
29,,1.0,,+0:00,,Pantani Marco,24,Mercatone Uno - Bianchi,",, ,,",1,1999
31,,2.0,,+0:00,,Zaina Enrico,25,Mercatone Uno - Bianchi,",, ,,",1,1999
25,,82.0,,+0:00,,Di Grande Giuseppe,26,Mapei - Quickstep,",, ,,",1,1999
28,,33.0,,+0:00,,Jimenez Jose Maria,27,Banesto,",, ,,",1,1999
27,,86.0,,+0:00,,McRae William Chann,28,Mapei - Quickstep,",, ,,",1,1999
28,,165.0,,+0:00,,Honchar Serhiy,29,Vini Caldirola - Sidermec,",, ,,",1,1999
25,,44.0,,+0:00,,Sgambelluri Roberto,30,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
27,,117.0,,+0:00,,Peron Andrea,31,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
26,,51.0,,+0:00,,Rubiera Jos\xe9 Luis,32,Kelme - Costa Blanca,",, ,,",1,1999
24,,111.0,,+0:00,,Ca\xf1ada David,33,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
28,,68.0,,+0:00,,Piccoli Mariano,34,,",, ,,",1,1999
27,,125.0,,+0:00,,Shefer Alexandre,35,Riso Scotti - Vinavil,",, ,,",1,1999
22,,56.0,,+0:00,,Sevilla Oscar,36,Kelme - Costa Blanca,",, ,,",1,1999
27,,71.0,,+0:00,,Miceli Nicola,37,,",, ,,",1,1999
35,,91.0,,+0:00,,Richard Pascal,38,Mobilvetta Design - Northwave,",, ,,",1,1999
26,,63.0,,+0:00,,Codol Massimo,39,,",, ,,",1,1999
25,,135.0,,+0:00,,Frigo Dario,40,Saeco - Cannondale,",, ,,",1,1999
24,,154.0,,+0:00,,Ivanov Serguei,41,TVM - Farm Frites,",, ,,",1,1999
30,,143.0,,+0:00,,Gotti Ivan,42,Polti,",, ,,",1,1999
25,,36.0,,+0:00,,Osa Aitor,43,Banesto,",, ,,",1,1999
30,,176.0,,+0:00,,Indurain Prudencio,44,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
34,,138.0,,+0:00,,Scirea Mario,45,Saeco - Cannondale,",, ,,",1,1999
25,,113.0,,+0:00,,Gonzalez Santos,46,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
28,,11.0,,+0:00,,Berzin Yewgeni,47,Amica Chips - Costa de Almeria,",, ,,",1,1999
25,,52.0,,+0:00,,Heras Roberto,48,Kelme - Costa Blanca,",, ,,",1,1999
26,,115.0,,+0:00,,Luttenberger Peter,49,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
33,,88.0,,+0:00,,Tafi Andrea,50,Mapei - Quickstep,",, ,,",1,1999
25,,81.0,,+0:00,,Bettini Paolo,51,Mapei - Quickstep,",, ,,",1,1999
28,,67.0,,+0:00,,Padrnos Pavel,52,,",, ,,",1,1999
32,,173.0,,+0:00,,Buenahora Hernan,53,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
28,,134.0,,+0:00,,Fagnini Gian-matteo,54,Saeco - Cannondale,",, ,,",1,1999
28,,137.0,,+0:00,,Petito Roberto,55,Saeco - Cannondale,",, ,,",1,1999
26,,93.0,,+0:00,,Stangelj Gorazd,56,Mobilvetta Design - Northwave,",, ,,",1,1999
29,,148.0,,+0:00,,Virenque Richard,57,Polti,",, ,,",1,1999
29,,149.0,,+0:00,,Zanette Denis,58,Polti,",, ,,",1,1999
28,,46.0,,+0:00,,Gasperoni Cristian,59,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
23,,108.0,,+0:00,,Panetta Stefano,60,Navigare - Gaerne,",, ,,",1,1999
26,,89.0,,+0:00,,van Heeswijk Max,61,Mapei - Quickstep,",, ,,",1,1999
27,,37.0,,+0:00,,Piepoli Leonardo,62,Banesto,",, ,,",1,1999
23,,76.0,,+0:00,,Mason Oscar,63,,",, ,,",1,1999
27,,45.0,,+0:00,,Gentili Massimiliano,64,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
27,,126.0,,+0:00,,Pozzi Oscar,65,Riso Scotti - Vinavil,",, ,,",1,1999
29,,119.0,,+0:00,,Zarrabeitia Mikel,66,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
24,,47.0,,+0:00,,Magnani Marco,67,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
23,,,,+0:00,,Zanetti Aldo,68,,",, ,,",1,1999
24,,92.0,,+0:00,,Spezialetti Alessandro,69,Mobilvetta Design - Northwave,",, ,,",1,1999
26,,116.0,,+0:00,,Martin Perdiguero Miguel Angel,70,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
27,,27.0,,+0:00,,Simoni Gilberto,71,,",, ,,",1,1999
25,,18.0,,+0:00,,Gili Marco,72,,",, ,,",1,1999
25,,12.0,,+0:00,,De Paoli Daniele,73,Amica Chips - Costa de Almeria,",, ,,",1,1999
23,,103.0,,+0:00,,Pieri Dario,74,Navigare - Gaerne,",, ,,",1,1999
24,,172.0,,+0:00,,Blanco Santiago,75,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
28,,177.0,,+0:00,,Cerezo Francisco,76,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
23,,128.0,,+0:00,,Turicchia Alain,77,Riso Scotti - Vinavil,",, ,,",1,1999
28,,49.0,,+0:00,,Hamburger Bo,78,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
26,,17.0,,+0:00,,Campagnari Simone,79,Amica Chips - Costa de Almeria,",, ,,",1,1999
37,,9.0,,+0:00,,Podenzana Massimo,80,Mercatone Uno - Bianchi,",, ,,",1,1999
