Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
32,45.957,1.0,1.0,+0:00,80.0,,Savoldelli Paolo,1,Discovery Channel,7:50 7:50,,,0,2006
30,44.906000000000006,91.0,2.0,+0:11,50.0,,McGee Bradley,2,Fran\xe7aise des Jeux,0:11 0:11,,,0,2006
31,44.72,143.0,3.0,+0:13,35.0,,Gutierrez Jose Enrique,3,Phonak Hearing Systems,0:13 0:13,,,0,2006
24,44.72,109.0,4.0,+0:13,25.0,,Schumacher Stefan,4,Gerolsteiner,",, 0:13",,,0,2006
35,44.536,212.0,5.0,+0:15,18.0,,Honchar Serhiy,5,T-Mobile Team,0:15 0:15,,,0,2006
27,44.443999999999996,39.0,6.0,+0:16,15.0,,Perez Francisco,6,Caisse d'Epargne - Illes Balears,0:16 0:16,,,0,2006
27,44.443999999999996,35.0,7.0,+0:16,12.0,,Guti\xe9rrez Jos\xe9 Iv\xe1n,7,Caisse d'Epargne - Illes Balears,",, 0:16",,,0,2006
26,44.353,217.0,8.0,+0:17,10.0,,Rogers Michael,8,T-Mobile Team,0:17 0:17,,,0,2006
34,44.262,106.0,9.0,+0:18,8.0,,Rebellin Davide,9,Gerolsteiner,0:18 0:18,,,0,2006
30,44.172,131.0,10.0,+0:19,6.0,,Di Luca Danilo,10,Liquigas,0:19 0:19,,,0,2006
31,44.082,112.0,11.0,+0:20,5.0,,Bruseghin Marzio,11,Lampre-Fondital,0:20 0:20,,,0,2006
28,43.992,2.0,12.0,+0:21,4.0,,Danielson Thomas,12,Discovery Channel,0:21 0:21,,,0,2006
28,43.813,191.0,13.0,+0:23,3.0,,Basso Ivan,13,CSC ProTeam,0:23 0:23,,,0,2006
34,43.636,196.0,14.0,+0:25,2.0,,Voigt Jens,14,CSC ProTeam,0:25 0:25,,,0,2006
24,43.636,111.0,15.0,+0:25,1.0,,Cunego Damiano,15,Lampre-Fondital,",, 0:25",,,0,2006
34,43.548,171.0,16.0,+0:26,,,Simoni Gilberto,16,Saunier Duval - Prodir,0:26 0:26,,,0,2006
37,43.461000000000006,169.0,17.0,+0:27,,,Wauters Marc,17,Rabobank ProTeam,0:27 0:27,,,0,2006
31,43.461000000000006,192.0,18.0,+0:27,,,Sastre Carlos,18,CSC ProTeam,",, 0:27",,,0,2006
28,43.461000000000006,159.0,19.0,+0:27,,,Wielinga Remmert,19,Quickstep - Innergetic,",, 0:27",,,0,2006
31,43.373000000000005,59.0,20.0,+0:28,,,Verbrugghe Rik,20,Cofidis,0:28 0:28,,,0,2006
32,43.287,36.0,21.0,+0:29,,,Horrach Joan,21,Caisse d'Epargne - Illes Balears,0:29 0:29,,,0,2006
29,43.287,71.0,22.0,+0:29,,,Brandt Christophe,22,Davitamon - Lotto,",, 0:29",,,0,2006
31,43.2,133.0,23.0,+0:30,,,Cioni Dario,23,Liquigas,0:30 0:30,,,0,2006
32,43.114,6.0,24.0,+0:31,,,McCartney Jason,24,Discovery Channel,0:31 0:31,,,0,2006
26,43.114,61.0,25.0,+0:31,,,Bellotti Francesco,25,Cr\xe9dit Agricole,",, 0:31",,,0,2006
26,43.114,127.0,26.0,+0:31,,,Scarponi Michele,26,,",, 0:31",,,0,2006
29,43.028,29.0,27.0,+0:32,,,Lefevre Laurent,27,Bouygues Telecom,0:32 0:32,,,0,2006
32,42.942,216.0,28.0,+0:33,,,Pollack Olaf,28,T-Mobile Team,0:33 0:33,,,0,2006
33,42.857,8.0,29.0,+0:34,,,Rubiera Jos\xe9 Luis,29,Discovery Channel,0:34 0:34,,,0,2006
24,42.772,19.0,30.0,+0:35,,,Vaitkus Tomas,30,AG2R Pr\xe9voyance,0:35 0:35,,,0,2006
32,42.772,201.0,,+ -7:50,,,Petacchi Alessandro,31,Milram,",, 0:35",,,0,2006
33,42.772,115.0,,+ -7:50,,,Stangelj Gorazd,32,Lampre-Fondital,",, 0:35",,,0,2006
30,42.688,155.0,,+ -7:50,,,Garate Juan Manuel,33,Quickstep - Innergetic,0:36 0:36,,,0,2006
22,42.688,33.0,,+ -7:50,,,Erviti Imanol,34,Caisse d'Epargne - Illes Balears,",, 0:36",,,0,2006
33,42.688,79.0,,+ -7:50,,,Roesems Bert,35,Davitamon - Lotto,",, 0:36",,,0,2006
36,42.688,151.0,,+ -7:50,,,Baguet Serge,36,Quickstep - Innergetic,",, 0:36",,,0,2006
30,42.688,119.0,,+ -7:50,,,Javier Vila Francisco,37,Lampre-Fondital,",, 0:36",,,0,2006
30,42.604,57.0,,+ -7:50,,,Parra Ivan Ramiro,38,Cofidis,0:37 0:37,,,0,2006
30,42.604,178.0,,+ -7:50,,,Pinotti Marco,39,Saunier Duval - Prodir,",, 0:37",,,0,2006
31,42.52,146.0,,+ -7:50,,,Pe\xf1a Victor Hugo,40,Phonak Hearing Systems,0:38 0:38,,,0,2006
31,42.52,46.0,,+ -7:50,,,Matveyev Sergiy,41,Ceramica Panaria - Navigare,",, 0:38",,,0,2006
30,42.52,28.0,,+ -7:50,,,le Boulanger Yoann,42,Bouygues Telecom,",, 0:38",,,0,2006
36,42.43600000000001,199.0,,+ -7:50,,,Cuesta \xcd\xf1igo,43,CSC ProTeam,0:39 0:39,,,0,2006
37,42.43600000000001,136.0,,+ -7:50,,,Noe Andrea,44,Liquigas,",, 0:39",,,0,2006
29,42.43600000000001,158.0,,+ -7:50,,,van de Walle Jurgen,45,Quickstep - Innergetic,",, 0:39",,,0,2006
24,42.43600000000001,181.0,,+ -7:50,,,Rujano Jos\xe9 Humberto,46,Selle Italia - Serramenti Diquigiovanni,",, 0:39",,,0,2006
25,42.43600000000001,99.0,,+ -7:50,,,Veikkanen Jussi,47,Fran\xe7aise des Jeux,",, 0:39",,,0,2006
23,42.43600000000001,96.0,,+ -7:50,,,Gilbert Philippe,48,Fran\xe7aise des Jeux,",, 0:39",,,0,2006
27,42.353,114.0,,+ -7:50,,,Petrov Evgeni,49,Lampre-Fondital,0:40 0:40,,,0,2006
24,42.27,66.0,,+ -7:50,,,Pauriol R\xe9mi,50,Cr\xe9dit Agricole,0:41 0:41,,,0,2006
32,42.27,9.0,,+ -7:50,,,White Matthew,51,Discovery Channel,",, 0:41",,,0,2006
28,42.27,108.0,,+ -7:50,,,Scholz Ronny,52,Gerolsteiner,",, 0:41",,,0,2006
30,42.27,193.0,,+ -7:50,,,S\xf8rensen Nicki,53,CSC ProTeam,",, 0:41",,,0,2006
36,42.188,86.0,,+ -7:50,,,Laiseka jaio Roberto,54,Euskaltel - Euskadi,0:42 0:42,,,0,2006
30,42.188,129.0,,+ -7:50,,,Yakovlev Serguei,55,,",, 0:42",,,0,2006
26,42.188,52.0,,+ -7:50,,,Duque Leonardo,56,Cofidis,",, 0:42",,,0,2006
33,42.188,194.0,,+ -7:50,,,Blaudzun Michael,57,CSC ProTeam,",, 0:42",,,0,2006
31,42.188,208.0,,+ -7:50,,,Sacchi Fabio,58,Milram,",, 0:42",,,0,2006
32,42.188,152.0,,+ -7:50,,,Bettini Paolo,59,Quickstep - Innergetic,",, 0:42",,,0,2006
35,42.105,186.0,,+ -7:50,,,Missaglia Gabriele,60,Selle Italia - Serramenti Diquigiovanni,0:43 0:43,,,0,2006
27,42.105,92.0,,+ -7:50,,,Casar Sandy,61,Fran\xe7aise des Jeux,",, 0:43",,,0,2006
26,42.023,49.0,,+ -7:50,,,Laverde Luis Felipe,62,Ceramica Panaria - Navigare,0:44 0:44,,,0,2006
33,42.023,145.0,,+ -7:50,,,Merckx Axel,63,Phonak Hearing Systems,",, 0:44",,,0,2006
28,42.023,149.0,,+ -7:50,,,Zampieri Steve,64,Phonak Hearing Systems,",, 0:44",,,0,2006
35,42.023,7.0,,+ -7:50,,,Padrnos Pavel,65,Discovery Channel,",, 0:44",,,0,2006
34,41.942,195.0,,+ -7:50,,,Julich Bobby,66,CSC ProTeam,0:45 0:45,,,0,2006
28,41.942,116.0,,+ -7:50,,,Szmyd Sylwester,67,Lampre-Fondital,",, 0:45",,,0,2006
29,41.86,118.0,,+ -7:50,,,Valjavec Tadej,68,Lampre-Fondital,0:46 0:46,,,0,2006
24,41.86,87.0,,+ -7:50,,,Lopez David,69,Euskaltel - Euskadi,",, 0:46",,,0,2006
32,41.86,105.0,,+ -7:50,,,Ordowski Volker,70,Gerolsteiner,",, 0:46",,,0,2006
29,41.86,67.0,,+ -7:50,,,Poilvet Benoit,71,Cr\xe9dit Agricole,",, 0:46",,,0,2006
27,41.86,58.0,,+ -7:50,,,Scheirlinckx Staf,72,Cofidis,",, 0:46",,,0,2006
28,41.86,137.0,,+ -7:50,,,Pellizotti Franco,73,Liquigas,",, 0:46",,,0,2006
24,41.699,172.0,,+ -7:50,,,Gomez Gomez Angel,74,Saunier Duval - Prodir,0:48 0:48,,,0,2006
31,41.699,62.0,,+ -7:50,,,Botcharov Alexandre,75,Cr\xe9dit Agricole,",, 0:48",,,0,2006
26,41.699,161.0,,+ -7:50,,,Ardila Mauricio Alberto,76,Rabobank ProTeam,",, 0:48",,,0,2006
25,41.699,97.0,,+ -7:50,,,Larsson Gustav,77,Fran\xe7aise des Jeux,",, 0:48",,,0,2006
24,41.618,205.0,,+ -7:50,,,Lorenzetto Mirco,78,Milram,0:49 0:49,,,0,2006
28,41.618,139.0,,+ -7:50,,,Wegelius Charles,79,Liquigas,",, 0:49",,,0,2006
32,41.618,219.0,,+ -7:50,,,Ullrich Jan,80,T-Mobile Team,",, 0:49",,,0,2006
26,41.618,102.0,,+ -7:50,,,Hiekmann Torsten,81,Gerolsteiner,",, 0:49",,,0,2006
29,41.538000000000004,27.0,,+ -7:50,,,Labbe Arnaud,82,Bouygues Telecom,0:50 0:50,,,0,2006
25,41.538000000000004,14.0,,+ -7:50,,,Dupont Hubert,83,AG2R Pr\xe9voyance,",, 0:50",,,0,2006
23,41.458999999999996,103.0,,+ -7:50,,,Krauss Sven,84,Gerolsteiner,0:51 0:51,,,0,2006
30,41.458999999999996,166.0,,+ -7:50,,,Niermann Grischa,85,Rabobank ProTeam,",, 0:51",,,0,2006
23,41.379,55.0,,+ -7:50,,,Monfort Maxime,86,Cofidis,0:52 0:52,,,0,2006
25,41.379,41.0,,+ -7:50,,,Sella Emanuele,87,Ceramica Panaria - Navigare,",, 0:52",,,0,2006
24,41.379,31.0,,+ -7:50,,,Carrasco Gamiz Jos\xe9 Luis,88,Caisse d'Epargne - Illes Balears,",, 0:52",,,0,2006
27,41.379,15.0,,+ -7:50,,,Gadret John,89,AG2R Pr\xe9voyance,",, 0:52",,,0,2006
28,41.3,202.0,,+ -7:50,,,Cortinovis Alessandro,90,Milram,0:53 0:53,,,0,2006
22,41.3,124.0,,+ -7:50,,,Navarro Daniel,91,,",, 0:53",,,0,2006
40,41.221000000000004,4.0,,+ -7:50,,,Ekimov Viatcheslav,92,Discovery Channel,0:54 0:54,,,0,2006
24,41.221000000000004,144.0,,+ -7:50,,,Mccarty Jonathan Patrick,93,Phonak Hearing Systems,",, 0:54",,,0,2006
23,41.221000000000004,23.0,,+ -7:50,,,Clement Stef,94,Bouygues Telecom,",, 0:54",,,0,2006
32,41.221000000000004,65.0,,+ -7:50,,,Halgand Patrice,95,Cr\xe9dit Agricole,",, 0:54",,,0,2006
33,41.221000000000004,56.0,,+ -7:50,,,Moreni Cristian,96,Cofidis,",, 0:54",,,0,2006
32,41.143,135.0,,+ -7:50,,,Miholjevic Vladimir,97,Liquigas,0:55 0:55,,,0,2006
26,41.143,213.0,,+ -7:50,,,Kessler Matthias,98,T-Mobile Team,",, 0:55",,,0,2006
23,41.143,148.0,,+ -7:50,,,Tschopp Johann,99,Phonak Hearing Systems,",, 0:55",,,0,2006
