Age,Avg,BIB,Pnt,Rider,Rnk,Team,Time won/lost,stage,year
25,,152.0,,Gasparotto Enrico,1,Liquigas,+0:00,1,2007
34,,161.0,80.0,McEwen Robbie,1,Predictor - Lotto,,2,2007
33,,1.0,50.0,Bettini Paolo,2,Quickstep - Innergetic,,2,2007
33,,191.0,,Petacchi Alessandro,3*,Milram,,2,2007
26,,14.0,35.0,Bazayev Assan,3,Astana,,2,2007
24,,89.0,25.0,Richeze Ariel Maximiliano,4,Ceramica Panaria - Navigare,,2,2007
29,,59.0,18.0,Usov Alexandre,5,AG2R Pr\xe9voyance,,2,2007
21,,77.0,15.0,Rojas Jos\xe9 Joaqu\xedn,6,Caisse d'Epargne,,2,2007
33,,41.0,12.0,Garzelli Stefano,7,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
27,,212.0,10.0,Bernucci Lorenzo,8,T-Mobile Team,,2,2007
33,,114.0,8.0,Hincapie George,9,Discovery Channel,,2,2007
21,,178.0,6.0,Walker William,10,Rabobank ProTeam,,2,2007
31,,151.0,5.0,Di Luca Danilo,11,Liquigas,,2,2007
27,,71.0,4.0,Arroyo David,12,Caisse d'Epargne,,2,2007
34,,175.0,3.0,van Heeswijk Max,13,Rabobank ProTeam,,2,2007
31,,197.0,2.0,Ongarato Alberto,14,Milram,,2,2007
25,,31.0,1.0,Cunego Damiano,15,Lampre-Fondital,,2,2007
26,,219.0,,Ziegler Thomas,16,T-Mobile Team,,2,2007
34,,11.0,,Savoldelli Paolo,17,Astana,,2,2007
33,,68.0,,Renier Franck,18,Bouygues Telecom,,2,2007
35,,21.0,,Simoni Gilberto,19,Saunier Duval,,2,2007
32,,189.0,,Arvesen Kurt-Asle,20,CSC ProTeam,,2,2007
28,,53.0,,Krivtsov Yuriy,21,AG2R Pr\xe9voyance,,2,2007
33,,88.0,,Mazzanti Luca,22,Ceramica Panaria - Navigare,,2,2007
32,,104.0,,Dean Julian,23,Cr\xe9dit Agricole,,2,2007
32,,201.0,,Commesso Salvatore,24,Tinkoff Credit Systems,,2,2007
27,,78.0,,Markov Alexei,25,Caisse d'Epargne,,2,2007
28,,202.0,,Petrov Evgeni,26,Tinkoff Credit Systems,,2,2007
29,,51.0,,Nocentini Rinaldo,27,AG2R Pr\xe9voyance,,2,2007
25,,199.0,,Lorenzetto Mirco,28,Milram,,2,2007
29,,,,Gil Fernandez Koldo,29,,,2,2007
27,,111.0,,Popovych Yaroslav,30,Discovery Channel,,2,2007
29,,38.0,,Tiralongo Paolo,31,Lampre-Fondital,,2,2007
31,,39.0,,Javier Vila Francisco,32,Lampre-Fondital,,2,2007
29,,76.0,,Perez Aitor,33,Caisse d'Epargne,,2,2007
28,,123.0,,Galparsoro Dionisio,34,Euskaltel - Euskadi,,2,2007
27,,102.0,,Bellotti Francesco,35,Cr\xe9dit Agricole,,2,2007
26,,194.0,,Knees Christian,36,Milram,,2,2007
29,,99.0,,Zampieri Steve,37,Cofidis,,2,2007
26,,139.0,,Veikkanen Jussi,38,Fran\xe7aise des Jeux,,2,2007
21,,183.0,,Schleck Andy,39,CSC ProTeam,,2,2007
31,,163.0,,Jufre Josep,40,Predictor - Lotto,,2,2007
38,,155.0,,Noe Andrea,41,Liquigas,,2,2007
25,,152.0,,Gasparotto Enrico,42,Liquigas,,2,2007
31,,48.0,,Palumbo Giuseppe,43,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
31,,74.0,,Lastras Pablo,44,Caisse d'Epargne,,2,2007
32,,86.0,,Baliani Fortunato,45,Ceramica Panaria - Navigare,,2,2007
27,,125.0,,Irizar Markel,46,Euskaltel - Euskadi,,2,2007
34,,17.0,,Mizurov Andrey,47,Astana,,2,2007
35,,141.0,,Rebellin Davide,48,Gerolsteiner,,2,2007
23,,29.0,,Ricco Riccardo,49,Saunier Duval,,2,2007
31,,66.0,,le Boulanger Yoann,50,Bouygues Telecom,,2,2007
32,,7.0,,Tosatto Matteo,51,Quickstep - Innergetic,,2,2007
25,,87.0,,Grillo Paride,52,Ceramica Panaria - Navigare,,2,2007
34,,45.0,,Codol Massimo,53,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
24,,166.0,,Van den Broeck Jurgen,54,Predictor - Lotto,,2,2007
31,,91.0,,Parra Ivan Ramiro,55,Cofidis,,2,2007
23,,148.0,,Russ Matthias,56,Gerolsteiner,,2,2007
23,,164.0,,Lloyd Matthew,57,Predictor - Lotto,,2,2007
26,,127.0,,Pena Aketza,58,Euskaltel - Euskadi,,2,2007
27,,82.0,,Laverde Luis Felipe,59,Ceramica Panaria - Navigare,,2,2007
26,,81.0,,Sella Emanuele,60,Ceramica Panaria - Navigare,,2,2007
26,,52.0,,Dupont Hubert,61,AG2R Pr\xe9voyance,,2,2007
32,,24.0,,Ca\xf1ada David,62,Saunier Duval,,2,2007
26,,185.0,,Kolobnev Alexandr,63,CSC ProTeam,,2,2007
24,,43.0,,Arekeev Alexander,64,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
22,,46.0,,Kunitski Andrei,65,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
26,,181.0,,Cancellara Fabian,66,CSC ProTeam,,2,2007
32,,165.0,,Aerts Mario,67,Predictor - Lotto,,2,2007
26,,149.0,,Zaugg Oliver,68,Gerolsteiner,,2,2007
32,,162.0,,Cioni Dario,69,Predictor - Lotto,,2,2007
25,,75.0,,Losada Alberto,70,Caisse d'Epargne,,2,2007
29,,37.0,,Szmyd Sylwester,71,Lampre-Fondital,,2,2007
28,,205.0,,Serrano Ricardo,72,Tinkoff Credit Systems,,2,2007
34,,186.0,,Blaudzun Michael,73,CSC ProTeam,,2,2007
33,,73.0,,Horrach Joan,74,Caisse d'Epargne,,2,2007
32,,33.0,,Bruseghin Marzio,75,Lampre-Fondital,,2,2007
28,,112.0,,Bileka Volodymyr,76,Discovery Channel,,2,2007
27,,167.0,,Van Huffel Wim,77,Predictor - Lotto,,2,2007
33,,16.0,,Mazzoleni Eddy,78,Astana,,2,2007
25,,124.0,,Hernandez Gutierrez Aitor,79,Euskaltel - Euskadi,,2,2007
34,,215.0,,Merckx Axel,80,T-Mobile Team,,2,2007
29,,27.0,,Mayo Iban,81,Saunier Duval,,2,2007
34,,116.0,,Rubiera Jos\xe9 Luis,82,Discovery Channel,,2,2007
23,,218.0,,Rabon Frantisek,83,T-Mobile Team,,2,2007
22,,198.0,,Sabatini Fabio,84,Milram,,2,2007
27,,172.0,,Ardila Mauricio Alberto,85,Rabobank ProTeam,,2,2007
31,,15.0,,Yakovlev Serguei,86,Astana,,2,2007
25,,207.0,,Brutt Pavel,87,Tinkoff Credit Systems,,2,2007
34,,95.0,,Fernandez Bingen,88,Cofidis,,2,2007
22,,206.0,,Ignatyev Mikhail,89,Tinkoff Credit Systems,,2,2007
30,,188.0,,Gustov Volodymyr,90,CSC ProTeam,,2,2007
31,,101.0,,Caucchioli Pietro,91,Cr\xe9dit Agricole,,2,2007
31,,134.0,,Jegou Lilian,92,Fran\xe7aise des Jeux,,2,2007
21,,84.0,,Pagoto Andrea,93,Ceramica Panaria - Navigare,,2,2007
27,,19.0,,Muravyev Dmitriy,94,Astana,,2,2007
24,,85.0,,Pozzovivo Domenico,95,Ceramica Panaria - Navigare,,2,2007
29,,83.0,,Perez Cuapio Julio Alberto,96,Ceramica Panaria - Navigare,,2,2007
27,,193.0,,Ghisalberti Sergio,97,Milram,,2,2007
27,,195.0,,Lancaster Brett,98,Milram,,2,2007
24,,61.0,,Bonnaire Olivier,99,Bouygues Telecom,,2,2007
31,,217.0,,Pinotti Marco,100,T-Mobile Team,,2,2007
28,,182.0,,Zabriskie David,101,CSC ProTeam,,2,2007
33,,106.0,,Halgand Patrice,102,Cr\xe9dit Agricole,,2,2007
36,,115.0,,Padrnos Pavel,103,Discovery Channel,,2,2007
35,,28.0,,Piepoli Leonardo,104,Saunier Duval,,2,2007
28,,22.0,,Bertogliati Rubens,105,Saunier Duval,,2,2007
24,,9.0,,Visconti Giovanni,106,Quickstep - Innergetic,,2,2007
27,,128.0,,Velasco Ivan,107,Euskaltel - Euskadi,,2,2007
21,,49.0,,Samoilau Branislau,108,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
27,,62.0,,Crosbie Nicolas,109,Bouygues Telecom,,2,2007
26,,137.0,,Mourey Francis,110,Fran\xe7aise des Jeux,,2,2007
22,,54.0,,Loubet Julien,111,AG2R Pr\xe9voyance,,2,2007
22,,109.0,,Roche Nicolas,112,Cr\xe9dit Agricole,,2,2007
26,,34.0,,Marzano Marco,113,Lampre-Fondital,,2,2007
25,,5.0,,Schwab Hubert,114,Quickstep - Innergetic,,2,2007
25,,118.0,,Vandborg Brian,115,Discovery Channel,,2,2007
33,,153.0,,Miholjevic Vladimir,116,Liquigas,,2,2007
25,,97.0,,Moinard Ama\xebl,117,Cofidis,,2,2007
26,,113.0,,Cummings Stephen,118,Discovery Channel,,2,2007
27,,72.0,,Berthou Eric,119,Caisse d'Epargne,,2,2007
29,,156.0,,Pellizotti Franco,120,Liquigas,,2,2007
29,,159.0,,Wegelius Charles,121,Liquigas,,2,2007
22,,154.0,,Nibali Vincenzo,122,Liquigas,,2,2007
30,,103.0,,Bodrogi Laszlo,123,Cr\xe9dit Agricole,,2,2007
29,,192.0,,Cortinovis Alessandro,124,Milram,,2,2007
24,,57.0,,Naibo Carl,125,AG2R Pr\xe9voyance,,2,2007
30,,8.0,,van de Walle Jurgen,126,Quickstep - Innergetic,,2,2007
31,,13.0,,Joachim Benoit,127,Astana,,2,2007
28,,12.0,,Gourov Maxim,128,Astana,,2,2007
25,,56.0,,Mondory Lloyd,129,AG2R Pr\xe9voyance,,2,2007
27,,93.0,,Buffaz Mickael,130,Cofidis,,2,2007
33,,174.0,,Moerenhout Koos,131,Rabobank ProTeam,,2,2007
32,,179.0,,Horrillo Pedro,132,Rabobank ProTeam,,2,2007
26,,135.0,,McLeod Ian,133,Fran\xe7aise des Jeux,,2,2007
24,,18.0,,Morabito Steve,134,Astana,,2,2007
25,,63.0,,Drancourt Pierre,135,Bouygues Telecom,,2,2007
29,,105.0,,Furlan Angelo,136,Cr\xe9dit Agricole,,2,2007
35,,208.0,,Aggiano Elio,137,Tinkoff Credit Systems,,2,2007
33,,119.0,,White Matthew,138,Discovery Channel,,2,2007
22,,187.0,,Breschel Matti,139,CSC ProTeam,,2,2007
25,,98.0,,Valentin Tristan,140,Cofidis,,2,2007
22,,79.0,,Perget Mathieu,141,Caisse d'Epargne,,2,2007
23,,138.0,,Patanchon Fabien,142,Fran\xe7aise des Jeux,,2,2007
27,,94.0,,Duclos-Lassalle Herv\xe9,143,Cofidis,,2,2007
19,,204.0,,Rovny Ivan,144,Tinkoff Credit Systems,,2,2007
29,,2.0,,Engels Addy,145,Quickstep - Innergetic,,2,2007
22,,132.0,,Gerard Arnaud,146,Fran\xe7aise des Jeux,,2,2007
32,,4.0,,Scarselli Leonardo,147,Quickstep - Innergetic,,2,2007
29,,142.0,,F\xf6rster Robert,148,Gerolsteiner,,2,2007
34,,36.0,,Stangelj Gorazd,149,Lampre-Fondital,,2,2007
24,,143.0,,Fothen Thomas,150,Gerolsteiner,,2,2007
26,,25.0,,Gomez Gomez Angel,151,Saunier Duval,,2,2007
26,,35.0,,Napolitano Danilo,152,Lampre-Fondital,,2,2007
32,,203.0,,Contrini Daniele,153,Tinkoff Credit Systems,,2,2007
27,,69.0,,Voeckler Thomas,154,Bouygues Telecom,,2,2007
38,,168.0,,Zanini Stefano,155,Predictor - Lotto,,2,2007
23,,176.0,,Kozonchuk Dmitry,156,Rabobank ProTeam,,2,2007
30,,214.0,,Henderson Gregory,157,T-Mobile Team,,2,2007
31,,44.0,,Balducci Gabriele,158,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
26,,184.0,,Haedo Juan Jose,159,CSC ProTeam,,2,2007
26,,213.0,,Hansen Adam,160,T-Mobile Team,,2,2007
25,,3.0,,Facci Mauro,161,Quickstep - Innergetic,,2,2007
25,,64.0,,Gene Yohann,162,Bouygues Telecom,,2,2007
29,,216.0,,Olson Aaron,163,T-Mobile Team,,2,2007
34,,42.0,,Andriotto Dario,164,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
25,,55.0,,Mangel Laurent,165,AG2R Pr\xe9voyance,,2,2007
28,,129.0,,Zubeldia Joseba,166,Euskaltel - Euskadi,,2,2007
26,,117.0,,van Goolen Jurgen,167,Discovery Channel,,2,2007
27,,47.0,,Masciarelli Simone,168,Acqua & Sapone - Caff\xe8 Mokambo,,2,2007
26,,158.0,,Vanotti Alessandro,169,Liquigas,,2,2007
31,,23.0,,Belohvosciks Raivis,170,Saunier Duval,,2,2007
24,,67.0,,Pichot Alexandre,171,Bouygues Telecom,,2,2007
26,,58.0,,Riblon Christophe,172,AG2R Pr\xe9voyance,,2,2007
22,,145.0,,Klinger Tim,173,Gerolsteiner,,2,2007
35,,169.0,,Gates Nick,174,Predictor - Lotto,,2,2007
33,,196.0,,M\xfcller Martin,175,Milram,,2,2007
25,,96.0,,Heijboer Mathieu,176,Cofidis,,2,2007
32,,171.0,,Rasmussen Michael,177,Rabobank ProTeam,,2,2007
