Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
27,,151,1,+0:00,80.0,,Cavendish Mark,1,Omega Pharma - Quick-Step,2:58:38 2:58:38,,16.0,,1,2013
24,,78,2,+0:08,50.0,,Viviani Elia,2,Cannondale Pro Cycling Team,",, ,,",,8.0,,1,2013
22,,100,3,+0:12,35.0,,Bouhanni Nacer,3,FDJ.fr,",, ,,",,4.0,,1,2013
24,,175,6,+0:20,25.0,,Nizzolo Giacomo,4,RadioShack - Leopard,",, ,,",,2.0,,1,2013
26,,161,7,+0:20,18.0,,Goss Matthew,5,Orica GreenEDGE,",, ,,",,1.0,,1,2013
30,,148,8,+0:20,15.0,,Ventoso Francisco,6,Movistar Team,",, ,,",,,,1,2013
23,,62,9,+0:20,12.0,,Blythe Adam,7,BMC Racing Team,",, ,,",,,,1,2013
23,,163,10,+0:20,10.0,,Howard Leigh,8,Orica GreenEDGE,",, ,,",,,,1,2013
39,,172,4,+0:16,8.0,,Hondo Danilo,9,RadioShack - Leopard,",, ,,",,,,1,2013
33,,165,11,+0:20,6.0,,Lancaster Brett,10,Orica GreenEDGE,",, ,,",,,,1,2013
24,,191,12,+0:20,5.0,,Degenkolb John,11,Team Argos - Shimano,",, ,,",,,,1,2013
36,,111,13,+0:20,4.0,,Paolini Luca,12,Team Katusha,",, ,,",,,,1,2013
32,,96,14,+0:20,3.0,,Tamouridis Ioannis,13,Euskaltel - Euskadi,",, ,,",,,,1,2013
24,,27,15,+0:20,2.0,,Rosa Diego,14,Androni Giocattoli - Venezuela,",, ,,",,,,1,2013
25,,7,16,+0:20,1.0,,Navardauskas Ramunas,15,Garmin Sharp,",, ,,",,,,1,2013
30,,124,17,+0:20,,,Ferrari Roberto,16,Lampre - Merida,",, ,,",,,,1,2013
36,,6,18,+0:20,,,Hunter Robert,17,Garmin Sharp,",, ,,",,,,1,2013
26,,35,19,+0:20,,,Kangert Tanel,18,Astana Pro Team,",, ,,",,,,1,2013
29,,211,5,+0:18,,,Marcato Marco,19,Vacansoleil - DCM,",, ,,",,,,1,2013
26,,39,20,+0:20,,,Zeits Andrey,20,Astana Pro Team,",, ,,",,,,1,2013
24,,4,21,+0:20,,,Haas Nathan,21,Garmin Sharp,",, ,,",,,,1,2013
27,,69,22,+0:20,,,Wyss Danilo,22,BMC Racing Team,",, ,,",,,,1,2013
22,,67,23,+0:20,,,Phinney Taylor,23,BMC Racing Team,",, ,,",,,,1,2013
32,,38,24,+0:20,,,Vanotti Alessandro,24,Astana Pro Team,",, ,,",,,,1,2013
36,,61,25,+0:20,,,Evans Cadel,25,BMC Racing Team,",, ,,",,,,1,2013
26,,216,26,+0:20,,,Ruijgh Rob,26,Vacansoleil - DCM,",, ,,",,,,1,2013
27,,103,27,+0:20,,,Jeannesson Arnold,27,FDJ.fr,",, ,,",,,,1,2013
27,,145,28,+0:20,,,Intxausti Be\xf1at,28,Movistar Team,",, ,,",,,,1,2013
28,,31,29,+0:20,,,Nibali Vincenzo,29,Astana Pro Team,",, ,,",,,,1,2013
30,,107,30,+0:20,,,Rollin Dominique,30,FDJ.fr,",, ,,",,,,1,2013
28,,228,31*,+0:20,,,Santambrogio Mauro,31*,Vini Fantini,",, ,,",,,,1,2013
33,,121,31,+0:20,,,Scarponi Michele,31,Lampre - Merida,",, ,,",,,,1,2013
23,,186,32,+0:20,,,Puccio Salvatore,32,Sky Procycling,",, ,,",,,,1,2013
31,,127,33,+0:20,,,Pozzato Filippo,33,Lampre - Merida,",, ,,",,,,1,2013
30,,149,34,+0:20,,,Visconti Giovanni,34,Movistar Team,",, ,,",,,,1,2013
25,,222,35,+0:20,,,Andriato Rafael,35,Vini Fantini,",, ,,",,,,1,2013
31,,138,36,+0:20,,,Reynes Vicente,36,Lotto Belisol Team,",, ,,",,,,1,2013
27,,144,37,+0:20,,,Herrada Jos\xe9,37,Movistar Team,",, ,,",,,,1,2013
31,,137,38,+0:20,,,Hansen Adam,38,Lotto Belisol Team,",, ,,",,,,1,2013
