Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
26,,199,17.0,+0:17,80.0,Viviani Elia,1,Team Sky,4:13:18 4:13:18,16.0,2,2015
23,,184,51.0,+0:30,50.0,Hofland Moreno,2,Team LottoNL-Jumbo,",, ,,",8.0,2,2015
32,,104,30.0,+0:25,35.0,Greipel Andr\xe9,3,Lotto Soudal,",, ,,",4.0,2,2015
26,,161,64.0,+0:49,25.0,Mezgec Luka,4,Team Giant - Alpecin,",, ,,",2.0,2,2015
41,,148,66.0,+0:52,18.0,Petacchi Alessandro,5,Southeast,",, ,,",1.0,2,2015
26,,211,47.0,+0:29,15.0,Nizzolo Giacomo,6,Trek Factory Racing,",, ,,",,2,2015
24,,131,1.0,+0:00,12.0,Matthews Michael,7,Orica GreenEDGE,",, ,,",,2,2015
25,,12,79.0,+1:03,10.0,Appollonio Davide,8,Androni Giocattoli - Sidermec,",, ,,",,2,2015
33,,124,75.0,+0:57,8.0,Colli Daniele,9,Nippo - Vini Fantini,",, ,,",,2,2015
37,,28,10.0,+0:13,6.0,Tiralongo Paolo,10,Astana Pro Team,",, ,,",,2,2015
29,,52,58.0,+0:45,5.0,Bole Grega,11,CCC Sprandi Polkowice,",, ,,",,2,2015
24,,21,11.0,+0:13,4.0,Aru Fabio,12,Astana Pro Team,",, ,,",,2,2015
29,,205,5.0,+0:07,3.0,Kreuziger Roman,13,Tinkoff - Saxo,",, ,,",,2,2015
30,,54,59.0,+0:45,2.0,Matysiak Bart\u0142omiej,14,CCC Sprandi Polkowice,",, ,,",,2,2015
29,,176,38.0,+0:27,1.0,Porsev Alexander,15,Team Katusha,",, ,,",,2,2015
28,,61,19.0,+0:19,,Uran Rigoberto,16,Etixx - Quick Step,",, ,,",,2,2015
28,,134,3.0,+0:00,,Clarke Simon,17,Orica GreenEDGE,",, ,,",,2,2015
34,,62,18.0,+0:19,,Boonen Tom,18,Etixx - Quick Step,",, ,,",,2,2015
34,,136,2.0,+0:00,,Gerrans Simon,19,Orica GreenEDGE,",, ,,",,2,2015
26,,116,22.0,+0:21,,Izagirre Ion,20,Movistar Team,",, ,,",,2,2015
31,,44,28.0,+0:25,,Burghardt Marcus,21,BMC Racing Team,",, ,,",,2,2015
30,,191,37.0,+0:27,,Porte Richie,22,Team Sky,",, ,,",,2,2015
27,,45,26.0,+0:25,,Caruso Damiano,23,BMC Racing Team,",, ,,",,2,2015
32,,201,6.0,+0:07,,Contador Alberto,24,Tinkoff - Saxo,",, ,,",,2,2015
26,,26,12.0,+0:13,,Rosa Diego,25,Astana Pro Team,",, ,,",,2,2015
25,,147,67.0,+0:52,,Monsalve Yonathan,26,Southeast,",, ,,",,2,2015
33,,121,76.0,+0:57,,Cunego Damiano,27,Nippo - Vini Fantini,",, ,,",,2,2015
27,,181,52.0,+0:36,,Kruijswijk Steven,28,Team LottoNL-Jumbo,",, ,,",,2,2015
32,,83,27.0,+0:25,,Clement Stef,29,IAM Cycling,",, ,,",,2,2015
35,,207,7.0,+0:07,,Rogers Michael,30,Tinkoff - Saxo,",, ,,",,2,2015
25,,3,62.0,+0:48,,Betancur Carlos,31,AG2R La Mondiale,",, ,,",,2,2015
32,,198,39.0,+0:27,,Siutsou Kanstantsin,32,Team Sky,",, ,,",,2,2015
25,,133,4.0,+0:00,,Chaves Johan Esteban,33,Orica GreenEDGE,",, ,,",,2,2015
32,,100,48.0,+0:29,,Van den Broeck Jurgen,34,Lotto Soudal,",, ,,",,2,2015
38,,171,42.0,+0:27,,Paolini Luca,35,Team Katusha,",, ,,",,2,2015
27,,195,40.0,+0:27,,K\xf6nig Leopold,36,Team Sky,",, ,,",,2,2015
30,,196,41.0,+0:27,,Nieve Mikel,37,Team Sky,",, ,,",,2,2015
32,,41,29.0,+0:25,,Gilbert Philippe,38,BMC Racing Team,",, ,,",,2,2015
26,,77,33.0,+0:26,,R\xe9za K\xe9vin,39,FDJ,",, ,,",,2,2015
24,,38,54.0,+0:37,,Ruffoni Nicola,40,Bardiani - CSF Pro Team,",, ,,",,2,2015
30,,146,68.0,+0:52,,Gavazzi Francesco,41,Southeast,",, ,,",,2,2015
27,,185,53.0,+0:36,,Keizer Martijn,42,Team LottoNL-Jumbo,",, ,,",,2,2015
30,,22,13.0,+0:13,,Cataldo Dario,43,Astana Pro Team,",, ,,",,2,2015
31,,27,14.0,+0:13,,Sanchez Luis Leon,44,Astana Pro Team,",, ,,",,2,2015
33,,194,43.0,+0:27,,Kiryienka Vasil,45,Team Sky,",, ,,",,2,2015
34,,151,70.0,+0:53,,Hesjedal Ryder,46,Team Cannondale - Garmin,",, ,,",,2,2015
23,,73,34.0,+0:26,,Elissonde Kenny,47,FDJ,",, ,,",,2,2015
28,,6,63.0,+0:48,,Gretsch Patrick,48,AG2R La Mondiale,",, ,,",,2,2015
22,,156,71.0,+0:53,,Formolo Davide,49,Team Cannondale - Garmin,",, ,,",,2,2015
31,,177,44.0,+0:27,,Trofimov Yuri,50,Team Katusha,",, ,,",,2,2015
37,,11,80.0,+1:03,,Pellizotti Franco,51,Androni Giocattoli - Sidermec,",, ,,",,2,2015
25,,24,15.0,+0:13,,Landa Mikel,52,Astana Pro Team,",, ,,",,2,2015
32,,107,49.0,+0:29,,Monfort Maxime,53,Lotto Soudal,",, ,,",,2,2015
24,,31,55.0,+0:37,,Bongiorno Francesco Manuel,54,Bardiani - CSF Pro Team,",, ,,",,2,2015
34,,75,35.0,+0:26,,Mourey Francis,55,FDJ,",, ,,",,2,2015
27,,71,36.0,+0:26,,Geniez Alexandre,56,FDJ,",, ,,",,2,2015
32,,98,120.0,+2:32,,Richeze Ariel Maximiliano,57,Lampre - Merida,",, ,,",,2,2015
25,,179,46.0,+0:27,,Zakarin Ilnur,58,Team Katusha,",, ,,",,2,2015
33,,48,31.0,+0:25,,Moinard Ama\xebl,59,BMC Racing Team,",, ,,",,2,2015
28,,125,77.0,+0:57,,De Negri Pier Paolo,60,Nippo - Vini Fantini,",, ,,",,2,2015
27,,25,16.0,+0:13,,Malacarne Davide,61,Astana Pro Team,",, ,,",,2,2015
34,,57,60.0,+0:45,,Rutkiewicz Marek,62,CCC Sprandi Polkowice,",, ,,",,2,2015
21,,193,45.0,+0:27,,Henao Sebasti\xe1n,63,Team Sky,",, ,,",,2,2015
31,,43,32.0,+0:25,,Bookwalter Brent,64,BMC Racing Team,",, ,,",,2,2015
29,,111,23.0,+0:21,,Intxausti Be\xf1at,65,Movistar Team,",, ,,",,2,2015
28,,203,8.0,+0:07,,Boaro Manuele,66,Tinkoff - Saxo,",, ,,",,2,2015
28,,53,78.0,+1:00,,Marycz Jaroslaw,67,CCC Sprandi Polkowice,",, ,,",,2,2015
25,,33,56.0,+0:37,,Battaglin Enrico,68,Bardiani - CSF Pro Team,",, ,,",,2,2015
25,,215,50.0,+0:29,,Felline Fabio,69,Trek Factory Racing,",, ,,",,2,2015
32,,119,24.0,+0:21,,Visconti Giovanni,70,Movistar Team,",, ,,",,2,2015
28,,51,61.0,+0:45,,Paterski Maciej,71,CCC Sprandi Polkowice,",, ,,",,2,2015
28,,63,20.0,+0:19,,Bouet Maxime,72,Etixx - Quick Step,",, ,,",,2,2015
32,,213,126.0,+3:20,,Beppu Fumiyuki,73,Trek Factory Racing,",, ,,",,2,2015
29,,66,21.0,+0:19,,Meersman Gianni,74,Etixx - Quick Step,",, ,,",,2,2015
25,,158,72.0,+0:53,,Slagter Tom-Jelte,75,Team Cannondale - Garmin,",, ,,",,2,2015
28,,112,25.0,+0:21,,Amador Andrey,76,Movistar Team,",, ,,",,2,2015
30,,154,73.0,+0:53,,Cardoso Andr\xe9,77,Team Cannondale - Garmin,",, ,,",,2,2015
27,,208,9.0,+0:07,,Rovny Ivan,78,Tinkoff - Saxo,",, ,,",,2,2015
29,,141,69.0,+0:52,,Belletti Manuel,79,Southeast,",, ,,",,2,2015
32,,113,57.0,+0:40,,Anton Igor,80,Movistar Team,0:19 0:19,,2,2015
30,,67,133.0,+3:49,,Sabatini Fabio,81,Etixx - Quick Step,0:21 0:21,,2,2015
25,,103,65.0,+0:50,,Broeckx Stig,82,Lotto Soudal,",, 0:21",,2,2015
25,,19,87.0,+1:26,,Zilioli Gianfranco,83,Androni Giocattoli - Sidermec,",, 0:21",,2,2015
33,,105,124.0,+2:57,,Hansen Adam,84,Lotto Soudal,0:27 0:27,,2,2015
24,,168,84.0,+1:16,,Ludvigsson Tobias,85,Team Giant - Alpecin,",, 0:27",,2,2015
25,,216,74.0,+0:56,,Silvestre F\xe1bio,86,Trek Factory Racing,",, 0:27",,2,2015
35,,138,122.0,+2:46,,Lancaster Brett,87,Orica GreenEDGE,0:31 0:31,,2,2015
37,,202,82.0,+1:12,,Basso Ivan,88,Tinkoff - Saxo,0:33 0:33,,2,2015
38,,106,104.0,+1:50,,Henderson Gregory,89,Lotto Soudal,0:35 0:35,,2,2015
27,,142,88.0,+1:27,,Busato Matteo,90,Southeast,",, 0:35",,2,2015
27,,94,132.0,+3:46,,Modolo Sacha,91,Lampre - Merida,",, 0:35",,2,2015
26,,166,86.0,+1:24,,Haga Chad,92,Team Giant - Alpecin,",, 0:35",,2,2015
25,,197,81.0,+1:06,,Puccio Salvatore,93,Team Sky,0:39 0:39,,2,2015
30,,13,127.0,+3:22,,Bandiera Marco,94,Androni Giocattoli - Sidermec,",, 0:39",,2,2015
23,,162,89.0,+1:28,,Arndt Nikias,95,Team Giant - Alpecin,",, 0:39",,2,2015
27,,217,83.0,+1:15,,van Poppel Boy,96,Trek Factory Racing,0:46 0:46,,2,2015
24,,212,123.0,+2:52,,Alafaci Eugenio,97,Trek Factory Racing,0:55 0:55,,2,2015
29,,165,102.0,+1:47,,Geschke Simon,98,Team Giant - Alpecin,0:58 0:58,,2,2015
32,,1,108.0,+1:57,,Pozzovivo Domenico,99,AG2R La Mondiale,1:09 1:09,,2,2015
29,,58,107.0,+1:54,,Samoilau Branislau,100,CCC Sprandi Polkowice,",, 1:09",,2,2015
37,,59,106.0,+1:54,,Szmyd Sylwester,101,CCC Sprandi Polkowice,",, 1:09",,2,2015
23,,97,110.0,+2:08,,Polanc Jan,102,Lampre - Merida,",, 1:09",,2,2015
31,,99,146.0,+4:30,,Xu Gang,103,Lampre - Merida,",, 1:09",,2,2015
35,,96,111.0,+2:08,,Niemiec Przemyslaw,104,Lampre - Merida,",, 1:09",,2,2015
27,,42,93.0,+1:34,,Atapuma John Darwin,105,BMC Racing Team,",, 1:09",,2,2015
34,,95,112.0,+2:08,,Mori Manuele,106,Lampre - Merida,",, 1:09",,2,2015
34,,175,96.0,+1:36,,Lagutin Sergey,107,Team Katusha,",, 1:09",,2,2015
25,,88,92.0,+1:34,,Reichenbach Sebastien,108,IAM Cycling,",, 1:09",,2,2015
25,,39,98.0,+1:46,,Zardini Edoardo,109,Bardiani - CSF Pro Team,",, 1:09",,2,2015
24,,115,90.0,+1:30,,Herrada Jes\xfas,110,Movistar Team,",, 1:09",,2,2015
24,,114,91.0,+1:30,,Fern\xe1ndez Rub\xe9n,111,Movistar Team,",, 1:09",,2,2015
22,,82,105.0,+1:52,,Chevrier Cl\xe9ment,112,IAM Cycling,",, 1:09",,2,2015
28,,37,100.0,+1:46,,Pirazzi Stefano,113,Bardiani - CSF Pro Team,",, 1:09",,2,2015
