Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
25,53.213,151,1.0,+0:00,80.0,Dumoulin Tom,1,Team Giant - Alpecin,11:03 11:03,16.0,100.0,1,2016
26,53.213,176,2.0,+0:00,50.0,Roglic Primoz,2,Team LottoNL-Jumbo,",, ,,",8.0,40.0,1,2016
29,52.735,122,3.0,+0:06,35.0,Amador Andrey,3,Movistar Team,0:06 0:06,4.0,20.0,1,2016
25,52.578,156,4.0,+0:08,25.0,Ludvigsson Tobias,4,Team Giant - Alpecin,0:08 0:08,2.0,12.0,1,2016
27,52.343999999999994,61,5.0,+0:11,18.0,Kittel Marcel,5,Etixx - Quick Step,0:11 0:11,1.0,4.0,1,2016
25,52.266999999999996,46,6.0,+0:12,15.0,Moser Moreno,6,Cannondale Pro Cycling Team,0:12 0:12,,,1,2016
23,52.18899999999999,64,7.0,+0:13,12.0,Jungels Bob,7,Etixx - Quick Step,0:13 0:13,,,1,2016
35,52.111999999999995,204,8.0,+0:14,10.0,Cancellara Fabian,8,Trek - Segafredo,0:14 0:14,,,1,2016
26,52.111999999999995,92,9.0,+0:14,8.0,Br\xe4ndle Matthias,9,IAM Cycling,",, 0:14",,,1,2016
25,51.958999999999996,34,10.0,+0:16,6.0,Dillier Silvan,10,BMC Racing Team,0:16 0:16,,,1,2016
30,51.958999999999996,94,11.0,+0:16,5.0,Kluge Roger,11,IAM Cycling,",, 0:16",,,1,2016
27,51.958999999999996,154,12.0,+0:16,4.0,Haga Chad,12,Team Giant - Alpecin,",, 0:16",,,1,2016
25,51.882,157,13.0,+0:17,3.0,Preidler Georg,13,Team Giant - Alpecin,0:17 0:17,,,1,2016
28,51.882,175,14.0,+0:17,2.0,Keizer Martijn,14,Team LottoNL-Jumbo,",, 0:17",,,1,2016
29,51.806000000000004,192,15.0,+0:18,1.0,Boaro Manuele,15,Tinkoff,0:18 0:18,,,1,2016
31,51.73,11,16.0,+0:19,,Nibali Vincenzo,16,Astana Pro Team,0:19 0:19,,,1,2016
23,51.73,145,17.0,+0:19,,Howson Damien,17,Orica GreenEDGE,",, 0:19",,,1,2016
24,51.653999999999996,69,18.0,+0:20,,Wisniowski Lukasz,18,Etixx - Quick Step,0:20 0:20,,,1,2016
24,51.653999999999996,144,19.0,+0:20,,Hepburn Michael,19,Orica GreenEDGE,",, 0:20",,,1,2016
28,51.57899999999999,75,20.0,+0:21,,Geniez Alexandre,20,FDJ,0:21 0:21,,,1,2016
29,51.57899999999999,15,21.0,+0:21,,Kangert Tanel,21,Astana Pro Team,",, 0:21",,,1,2016
28,51.504,171,22.0,+0:22,,Kruijswijk Steven,22,Team LottoNL-Jumbo,0:22 0:22,,,1,2016
