Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
32,,,+0:00,50.0,Freire Oscar,1,Rabobank ProTeam,3:42:35 3:42:35,1,2008
29,,,+0:00,30.0,Elmiger Martin,2,AG2R La Mondiale,",, ,,",1,2008
29,,,+0:00,18.0,Kirchen Kim,3,Team Columbia,",, ,,",1,2008
23,,,+0:00,13.0,Van Avermaet Greg,4,Silence - Lotto,",, ,,",1,2008
25,,,+0:00,10.0,Gilbert Philippe,5,Fran\xe7aise des Jeux,",, ,,",1,2008
27,,,+0:00,7.0,Iglinskiy Maxim,6,Astana,",, ,,",1,2008
22,,,+0:00,4.0,Capecchi Eros,7,Scott - American Beef,",, ,,",1,2008
33,,,+0:00,3.0,Zberg Markus,8,Gerolsteiner,",, ,,",1,2008
27,,,+0:00,2.0,Knees Christian,9,Milram,",, ,,",1,2008
27,,,+0:00,1.0,Albasini Michael,10,Liquigas,",, ,,",1,2008
33,,,+0:00,,Botcharov Alexandre,11,Cr\xe9dit Agricole,",, ,,",1,2008
29,,,+0:00,,Guti\xe9rrez Jos\xe9 Iv\xe1n,12,Caisse d'Epargne,",, ,,",1,2008
28,,,+0:00,,Florencio Xavier,13,Bouygues Telecom,",, ,,",1,2008
25,,,+0:00,,Visconti Giovanni,14,Quickstep - Innergetic,",, ,,",1,2008
24,,,+0:00,,Deignan Philip,15,AG2R La Mondiale,",, ,,",1,2008
23,,,+0:00,,Jerome Vincent,16,Bouygues Telecom,",, ,,",1,2008
32,,,+0:00,,Lastras Pablo,17,Caisse d'Epargne,",, ,,",1,2008
24,,,+0:00,,L\xf6fkvist Thomas,18,Team Columbia,",, ,,",1,2008
28,,,+0:00,,Devolder Stijn,19,Quickstep - Innergetic,",, ,,",1,2008
25,,,+0:00,,Dietziker Andreas,20,Team Volksbank,",, ,,",1,2008
26,,,+0:00,,Del Nero Jes\xfas,21,Scott - American Beef,",, ,,",1,2008
26,,,+0:00,,Moreno Daniel,22,Caisse d'Epargne,",, ,,",1,2008
33,,,+0:00,,Ivanov Serguei,23,Astana,",, ,,",1,2008
26,,,+0:00,,Vaugrenard Benoit,24,Fran\xe7aise des Jeux,",, ,,",1,2008
36,,,+0:00,,Voigt Jens,25,CSC ProTeam,",, ,,",1,2008
28,,,+0:00,,Schleck Fr\xe4nk,26,CSC ProTeam,",, ,,",1,2008
29,,,+0:00,,Bertogliati Rubens,27,Scott - American Beef,",, ,,",1,2008
35,,,+0:00,,Moos Alexandre,28,BMC Racing Team,",, ,,",1,2008
29,,,+0:00,,Verdugo Gorka,29,Euskaltel - Euskadi,",, ,,",1,2008
25,,,+0:00,,Anton Igor,30,Euskaltel - Euskadi,",, ,,",1,2008
25,,,+0:00,,Stalder Florian,31,Team Volksbank,",, ,,",1,2008
32,,,+0:00,,Caucchioli Pietro,32,Cr\xe9dit Agricole,",, ,,",1,2008
23,,,+0:00,,Schleck Andy,33,CSC ProTeam,",, ,,",1,2008
27,,,+0:00,,Vansummeren Johan,34,Silence - Lotto,",, ,,",1,2008
26,,,+0:00,,Cunego Damiano,35,Lampre,",, ,,",1,2008
22,,,+0:00,,Kreuziger Roman,36,Liquigas,",, ,,",1,2008
22,,,+0:00,,Meersman Gianni,37,Fran\xe7aise des Jeux,",, ,,",1,2008
27,,,+0:00,,ten Dam Laurens,38,Rabobank ProTeam,",, ,,",1,2008
31,,,+0:00,,Gustov Volodymyr,39,CSC ProTeam,",, ,,",1,2008
21,,,+0:00,,Kangert Tanel,40,AG2R La Mondiale,",, ,,",1,2008
32,,,+0:00,,Kl\xf6den Andr\xe9as,41,Astana,",, ,,",1,2008
29,,,+0:00,,Tankink Bram,42,Rabobank ProTeam,",, ,,",1,2008
26,,,+0:00,,Schumacher Stefan,43,Gerolsteiner,",, ,,",1,2008
31,,,+0:00,,Landaluze Inigo,44,Euskaltel - Euskadi,0:03 0:03,1,2008
27,,,+0:00,,Mourey Francis,45,Fran\xe7aise des Jeux,",, 0:03",1,2008
21,,,+0:00,,Frank Mathias,46,Gerolsteiner,",, 0:03",1,2008
27,,,+0:00,,Zaugg Oliver,47,Gerolsteiner,",, 0:03",1,2008
28,,,+0:00,,Loosli David,48,Lampre,0:06 0:06,1,2008
24,,,+0:00,,Kozonchuk Dmitry,49,Rabobank ProTeam,",, 0:06",1,2008
31,,,+0:00,,Zampieri Steve,50,Cofidis,0:03 0:03,1,2008
26,,,+0:00,,Fothen Markus,51,Gerolsteiner,",, 0:03",1,2008
28,,,+0:00,,Pineau J\xe9rome,52,Bouygues Telecom,0:22 0:22,1,2008
23,,,+0:00,,Perget Mathieu,53,Caisse d'Epargne,0:23 0:23,1,2008
37,,,+0:00,,Zabel Erik,54,Milram,",, 0:23",1,2008
26,,,+0:00,,Talabardon Yannick,55,Cr\xe9dit Agricole,",, 0:23",1,2008
26,,,+0:00,,Sprick Matthieu,56,Bouygues Telecom,",, 0:23",1,2008
27,,,+0:00,,Vanotti Alessandro,57,Liquigas,",, 0:23",1,2008
28,,,+0:00,,Duque Leonardo,58,Cofidis,",, 0:23",1,2008
27,,,+0:00,,Cancellara Fabian,59,CSC ProTeam,",, 0:23",1,2008
30,,,+0:00,,Tiralongo Paolo,60,Lampre,",, 0:23",1,2008
