Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
22,45.077,1,+0:00,50.0,Sagan Peter,1,Liquigas - Cannondale,9:43 9:43,6.0,0,2012
31,44.77,2,+0:04,30.0,Cancellara Fabian,2,RadioShack - Nissan,0:04 0:04,4.0,0,2012
21,44.542,3,+0:07,18.0,Moser Moreno,3,Liquigas - Cannondale,0:07 0:07,2.0,0,2012
33,44.242,4,+0:11,13.0,Elmiger Martin,4,AG2R La Mondiale,0:11 0:11,1.0,0,2012
32,43.946000000000005,5,+0:15,10.0,Kessiakoff Fredrik,5,Astana Pro Team,0:15 0:15,1.0,0,2012
31,43.8,6,+0:17,7.0,Albasini Michael,6,Orica GreenEDGE,0:17 0:17,,0,2012
27,43.727,7,+0:18,4.0,Cataldo Dario,7,Omega Pharma - Quick-Step,0:18 0:18,,0,2012
26,43.653999999999996,8,+0:19,3.0,Kreuziger Roman,8,Astana Pro Team,0:19 0:19,,0,2012
22,43.582,9,+0:20,2.0,Slagter Tom-Jelte,9,Rabobank Cycling Team,0:20 0:20,,0,2012
27,43.438,10,+0:22,1.0,Fuglsang Jakob,10,RadioShack - Nissan,0:22 0:22,,0,2012
28,43.438,11,+0:22,,L\xf6fkvist Thomas,11,Sky Procycling,",, 0:22",,0,2012
29,43.36600000000001,12,+0:23,,Monfort Maxime,12,RadioShack - Nissan,0:23 0:23,,0,2012
31,43.36600000000001,13,+0:23,,ten Dam Laurens,13,Rabobank Cycling Team,",, 0:23",,0,2012
28,43.36600000000001,14,+0:23,,Marcato Marco,14,Vacansoleil - DCM,",, 0:23",,0,2012
24,43.36600000000001,15,+0:23,,Meyer Cameron,15,Orica GreenEDGE,",, 0:23",,0,2012
31,43.295,16,+0:24,,Cummings Stephen,16,BMC Racing Team,0:24 0:24,,0,2012
28,43.295,17,+0:24,,Bookwalter Brent,17,BMC Racing Team,",, 0:24",,0,2012
24,43.224,18,+0:25,,Poels Wout,18,Vacansoleil - DCM,0:25 0:25,,0,2012
27,43.224,19,+0:25,,Velits Peter,19,Omega Pharma - Quick-Step,",, 0:25",,0,2012
24,43.224,20,+0:25,,Izagirre Gorka,20,Euskaltel - Euskadi,",, 0:25",,0,2012
36,43.224,21,+0:25,,Kl\xf6den Andr\xe9as,21,RadioShack - Nissan,",, 0:25",,0,2012
28,43.082,22,+0:27,,Terpstra Niki,22,Omega Pharma - Quick-Step,0:27 0:27,,0,2012
