Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
26,,97,22.0,+0:39,50.0,Meyer Cameron,1,Orica GreenEDGE,5:08:18 5:08:18,6.0,2,2014
30,,42,7.0,+0:27,30.0,Deignan Philip,2,Team Sky,",, ,,",4.0,2,2014
23,,67,54.0,+1:05,18.0,Warbasse Larry,3,BMC Racing Team,",, ,,",2.0,2,2014
24,,131,4.0,+0:19,13.0,Sagan Peter,4,Cannondale,0:14 0:14,1.0,2,2014
26,,48,75.0,+1:30,10.0,Swift Ben,5,Team Sky,",, 0:14",1.0,2,2014
23,,63,26.0,+0:42,7.0,Dillier Silvan,6,BMC Racing Team,",, 0:14",,2,2014
31,,124,66.0,+1:18,4.0,de Kort Koen,7,Team Giant - Shimano,",, 0:14",,2,2014
28,,98,41.0,+0:55,3.0,Schurter Nino,8,Orica GreenEDGE,",, 0:14",,2,2014
32,,142,42.0,+0:55,2.0,Gasparotto Enrico,9,Astana Pro Team,",, 0:14",,2,2014
33,,31,71.0,+1:26,1.0,Kolobnev Alexandr,10,Team Katusha,",, 0:14",,2,2014
25,,117,19.0,+0:38,,King Benjamin,11,Garmin Sharp,",, 0:14",,2,2014
30,,62,72.0,+1:29,,Burghardt Marcus,12,BMC Racing Team,",, 0:14",,2,2014
23,,125,2.0,+0:06,,Dumoulin Tom,13,Team Giant - Shimano,",, 0:14",,2,2014
25,,23,8.0,+0:27,,Izagirre Ion,14,Movistar Team,",, 0:14",,2,2014
25,,165,69.0,+1:24,,Dockx Gert,15,Lotto Belisol,",, 0:14",,2,2014
27,,52,36.0,+0:53,,Gretsch Patrick,16,AG2R La Mondiale,",, 0:14",,2,2014
25,,45,10.0,+0:29,,Kennaugh Peter,17,Team Sky,",, 0:14",,2,2014
33,,46,27.0,+0:43,,Knees Christian,18,Team Sky,",, 0:14",,2,2014
27,,101,5.0,+0:22,,Mollema Bauke,19,Belkin-Pro Cycling Team,",, 0:14",,2,2014
29,,114,77.0,+1:41,,Cardoso Andr\xe9,20,Garmin Sharp,",, 0:14",,2,2014
29,,28,45.0,+0:56,,Rojas Jos\xe9 Joaqu\xedn,21,Movistar Team,",, 0:14",,2,2014
