Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
1,7,Durasek Kristijan,27,Lampre - Merida,6.0,50.0,8.0,+0:18,3:36:52 3:36:52,2015,2
2,77,Moreno Daniel,33,Team Katusha,4.0,30.0,3.0,+0:11,0:04 0:04,2015,2
3,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,2.0,18.0,11.0,+0:19,",, 0:04",2015,2
4,131,Pinot Thibaut,25,FDJ,1.0,13.0,7.0,+0:16,",, 0:04",2015,2
5,52,Thomas Geraint,29,Team Sky,1.0,10.0,2.0,+0:07,",, 0:04",2015,2
6,78,Spilak Simon,28,Team Katusha,,7.0,10.0,+0:19,",, 0:04",2015,2
7,156,Lopez Miguel Angel,21,Astana Pro Team,,4.0,13.0,+0:26,",, 0:04",2015,2
8,151,Fuglsang Jakob,30,Astana Pro Team,,3.0,4.0,+0:14,",, 0:04",2015,2
9,85,Dumoulin Tom,24,Team Giant - Alpecin,,2.0,1.0,+0:00,",, 0:04",2015,2
10,41,Sagan Peter,25,Tinkoff - Saxo,,1.0,5.0,+0:15,0:14 0:14,2015,2
11,33,Hermans Ben,29,BMC Racing Team,,,16.0,+0:32,",, 0:14",2015,2
12,15,Jungels Bob,22,Trek Factory Racing,,,9.0,+0:19,",, 0:14",2015,2
13,111,Anacona Winner,26,Movistar Team,,,12.0,+0:21,",, 0:14",2015,2
14,61,Gesink Robert,29,Team LottoNL-Jumbo,,,17.0,+0:32,",, 0:14",2015,2
15,136,Morabito Steve,32,FDJ,,,6.0,+0:15,",, 0:14",2015,2
16,26,Reichenbach Sebastien,26,IAM Cycling,,,15.0,+0:29,",, 0:14",2015,2
17,102,Chaves Johan Esteban,25,Orica GreenEDGE,,,18.0,+0:39,",, 0:14",2015,2
18,161,Pozzovivo Domenico,32,AG2R La Mondiale,,,14.0,+0:29,",, 0:14",2015,2
19,158,Lutsenko Alexey,22,Astana Pro Team,,,24.0,+1:13,1:01 1:01,2015,2
20,101,Albasini Michael,34,Orica GreenEDGE,,,21.0,+1:06,",, 1:01",2015,2
21,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,,,25.0,+1:14,",, 1:01",2015,2
22,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,,,27.0,+1:15,",, 1:01",2015,2
23,21,Elmiger Martin,36,IAM Cycling,,,20.0,+1:06,",, 1:01",2015,2
24,4,Conti Valerio,22,Lampre - Merida,,,37.0,+1:26,",, 1:01",2015,2
25,37,Van Avermaet Greg,30,BMC Racing Team,,,19.0,+1:01,",, 1:01",2015,2
26,163,Bakelants Jan,29,AG2R La Mondiale,,,26.0,+1:14,",, 1:01",2015,2
27,175,Rebellin Davide,43,CCC Sprandi Polkowice,,,36.0,+1:26,",, 1:01",2015,2
28,5,Niemiec Przemyslaw,35,Lampre - Merida,,,34.0,+1:24,",, 1:01",2015,2
29,143,Brambilla Gianluca,27,Etixx - Quick Step,,,28.0,+1:17,",, 1:01",2015,2
30,121,Van den Broeck Jurgen,32,Lotto Soudal,,,30.0,+1:19,",, 1:01",2015,2
31,57,Siutsou Kanstantsin,32,Team Sky,,,23.0,+1:09,",, 1:01",2015,2
32,184,de Greef Francis,30,Wanty - Groupe Gobert,,,31.0,+1:20,",, 1:01",2015,2
33,51,Henao Sergio Luis,27,Team Sky,,,29.0,+1:19,",, 1:01",2015,2
34,112,Capecchi Eros,29,Movistar Team,,,33.0,+1:22,",, 1:01",2015,2
35,53,Lopez David,34,Team Sky,,,35.0,+1:24,",, 1:01",2015,2
36,65,ten Dam Laurens,34,Team LottoNL-Jumbo,,,38.0,+1:35,1:05 1:05,2015,2
37,46,Majka Rafa\u0142,25,Tinkoff - Saxo,,,32.0,+1:21,",, 1:05",2015,2
38,114,Izagirre Ion,26,Movistar Team,,,22.0,+1:07,",, 1:05",2015,2
39,174,Schumacher Stefan,33,CCC Sprandi Polkowice,,,39.0,+2:38,2:19 2:19,2015,2
40,91,Danielson Thomas,37,Team Cannondale - Garmin,,,46.0,+2:55,",, 2:19",2015,2
41,17,Schleck Fr\xe4nk,35,Trek Factory Racing,,,42.0,+2:43,",, 2:19",2015,2
42,6,Pibernik Luka,21,Lampre - Merida,,,43.0,+2:43,",, 2:19",2015,2
43,32,Atapuma John Darwin,27,BMC Racing Team,,,45.0,+2:49,",, 2:19",2015,2
44,188,Selvaggi Mirko,30,Wanty - Groupe Gobert,,,44.0,+2:45,",, 2:19",2015,2
45,36,Senni Manuel,23,BMC Racing Team,,,41.0,+2:42,",, 2:19",2015,2
46,93,Cardoso Andr\xe9,30,Team Cannondale - Garmin,,,47.0,+2:57,",, 2:19",2015,2
47,83,Barguil Warren,23,Team Giant - Alpecin,,,40.0,+2:39,",, 2:19",2015,2
48,31,Dillier Silvan,24,BMC Racing Team,,,67.0,+6:53,5:35 5:35,2015,2
