Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
28,,71,5.0,+0:20,50.0,Sagan Peter,1,BORA - hansgrohe,3:50:09 3:50:09,60.0,2,2018
23,,122,59.0,+2:18,30.0,Gaviria Fernando,2,Quick-Step Floors,",, ,,",25.0,2,2018
29,,3,26.0,+0:45,18.0,Haas Nathan,3,Team Katusha - Alpecin,",, ,,",10.0,2,2018
27,,36,6.0,+0:23,13.0,Matthews Michael,4,Team Sunweb,",, ,,",,2,2018
21,,66,22.0,+0:39,10.0,Padun Mark,5,Bahrain Merida Pro Cycling Team,",, ,,",,2,2018
36,,62,23.0,+0:39,7.0,Gasparotto Enrico,6,Bahrain Merida Pro Cycling Team,",, ,,",,2,2018
28,,152,33.0,+0:56,4.0,Battaglin Enrico,7,Team LottoNL-Jumbo,",, ,,",,2,2018
33,,16,2.0,+0:03,3.0,Van Avermaet Greg,8,BMC Racing Team,",, ,,",,2,2018
29,,97,27.0,+0:48,2.0,Vichot Arthur,9,Groupama - FDJ,",, ,,",,2,2018
31,,151,34.0,+0:56,1.0,Kruijswijk Steven,10,Team LottoNL-Jumbo,",, ,,",,2,2018
21,,103,36.0,+1:01,,Lambrecht Bjorg,11,Lotto Soudal,",, ,,",,2,2018
27,,52,103.0,+3:32,,Fraile Omar,12,Astana Pro Team,",, ,,",,2,2018
28,,177,32.0,+0:53,,Ulissi Diego,13,UAE-Team Emirates,",, ,,",,2,2018
25,,191,52.0,+1:19,,Calmejane Lilian,14,Direct Energie,",, ,,",,2,2018
31,,41,46.0,+1:10,,Frank Mathias,15,AG2R La Mondiale,",, ,,",,2,2018
29,,147,44.0,+1:08,,Vanmarcke Sep,16,Team EF Education First-Drapac p/b Cannondale,",, ,,",,2,2018
31,,57,54.0,+1:21,,Kangert Tanel,17,Astana Pro Team,",, ,,",,2,2018
26,,87,37.0,+1:01,,Stuyven Jasper,18,Trek - Segafredo,",, ,,",,2,2018
31,,81,38.0,+1:01,,Mollema Bauke,19,Trek - Segafredo,",, ,,",,2,2018
25,,162,41.0,+1:05,,Doull Owain,20,Team Sky,",, ,,",,2,2018
30,,46,47.0,+1:10,,Gautier Cyril,21,AG2R La Mondiale,",, ,,",,2,2018
24,,13,1.0,+0:00,,K\xfcng Stefan,22,BMC Racing Team,",, ,,",,2,2018
20,,163,42.0,+1:05,,Sivakov Pavel,23,Team Sky,",, ,,",,2,2018
24,,74,10.0,+0:30,,M\xfchlberger Gregor,24,BORA - hansgrohe,",, ,,",,2,2018
33,,11,3.0,+0:03,,Porte Richie,25,BMC Racing Team,",, ,,",,2,2018
23,,126,11.0,+0:30,,Mas Enric,26,Quick-Step Floors,",, ,,",,2,2018
24,,83,58.0,+2:09,,Gogl Michael,27,Trek - Segafredo,",, ,,",,2,2018
26,,47,48.0,+1:10,,Bidard Fran\xe7ois,28,AG2R La Mondiale,",, ,,",,2,2018
29,,114,18.0,+0:36,,Oliveira Nelson,29,Movistar Team,",, ,,",,2,2018
29,,61,24.0,+0:39,,Izagirre Ion,30,Bahrain Merida Pro Cycling Team,",, ,,",,2,2018
21,,183,53.0,+1:19,,Dunbar Edward,31,Aqua Blue Sport,",, ,,",,2,2018
31,,1,28.0,+0:49,,Spilak Simon,32,Team Katusha - Alpecin,",, ,,",,2,2018
35,,105,39.0,+1:01,,Monfort Maxime,33,Lotto Soudal,",, ,,",,2,2018
27,,31,7.0,+0:23,,Kelderman Wilco,34,Team Sunweb,",, ,,",,2,2018
22,,33,8.0,+0:23,,Oomen Sam,35,Team Sunweb,",, ,,",,2,2018
28,,111,19.0,+0:36,,Quintana Nairo,36,Movistar Team,",, ,,",,2,2018
24,,25,15.0,+0:32,,Haig Jack,37,Mitchelton-Scott,",, ,,",,2,2018
27,,43,56.0,+1:23,,Dillier Silvan,38,AG2R La Mondiale,",, ,,",,2,2018
29,,17,4.0,+0:03,,van Garderen Tejay,39,BMC Racing Team,",, ,,",,2,2018
35,,127,12.0,+0:30,,Richeze Ariel Maximiliano,40,Quick-Step Floors,",, ,,",,2,2018
30,,63,63.0,+2:34,,Izagirre Gorka,41,Bahrain Merida Pro Cycling Team,",, ,,",,2,2018
29,,2,29.0,+0:49,,Gon\xe7alves Jos\xe9,42,Team Katusha - Alpecin,",, ,,",,2,2018
33,,116,31.0,+0:52,,Rojas Jos\xe9 Joaqu\xedn,43,Movistar Team,",, ,,",,2,2018
24,,134,49.0,+1:13,,Kudus Merhawi,44,Team Dimension Data,",, ,,",,2,2018
33,,51,55.0,+1:21,,Fuglsang Jakob,45,Astana Pro Team,",, ,,",,2,2018
32,,27,16.0,+0:32,,Kreuziger Roman,46,Mitchelton-Scott,",, ,,",,2,2018
24,,153,35.0,+0:56,,Bouwman Koen,47,Team LottoNL-Jumbo,",, ,,",,2,2018
27,,55,104.0,+3:32,,Hansen Jesper,48,Astana Pro Team,",, ,,",,2,2018
27,,125,13.0,+0:30,,Lampaert Yves,49,Quick-Step Floors,",, ,,",,2,2018
23,,143,45.0,+1:08,,Carthy Hugh,50,Team EF Education First-Drapac p/b Cannondale,",, ,,",,2,2018
31,,65,25.0,+0:39,,Koren Kristijan,51,Bahrain Merida Pro Cycling Team,",, ,,",,2,2018
