Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
24,,,+0:00,30.0,Cavendish Mark,1,Team HTC - Columbia,4:04:46 4:04:46,20.0,1,2010
29,,,+0:00,18.0,Haedo Juan Jose,2,Saxo Bank,",, ,,",14.0,1,2010
22,,,+0:00,12.0,Kristoff Alexander,3,BMC Racing Team,",, ,,",8.0,1,2010
33,,,+0:00,7.0,Hunter Robert,4,Team Garmin - Transitions,",, ,,",7.0,1,2010
28,,,+0:00,4.0,Cantwell Jonathan,5,Fly V Australia Pro Cycling Team,",, ,,",6.0,1,2010
26,,,+0:00,3.0,Burghardt Marcus,6,BMC Racing Team,",, ,,",5.0,1,2010
20,,,+0:00,2.0,Boivin Guillaume,7,Spidertech presented by Planet Energy,",, ,,",4.0,1,2010
23,,,+0:00,1.0,Stauff Andreas,8,Quickstep - Innergetic,",, ,,",2.0,1,2010
24,,,+0:00,,Maes Nikolas,9,Quickstep - Innergetic,",, ,,",,1,2010
24,,,+0:00,,Leezer Tom,10,Rabobank ProTeam,",, ,,",,1,2010
35,,,+0:00,,Candelario Alex,11,Kelly Benefit Strategies,",, ,,",,1,2010
20,,,+0:00,,Sagan Peter,12,Liquigas - Doimo,",, ,,",,1,2010
27,,,+0:00,,Renshaw Mark,13,Team HTC - Columbia,",, ,,",,1,2010
27,,,+0:00,,Gilbert Martin,14,,",, ,,",,1,2010
31,,,+0:00,,Dionne Charles,15,Fly V Australia Pro Cycling Team,",, ,,",,1,2010
26,,,+0:00,,Brajkovi\u010d Janez,16,RadioShack,",, ,,",,1,2010
30,,,+0:00,,Rogers Michael,17,Team HTC - Columbia,",, ,,",,1,2010
26,,,+0:00,,Sulzberger Bernard,18,Fly V Australia Pro Cycling Team,",, ,,",,1,2010
29,,,+0:00,,Chicchi Francesco,19,Liquigas - Doimo,",, ,,",,1,2010
29,,,+0:00,,Eisel Bernhard,20,Team HTC - Columbia,",, ,,",,1,2010
30,,,+0:00,,Quinziato Manuel,21,Liquigas - Doimo,",, ,,",,1,2010
28,,,+0:00,,Hanson Ken,22,Team Type 1,",, ,,",,1,2010
27,,,+0:00,,Zahner Simon,23,BMC Racing Team,",, ,,",,1,2010
26,,,+0:00,,Bos Theo,24,Cervelo Test Team,",, ,,",,1,2010
21,,,+0:00,,van Garderen Tejay,25,Team HTC - Columbia,",, ,,",,1,2010
25,,,+0:00,,Martin Tony,26,Team HTC - Columbia,",, ,,",,1,2010
26,,,+0:00,,Latham Peter,27,Bissell Pro Cycling,",, ,,",,1,2010
33,,,+0:00,,Kobzarenko Valery,28,Team Type 1,",, ,,",,1,2010
22,,,+0:00,,Stetina Peter,29,Team Garmin - Transitions,",, ,,",,1,2010
25,,,+0:00,,Cozza Steven,30,Team Garmin - Transitions,",, ,,",,1,2010
29,,,+0:00,,Hesjedal Ryder,31,Team Garmin - Transitions,",, ,,",,1,2010
21,,,+0:00,,Viviani Elia,32,Liquigas - Doimo,",, ,,",,1,2010
24,,,+0:00,,Mazich Sean,33,Jelly Belly presented by Kenda,",, ,,",,1,2010
23,,,+0:00,,Reijnen Kiel,34,Jelly Belly presented by Kenda,",, ,,",,1,2010
22,,,+0:00,,Boily Eric,35,Spidertech presented by Planet Energy,",, ,,",,1,2010
31,,,+0:00,,Day Benjamin,36,Fly V Australia Pro Cycling Team,",, ,,",,1,2010
32,,,+0:00,,Wilson Matthew,37,Team Garmin - Transitions,",, ,,",,1,2010
36,,,+0:00,,Leipheimer Levi,38,RadioShack,",, ,,",,1,2010
31,,,+0:00,,Zabriskie David,39,Team Garmin - Transitions,",, ,,",,1,2010
32,,,+0:00,,Danielson Thomas,40,Team Garmin - Transitions,",, ,,",,1,2010
34,,,+0:00,,Niermann Grischa,41,Rabobank ProTeam,",, ,,",,1,2010
27,,,+0:00,,Clement Stef,42,Rabobank ProTeam,",, ,,",,1,2010
34,,,+0:00,,Grabsch Bert,43,Team HTC - Columbia,",, ,,",,1,2010
30,,,+0:00,,Popovych Yaroslav,44,RadioShack,",, ,,",,1,2010
37,,,+0:00,,Rubiera Jos\xe9 Luis,45,RadioShack,",, ,,",,1,2010
27,,,+0:00,,Bell Zach,46,Kelly Benefit Strategies,",, ,,",,1,2010
25,,,+0:00,,Fuglsang Jakob,47,Saxo Bank,",, ,,",,1,2010
23,,,+0:00,,Jenkins Max,48,UnitedHealthcare Presented by Maxxis,",, ,,",,1,2010
22,,,+0:00,,Steensen Andre,49,Saxo Bank,",, ,,",,1,2010
24,,,+0:00,,Thomson Jay Robert,50,Fly V Australia Pro Cycling Team,",, ,,",,1,2010
20,,,+0:00,,Cimolai Davide,51,Liquigas - Doimo,",, ,,",,1,2010
33,,,+0:00,,Mumford Jonathan Reid,52,Kelly Benefit Strategies,",, ,,",,1,2010
34,,,+0:00,,Baldwin Christopher,53,UnitedHealthcare Presented by Maxxis,",, ,,",,1,2010
28,,,+0:00,,Sutherland Rory,54,UnitedHealthcare Presented by Maxxis,",, ,,",,1,2010
31,,,+0:00,,Frattini Davide,55,Team Type 1,",, ,,",,1,2010
26,,,+0:00,,Powers Jeremy,56,Jelly Belly presented by Kenda,",, ,,",,1,2010
26,,,+0:00,,Routley Will,57,Jelly Belly presented by Kenda,",, ,,",,1,2010
30,,,+0:00,,van Ulden Bernard,58,Jelly Belly presented by Kenda,",, ,,",,1,2010
31,,,+0:00,,Jacques-Maynes Benjamin,59,Bissell Pro Cycling,",, ,,",,1,2010
25,,,+0:00,,Britton Rob,60,Bissell Pro Cycling,",, ,,",,1,2010
26,,,+0:00,,de Maar Marc,61,UnitedHealthcare Presented by Maxxis,",, ,,",,1,2010
26,,,+0:00,,Euser Lucas,62,Spidertech presented by Planet Energy,",, ,,",,1,2010
30,,,+0:00,,Jones Chris,63,Team Type 1,",, ,,",,1,2010
31,,,+0:00,,Jacques-Maynes Andy,64,Bissell Pro Cycling,",, ,,",,1,2010
25,,,+0:00,,Ile\u0161i\u010d Aldo Ino,65,Team Type 1,",, ,,",,1,2010
