Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,,1,1.0,+0:00,35.0,Kittel Marcel,1,Quick-Step Floors,3:45:35 3:45:35,40.0,1,2017
27,,21,2.0,+0:04,20.0,Sagan Peter,2,BORA - hansgrohe,",, ,,",15.0,1,2017
28,,91,3.0,+0:06,12.0,Viviani Elia,3,Team Sky,",, ,,",6.0,1,2017
28,,51,6.0,+0:10,9.0,Degenkolb John,4,Trek - Segafredo,",, ,,",,1,2017
30,,13,7.0,+0:10,7.0,Drucker Jean-Pierre,5,BMC Racing Team,",, ,,",,1,2017
28,,135,8.0,+0:10,5.0,Janse van Rensburg Reinardt,6,Team Dimension Data,",, ,,",,1,2017
30,,78,9.0,+0:10,3.0,van Genechten Jonas,7,"Cofidis, Solutions Cr\xe9dits",",, ,,",,1,2017
28,,105,10.0,+0:10,2.0,Kump Marko,8,UAE Team Emirates,",, ,,",,1,2017
26,,38,11.0,+0:10,1.0,Wippert Wouter,9,Cannondale-Drapac Pro Cycling Team,",, ,,",,1,2017
28,,147,12.0,+0:10,,McCabe Travis,10,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2017
40,,141,13.0,+0:10,,Henderson Gregory,11,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2017
28,,117,14.0,+0:10,,Sinkeldam Ramon,12,Team Sunweb,",, ,,",,1,2017
29,,41,15.0,+0:10,,Kristoff Alexander,13,Team Katusha - Alpecin,",, ,,",,1,2017
22,,85,16.0,+0:10,,Joyce Colin,14,Rally Cycling,",, ,,",,1,2017
23,,48,17.0,+0:10,,Zabel Rick,15,Team Katusha - Alpecin,",, ,,",,1,2017
32,,4,18.0,+0:14,,Sabatini Fabio,16,Quick-Step Floors,0:04 0:04,,1,2017
30,,61,19.0,+0:14,,Gesink Robert,17,Team LottoNL-Jumbo,",, 0:04",,1,2017
27,,27,20.0,+0:14,,Poljanski Pawel,18,BORA - hansgrohe,",, 0:04",,1,2017
33,,11,21.0,+0:14,,Bookwalter Brent,19,BMC Racing Team,",, 0:04",,1,2017
27,,62,22.0,+0:14,,Bennett George,20,Team LottoNL-Jumbo,",, 0:04",,1,2017
27,,25,23.0,+0:14,,Majka Rafa\u0142,21,BORA - hansgrohe,",, 0:04",,1,2017
32,,81,24.0,+0:14,,Britton Rob,22,Rally Cycling,",, 0:04",,1,2017
25,,161,25.0,+0:14,,Castillo Ulises Alfredo,23,Jelly Belly p/b Maxxis,",, 0:04",,1,2017
24,,26,26.0,+0:14,,McCarthy Jay,24,BORA - hansgrohe,",, 0:04",,1,2017
32,,44,27.0,+0:14,,M\xf8rk\xf8v Michael,25,Team Katusha - Alpecin,",, 0:04",,1,2017
21,,116,28.0,+0:14,,Oomen Sam,26,Team Sunweb,",, 0:04",,1,2017
25,,33,29.0,+0:14,,Brown Nathan,27,Cannondale-Drapac Pro Cycling Team,",, 0:04",,1,2017
39,,16,30.0,+0:14,,S\xe1nchez Samuel,28,BMC Racing Team,",, 0:04",,1,2017
28,,31,31.0,+0:14,,Talansky Andrew,29,Cannondale-Drapac Pro Cycling Team,",, 0:04",,1,2017
26,,82,32.0,+0:14,,Dal-cin Matteo,30,Rally Cycling,",, 0:04",,1,2017
30,,17,33.0,+0:14,,Schar Michael,31,BMC Racing Team,",, 0:04",,1,2017
31,,42,34.0,+0:14,,Machado Tiago,32,Team Katusha - Alpecin,",, 0:04",,1,2017
24,,66,35.0,+0:14,,Olivier Daan,33,Team LottoNL-Jumbo,",, 0:04",,1,2017
25,,146,36.0,+0:14,,Mannion Gavin,34,UnitedHealthcare Pro Cycling Team,",, 0:04",,1,2017
22,,55,37.0,+0:14,,Guerreiro Ruben,35,Trek - Segafredo,",, 0:04",,1,2017
28,,122,38.0,+0:14,,de Vreese Laurens,36,Astana Pro Team,",, 0:04",,1,2017
25,,15,4.0,+0:09,,Gerts Floris,37,BMC Racing Team,",, 0:04",,1,2017
