Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
23,,31,1.0,+0:00,35.0,Gaviria Fernando,1,Quick-Step Floors,3:02:23 3:02:23,40.0,1,2018
23,,73,2.0,+0:04,20.0,Ewan Caleb,2,Mitchelton-Scott,",, ,,",15.0,1,2018
28,,11,4.0,+0:06,12.0,Sagan Peter,3,BORA - hansgrohe,",, ,,",6.0,1,2018
30,,51,8.0,+0:10,9.0,Kittel Marcel,4,Team Katusha - Alpecin,",, ,,",,1,2018
30,,141,9.0,+0:10,7.0,Kristoff Alexander,5,UAE-Team Emirates,",, ,,",,1,2018
20,,106,10.0,+0:10,5.0,Philipsen Jasper,6,Hagens Berman Axeon,",, ,,",,1,2018
31,,125,11.0,+0:10,3.0,Reijnen Kiel,7,Trek - Segafredo,",, ,,",,1,2018
24,,136,12.0,+0:10,2.0,Walscheid Max,8,Team Sunweb,",, ,,",,1,2018
27,,65,13.0,+0:10,1.0,Magner Ty,9,Rally Cycling,",, ,,",,1,2018
32,,41,6.0,+0:09,,Cavendish Mark,10,Team Dimension Data,",, ,,",,1,2018
21,,105,14.0,+0:10,,Oliveira Ivo,11,Hagens Berman Axeon,",, ,,",,1,2018
29,,164,15.0,+0:10,,McCabe Travis,12,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2018
27,,22,16.0,+0:10,,Bevin Patrick,13,BMC Racing Team,",, ,,",,1,2018
33,,151,17.0,+0:10,,Murphy John,14,Holowesko - Citadel p/b Arapahoe Resources,",, ,,",,1,2018
26,,87,18.0,+0:10,,Wisniowski Lukasz,15,Team Sky,",, ,,",,1,2018
26,,116,19.0,+0:10,,McLay Daniel,16,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
35,,37,20.0,+0:10,,Richeze Ariel Maximiliano,17,Quick-Step Floors,",, ,,",,1,2018
29,,77,21.0,+0:10,,Mezgec Luka,18,Mitchelton-Scott,",, ,,",,1,2018
21,,1,22.0,+0:10,,Powless Neilson,19,Team LottoNL-Jumbo,",, ,,",,1,2018
24,,5,23.0,+0:10,,Tolhoek Antwan,20,Team LottoNL-Jumbo,",, ,,",,1,2018
25,,71,24.0,+0:10,,Yates Adam,21,Mitchelton-Scott,",, ,,",,1,2018
28,,84,25.0,+0:10,,Rowe Luke,22,Team Sky,",, ,,",,1,2018
21,,81,26.0,+0:10,,Bernal Egan Arley,23,Team Sky,",, ,,",,1,2018
25,,63,27.0,+0:10,,Carpenter Robin,24,Rally Cycling,",, ,,",,1,2018
27,,111,28.0,+0:10,,Phinney Taylor,25,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
33,,12,29.0,+0:10,,Bodnar Maciej,26,BORA - hansgrohe,",, ,,",,1,2018
30,,96,30.0,+0:10,,Gautier Cyril,27,AG2R La Mondiale,",, ,,",,1,2018
23,,82,31.0,+0:10,,Geoghegan Hart Tao,28,Team Sky,",, ,,",,1,2018
20,,104,32.0,+0:10,,Garrison Ian,29,Hagens Berman Axeon,",, ,,",,1,2018
26,,2,33.0,+0:10,,De Tier Floris,30,Team LottoNL-Jumbo,",, ,,",,1,2018
26,,113,34.0,+0:10,,Craddock Lawson,31,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
28,,45,35.0,+0:10,,Slagter Tom-Jelte,32,Team Dimension Data,",, ,,",,1,2018
25,,135,36.0,+0:10,,Teunissen Mike,33,Team Sunweb,",, ,,",,1,2018
