Age,Avg,Pnt,Rider,Rnk,Team,stage,year
33,,20.0,Tosatto Matteo,1,Quickstep - Innergetic,1,2008
31,,12.0,Cretskens Wilfried,2,Quickstep - Innergetic,1,2008
34,,7.0,de Jongh Steven,3,Quickstep - Innergetic,1,2008
27,,5.0,Boonen Tom,4,Quickstep - Innergetic,1,2008
30,,4.0,van de Walle Jurgen,5,Quickstep - Innergetic,1,2008
29,,3.0,Hulsmans Kevin,6,Quickstep - Innergetic,1,2008
23,,2.0,Sutton Chris,7,Team Garmin - Chipotle,1,2008
31,,1.0,Millar David,8,Team Garmin - Chipotle,1,2008
24,,,Maaskant Martijn,9,Team Garmin - Chipotle,1,2008
23,,,Duijn Huub,10,Team Garmin - Chipotle,1,2008
32,,,Dean Julian,11,Team Garmin - Chipotle,1,2008
39,,,den Bakker Maarten,12,Skil - Shimano,1,2008
24,,,Beppu Fumiyuki,13,Skil - Shimano,1,2008
28,,,Curvers Roy,14,Skil - Shimano,1,2008
30,,,Siedler Sebastian,15,Skil - Shimano,1,2008
27,,,Rooijakkers Piet,16,Skil - Shimano,1,2008
24,,,Wagner Robert,17,Skil - Shimano,1,2008
23,,,Veelers Tom,18,Skil - Shimano,1,2008
24,,,Goesinnen Floris,19,Skil - Shimano,1,2008
27,,,Chicchi Francesco,20,Liquigas,1,2008
22,,,Bodnar Maciej,21,Liquigas,1,2008
28,,,Kuchynski Aliaksandr,22,Liquigas,1,2008
36,,,Petito Roberto,23,Liquigas,1,2008
23,,,Curtolo Alberto,24,Liquigas,1,2008
30,,,Hoste Leif,25,Silence - Lotto,1,2008
26,,,Vansummeren Johan,26,Silence - Lotto,1,2008
22,,,Van Avermaet Greg,27,Silence - Lotto,1,2008
27,,,Sentjens Roy,28,Silence - Lotto,1,2008
35,,,Roesems Bert,29,Silence - Lotto,1,2008
27,,,Gardeyn Gorik,30,Silence - Lotto,1,2008
22,,,Roelandts Jurgen,31,Silence - Lotto,1,2008
30,,,Tjallingii Maarten,32,Silence - Lotto,1,2008
30,,,Furlan Angelo,33,Cr\xe9dit Agricole,1,2008
28,,,Engoulvent Jimmy,34,Cr\xe9dit Agricole,1,2008
31,,,Rasch Gabriel,35,Cr\xe9dit Agricole,1,2008
22,,,Konovalovas Ignatas,36,Cr\xe9dit Agricole,1,2008
25,,,Bonnet William,37,Cr\xe9dit Agricole,1,2008
28,,,Berthou Eric,38,Cr\xe9dit Agricole,1,2008
25,,,Serov Alexander,39,Tinkoff Credit Systems,1,2008
22,,,Khatuntsev Alexander,40,Tinkoff Credit Systems,1,2008
29,,,Loddo Alberto,41,Tinkoff Credit Systems,1,2008
22,,,Trusov Nikolay,42,Tinkoff Credit Systems,1,2008
22,,,Gottfried Alexander,43,Tinkoff Credit Systems,1,2008
18,,,Morton Angus,44,Drapac - Porsche Development Program,1,2008
30,,,Shaw Stuart,45,Drapac - Porsche Development Program,1,2008
22,,,Williams Robert,46,Drapac - Porsche Development Program,1,2008
29,,,McDonald Peter,47,Drapac - Porsche Development Program,1,2008
23,,,Irwin Grant,48,Drapac - Porsche Development Program,1,2008
21,,,Docker Mitchell,49,Drapac - Porsche Development Program,1,2008
23,,,Santambrogio Mauro,50,Lampre,1,2008
31,,,Bossoni Paolo,51,Lampre,1,2008
23,,,Longo Roberto,52,Lampre,1,2008
23,,,Bandiera Marco,53,Lampre,1,2008
26,,,Napolitano Danilo,54,Lampre,1,2008
37,,,Eeckhout Niko,55,Chocolade Jacques / Topsport Vlaanderen,1,2008
23,,,Dehaes Kenny,56,Chocolade Jacques / Topsport Vlaanderen,1,2008
23,,,Verbist Evert,57,Chocolade Jacques / Topsport Vlaanderen,1,2008
26,,,Hovelijnck Kurt,58,Chocolade Jacques / Topsport Vlaanderen,1,2008
25,,,Ghyllebert Pieter,59,Chocolade Jacques / Topsport Vlaanderen,1,2008
25,,,Van Hecke Preben,60,Chocolade Jacques / Topsport Vlaanderen,1,2008
24,,,Vanheule Bart,61,Chocolade Jacques / Topsport Vlaanderen,1,2008
27,,,Geslin Anthony,62,Bouygues Telecom,1,2008
26,,,Gene Yohann,63,Bouygues Telecom,1,2008
25,,,Pichot Alexandre,64,Bouygues Telecom,1,2008
33,,,Renier Franck,65,Bouygues Telecom,1,2008
31,,,Labbe Arnaud,66,Bouygues Telecom,1,2008
25,,,Haddou Sa\xefd,67,Bouygues Telecom,1,2008
21,,,Gaudin Damien,68,Bouygues Telecom,1,2008
22,,,Kohler Martin,69,BMC Racing Team,1,2008
22,,,Wyss Danilo,70,BMC Racing Team,1,2008
27,,,Stewart Jackson,71,BMC Racing Team,1,2008
36,,,Cruz Antonio,72,BMC Racing Team,1,2008
22,,,Tolleson Taylor,73,BMC Racing Team,1,2008
23,,,Bovay Steve,74,BMC Racing Team,1,2008
30,,,Nydam Scott,75,BMC Racing Team,1,2008
38,,,Sayers Mike,76,BMC Racing Team,1,2008
25,,,Diudia Volodymyr,77,Milram,1,2008
26,,,Knees Christian,78,Milram,1,2008
23,,,Terpstra Niki,79,Milram,1,2008
33,,,Velo Marco,80,Milram,1,2008
34,,,Grabsch Ralf,81,Milram,1,2008
32,,,Ongarato Alberto,82,Milram,1,2008
32,,,B\xe4ckstedt Magnus,83,Team Garmin - Chipotle,1,2008
25,,,Eskov Nikita,84,Tinkoff Credit Systems,1,2008
23,,,Jur\u010do Matej,85,Milram,1,2008
35,,,H\xf8j Frank,86,Cofidis,1,2008
25,,,Minard S\xe9bastien,87,Cofidis,1,2008
33,,,Verbrugghe Rik,88,Cofidis,1,2008
27,,,Nuyens Nick,89,Cofidis,1,2008
25,,,Heijboer Mathieu,90,Cofidis,1,2008
28,,,Scheirlinckx Staf,91,Cofidis,1,2008
25,,,Valentin Tristan,92,Cofidis,1,2008
25,,,De Weert Kevin,93,Cofidis,1,2008
26,,,Gomez Gomez Angel,94,Scott - American Beef,1,2008
21,,,Capecchi Eros,95,Scott - American Beef,1,2008
29,,,Pagliarini Luciano Andr\xe9,96,Scott - American Beef,1,2008
22,,,Capelli Ermano,97,Scott - American Beef,1,2008
24,,,Passeron Aur\xe9lien,98,Scott - American Beef,1,2008
21,,,Alarc\xf3n Ra\xfal,99,Scott - American Beef,1,2008
28,,,Bertogliati Rubens,100,Scott - American Beef,1,2008
25,,,Wynants Maarten,101,Quickstep - Innergetic,1,2008
23,,,Weylandt Wouter,102,Quickstep - Innergetic,1,2008
27,,,Klimov Sergey,103,Tinkoff Credit Systems,1,2008
19,,,Said Moosa,104,Doha Team,1,2008
29,,,Hasanin Omar,105,Doha Team,1,2008
27,,,Ben Hassine Aymen,106,Doha Team,1,2008
30,,,Esmaeili Tareq,107,Doha Team,1,2008
22,,,Chtioui Rafa\xe2,108,Doha Team,1,2008
22,,,Hannachi Abdelbaset,109,Doha Team,1,2008
19,,,Afif Hamad,110,Doha Team,1,2008
32,,,Belohvosciks Raivis,111,Scott - American Beef,1,2008
20,,,Nateghi Hossein,112,,1,2008
27,,,Saeidi Tanha Abbas,113,,1,2008
32,,,Askari Hossein,114,,1,2008
27,,,Zargari Amir,115,,1,2008
23,,,Seyed Rezaei Khormizi Seyed Mostafa,116,,1,2008
32,,,Mizbani Ghader,117,,1,2008
26,,,Sohrabi Mehdi,118,,1,2008
31,,,Jahanbanian Hossein,119,,1,2008
24,,,Bono Matteo,120,Lampre,1,2008
28,,,Willems Frederik,121,Liquigas,1,2008
35,,,Trenti Guido,122,Liquigas,1,2008
26,,,Mugerli Matej,123,Liquigas,1,2008
27,,,Barbe Koen,124,Chocolade Jacques / Topsport Vlaanderen,1,2008
21,,,Windsor Dean,125,Drapac - Porsche Development Program,1,2008
26,,,Bates Gene Michael,126,Drapac - Porsche Development Program,1,2008
22,,,Riccio Bernardo,127,Tinkoff Credit Systems,1,2008
30,,,Laurent Christophe,128,Team Garmin - Chipotle,1,2008
31,,,Righi Daniele,129,Lampre,1,2008
25,,,Patour Kilian,130,Team Garmin - Chipotle,1,2008
25,,,Simon Jean-Paul,131,Josan Mercedes Benz Aalst CT,1,2008
24,,,Abduljanan Khalil,132,Doha Team,1,2008
24,,,Lemoine Cyril,133,Cr\xe9dit Agricole,1,2008
27,,20.0,Boonen Tom,1,Quickstep - Innergetic,2,2008
22,,12.0,Van Avermaet Greg,2,Silence - Lotto,2,2008
26,,7.0,Napolitano Danilo,3,Lampre,2,2008
23,,5.0,Sutton Chris,4,Team Garmin - Chipotle,2,2008
22,,4.0,Roelandts Jurgen,5,Silence - Lotto,2,2008
25,,3.0,Pichot Alexandre,6,Bouygues Telecom,2,2008
34,,2.0,de Jongh Steven,7,Quickstep - Innergetic,2,2008
30,,1.0,Tjallingii Maarten,8,Silence - Lotto,2,2008
31,,,Cretskens Wilfried,9,Quickstep - Innergetic,2,2008
33,,,Tosatto Matteo,10,Quickstep - Innergetic,2,2008
32,,,B\xe4ckstedt Magnus,11,Team Garmin - Chipotle,2,2008
25,,,Wynants Maarten,12,Quickstep - Innergetic,2,2008
24,,,Wagner Robert,13,Skil - Shimano,2,2008
29,,,Pagliarini Luciano Andr\xe9,14,Scott - American Beef,2,2008
23,,,Weylandt Wouter,15,Quickstep - Innergetic,2,2008
29,,,Hulsmans Kevin,16,Quickstep - Innergetic,2,2008
30,,,Furlan Angelo,17,Cr\xe9dit Agricole,2,2008
31,,,Bossoni Paolo,18,Lampre,2,2008
27,,,Gardeyn Gorik,19,Silence - Lotto,2,2008
26,,,Hovelijnck Kurt,20,Chocolade Jacques / Topsport Vlaanderen,2,2008
33,,,Renier Franck,21,Bouygues Telecom,2,2008
26,,,Knees Christian,22,Milram,2,2008
36,,,Cruz Antonio,23,BMC Racing Team,2,2008
23,,,Veelers Tom,24,Skil - Shimano,2,2008
28,,,Willems Frederik,25,Liquigas,2,2008
29,,,Loddo Alberto,26,Tinkoff Credit Systems,2,2008
30,,,Siedler Sebastian,27,Skil - Shimano,2,2008
22,,,Konovalovas Ignatas,28,Cr\xe9dit Agricole,2,2008
28,,,Engoulvent Jimmy,29,Cr\xe9dit Agricole,2,2008
24,,,Goesinnen Floris,30,Skil - Shimano,2,2008
26,,,Vansummeren Johan,31,Silence - Lotto,2,2008
26,,,Gomez Gomez Angel,32,Scott - American Beef,2,2008
33,,,Velo Marco,33,Milram,2,2008
23,,,Verbist Evert,34,Chocolade Jacques / Topsport Vlaanderen,2,2008
21,,,Windsor Dean,35,Drapac - Porsche Development Program,2,2008
23,,,Terpstra Niki,36,Milram,2,2008
25,,,Ghyllebert Pieter,37,Chocolade Jacques / Topsport Vlaanderen,2,2008
31,,,Labbe Arnaud,38,Bouygues Telecom,2,2008
27,,,Sentjens Roy,39,Silence - Lotto,2,2008
22,,,Kohler Martin,40,BMC Racing Team,2,2008
27,,,Chicchi Francesco,41,Liquigas,2,2008
23,,,Bovay Steve,42,BMC Racing Team,2,2008
25,,,Haddou Sa\xefd,43,Bouygues Telecom,2,2008
28,,,Curvers Roy,44,Skil - Shimano,2,2008
25,,,Bonnet William,45,Cr\xe9dit Agricole,2,2008
36,,,Petito Roberto,46,Liquigas,2,2008
22,,,Bodnar Maciej,47,Liquigas,2,2008
25,,,Diudia Volodymyr,48,Milram,2,2008
30,,,van de Walle Jurgen,49,Quickstep - Innergetic,2,2008
25,,,Heijboer Mathieu,50,Cofidis,2,2008
26,,,Gene Yohann,51,Bouygues Telecom,2,2008
28,,,Berthou Eric,52,Cr\xe9dit Agricole,2,2008
30,,,Shaw Stuart,53,Drapac - Porsche Development Program,2,2008
24,,,Passeron Aur\xe9lien,54,Scott - American Beef,2,2008
30,,,Hoste Leif,55,Silence - Lotto,2,2008
27,,,Rooijakkers Piet,56,Skil - Shimano,2,2008
31,,,Rasch Gabriel,57,Cr\xe9dit Agricole,2,2008
22,,,Capelli Ermano,58,Scott - American Beef,2,2008
29,,,Hasanin Omar,59,Doha Team,2,2008
27,,,Ben Hassine Aymen,60,Doha Team,2,2008
32,,,Askari Hossein,61,,2,2008
32,,,Belohvosciks Raivis,62,Scott - American Beef,2,2008
21,,,Alarc\xf3n Ra\xfal,63,Scott - American Beef,2,2008
22,,,Williams Robert,64,Drapac - Porsche Development Program,2,2008
21,,,Capecchi Eros,65,Scott - American Beef,2,2008
39,,,den Bakker Maarten,66,Skil - Shimano,2,2008
23,,,Dehaes Kenny,67,Chocolade Jacques / Topsport Vlaanderen,2,2008
27,,,Barbe Koen,68,Chocolade Jacques / Topsport Vlaanderen,2,2008
35,,,Roesems Bert,69,Silence - Lotto,2,2008
23,,,Santambrogio Mauro,70,Lampre,2,2008
22,,,Trusov Nikolay,71,Tinkoff Credit Systems,2,2008
27,,,Klimov Sergey,72,Tinkoff Credit Systems,2,2008
22,,,Chtioui Rafa\xe2,73,Doha Team,2,2008
23,,,Curtolo Alberto,74,Liquigas,2,2008
26,,,Mugerli Matej,75,Liquigas,2,2008
25,,,Serov Alexander,76,Tinkoff Credit Systems,2,2008
