Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
25,48.128,,+0:00,20.0,Boom Lars,1,Rabobank Cycling Team,3:07 3:07,0,2011
29,47.12,,+0:00,12.0,Cancellara Fabian,2,Leopard Trek,0:04 0:04,0,2011
26,46.875,,+0:00,7.0,Veelers Tom,3,Skil - Shimano,0:05 0:05,0,2011
33,46.875,,+0:00,5.0,Flecha Juan Antonio,4,Sky Procycling,",, 0:05",0,2011
22,46.632,,+0:00,4.0,Dowsett Alex,5,Sky Procycling,0:06 0:06,0,2011
30,46.632,,+0:00,3.0,Steegmans Gert,6,Quickstep Cycling Team,",, 0:06",0,2011
30,46.632,,+0:00,2.0,Boonen Tom,7,Quickstep Cycling Team,",, 0:06",0,2011
28,46.153999999999996,,+0:00,1.0,Wynants Maarten,8,Rabobank Cycling Team,0:08 0:08,0,2011
29,46.153999999999996,,+0:00,,Vaitkus Tomas,9,Pro Team Astana,",, 0:08",0,2011
25,45.918,,+0:00,,Brammeier Matthew,10,HTC - High Road,0:09 0:09,0,2011
25,45.918,,+0:00,,Kluge Roger,11,Skil - Shimano,",, 0:09",0,2011
28,45.918,,+0:00,,Renshaw Mark,12,HTC - High Road,",, 0:09",0,2011
21,45.685,,+0:00,,Bobridge Jack,13,Team Garmin - Cerv\xe9lo,0:10 0:10,0,2011
24,45.685,,+0:00,,Maes Nikolas,14,Quickstep Cycling Team,",, 0:10",0,2011
25,45.685,,+0:00,,Stamsnijder Tom,15,Leopard Trek,",, 0:10",0,2011
29,45.455,,+0:00,,Posthuma Joost,16,Leopard Trek,0:11 0:11,0,2011
31,45.455,,+0:00,,Quinziato Manuel,17,BMC Racing Team,",, 0:11",0,2011
23,45.455,,+0:00,,Kangert Tanel,18,Pro Team Astana,",, 0:11",0,2011
25,45.226000000000006,,+0:00,,Bagdonas Gediminas,19,,0:12 0:12,0,2011
21,45.226000000000006,,+0:00,,Wallays Jelle,20,Topsport Vlaanderen - Mercator,",, 0:12",0,2011
25,45.226000000000006,,+0:00,,Bole Grega,21,Lampre - ISD,",, 0:12",0,2011
32,45.226000000000006,,+0:00,,Downing Russell,22,Sky Procycling,",, 0:12",0,2011
35,45.226000000000006,,+0:00,,Klier Andreas,23,Team Garmin - Cerv\xe9lo,",, 0:12",0,2011
33,45.226000000000006,,+0:00,,Tjallingii Maarten,24,Rabobank Cycling Team,",, 0:12",0,2011
26,45.0,,+0:00,,Murphy John,25,BMC Racing Team,0:13 0:13,0,2011
27,45.0,,+0:00,,Bos Theo,26,Rabobank Cycling Team,",, 0:13",0,2011
30,45.0,,+0:00,,Bennati Daniele,27,Leopard Trek,",, 0:13",0,2011
30,45.0,,+0:00,,Lloyd Daniel,28,Team Garmin - Cerv\xe9lo,",, 0:13",0,2011
30,45.0,,+0:00,,Wiggins Bradley,29,Sky Procycling,",, 0:13",0,2011
30,44.776,,+0:00,,Geslin Anthony,30,FDJ,0:14 0:14,0,2011
22,44.776,,+0:00,,Ghyselinck Jan,31,HTC - High Road,",, 0:14",0,2011
29,44.776,,+0:00,,Eisel Bernhard,32,HTC - High Road,",, 0:14",0,2011
28,44.776,,+0:00,,Bonnet William,33,FDJ,",, 0:14",0,2011
25,44.776,,+0:00,,Timmer Albert,34,Skil - Shimano,",, 0:14",0,2011
23,44.776,,+0:00,,Gretsch Patrick,35,HTC - High Road,",, 0:14",0,2011
23,44.776,,+0:00,,van Winden Dennis,36,Rabobank Cycling Team,",, 0:14",0,2011
26,44.776,,+0:00,,Haussler Heinrich,37,Team Garmin - Cerv\xe9lo,",, 0:14",0,2011
24,44.776,,+0:00,,Geschke Simon,38,Skil - Shimano,",, 0:14",0,2011
36,44.553999999999995,,+0:00,,Hunt Jeremy,39,Sky Procycling,0:15 0:15,0,2011
26,44.553999999999995,,+0:00,,Vandenbergh Stijn,40,Team Katusha,",, 0:15",0,2011
23,44.553999999999995,,+0:00,,Stannard Ian,41,Sky Procycling,",, 0:15",0,2011
26,44.553999999999995,,+0:00,,Ladagnous Matthieu,42,FDJ,",, 0:15",0,2011
25,44.553999999999995,,+0:00,,Van Avermaet Greg,43,BMC Racing Team,",, 0:15",0,2011
30,44.553999999999995,,+0:00,,Vansummeren Johan,44,Team Garmin - Cerv\xe9lo,",, 0:15",0,2011
22,44.553999999999995,,+0:00,,Serry Pieter,45,Topsport Vlaanderen - Mercator,",, 0:15",0,2011
28,44.553999999999995,,+0:00,,Visconti Giovanni,46,Farnese Vini-Neri-Sottoli,",, 0:15",0,2011
28,44.553999999999995,,+0:00,,Rollin Dominique,47,FDJ,",, 0:15",0,2011
30,44.553999999999995,,+0:00,,Sinkewitz Patrik,48,Farnese Vini-Neri-Sottoli,",, 0:15",0,2011
