Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,,6,1.0,+0:00,30.0,Terpstra Niki,1,Omega Pharma - Quick-Step,3:13:42 3:13:42,20.0,1,2014
28,,26,2.0,+0:09,18.0,Roelandts Jurgen,2,Lotto Belisol,0:01 0:01,14.0,1,2014
27,,36,3.0,+0:12,12.0,Schar Michael,3,BMC Racing Team,",, 0:01",8.0,1,2014
35,,103,4.0,+0:17,7.0,Elmiger Martin,4,IAM Cycling,",, 0:01",7.0,1,2014
22,,7,7.0,+0:23,4.0,van Keirsbulck Guillaume,5,Omega Pharma - Quick-Step,0:07 0:07,6.0,1,2014
33,,1,8.0,+0:23,3.0,Boonen Tom,6,Omega Pharma - Quick-Step,",, 0:07",5.0,1,2014
22,,45,9.0,+0:23,2.0,Markus Barry,7,Belkin-Pro Cycling Team,",, 0:07",4.0,1,2014
22,,51,10.0,+0:23,1.0,D\xe9mare Arnaud,8,FDJ.fr,",, 0:07",2.0,1,2014
25,,151,11.0,+0:23,,van Staeyen Michael,9,Topsport Vlaanderen - Baloise,",, 0:07",,1,2014
31,,27,12.0,+0:23,,Sieberg Marcel,10,Lotto Belisol,",, 0:07",,1,2014
28,,128,13.0,+0:23,,M\xf8rk\xf8v Michael,11,Tinkoff - Saxo,",, 0:07",,1,2014
27,,115,14.0,+0:23,,Kruopis Aidis,12,Orica GreenEDGE,",, 0:07",,1,2014
29,,68,15.0,+0:23,,Sutton Chris,13,Team Sky,",, 0:07",,1,2014
23,,131,6.0,+0:22,,Bennett Sam,14,Team NetApp \u2013 Endura,",, 0:07",,1,2014
31,,78,16.0,+0:23,,Westra Lieuwe,15,Astana Pro Team,",, 0:07",,1,2014
28,,37,17.0,+0:23,,Van Avermaet Greg,16,BMC Racing Team,",, 0:07",,1,2014
27,,58,18.0,+0:23,,Offredo Yoann,17,FDJ.fr,",, 0:07",,1,2014
28,,182,19.0,+0:23,,Chtioui Rafa\xe2,18,Skydive Dubai Pro Cycling Team,",, 0:07",,1,2014
29,,162,20.0,+0:23,,Bazzana Alessandro,19,UnitedHealthcare Pro Cycling Team,",, 0:07",,1,2014
24,,86,21.0,+0:23,,Selig R\xfcdiger,20,Team Katusha,",, 0:07",,1,2014
27,,152,22.0,+0:23,,Jacobs Pieter,21,Topsport Vlaanderen - Baloise,",, 0:07",,1,2014
33,,5,23.0,+0:23,,Steegmans Gert,22,Omega Pharma - Quick-Step,",, 0:07",,1,2014
31,,21,24.0,+0:23,,Greipel Andr\xe9,23,Lotto Belisol,",, 0:07",,1,2014
23,,2,25.0,+0:23,,Fenn Andrew,24,Omega Pharma - Quick-Step,",, 0:07",,1,2014
33,,117,26.0,+0:23,,Mouris Jens,25,Orica GreenEDGE,",, 0:07",,1,2014
28,,41,27.0,+0:23,,Boom Lars,26,Belkin-Pro Cycling Team,",, 0:07",,1,2014
29,,97,28.0,+0:23,,Marangoni Alan,27,Cannondale,",, 0:07",,1,2014
35,,112,29.0,+0:23,,Hayman Mathew,28,Orica GreenEDGE,",, 0:07",,1,2014
31,,3,30.0,+0:23,,Keisse Iljo,29,Omega Pharma - Quick-Step,",, 0:07",,1,2014
25,,153,31.0,+0:23,,Salomein Jarl,30,Topsport Vlaanderen - Baloise,",, 0:07",,1,2014
24,,158,32.0,+0:23,,Wallays Jelle,31,Topsport Vlaanderen - Baloise,",, 0:07",,1,2014
27,,4,33.0,+0:23,,Maes Nikolas,32,Omega Pharma - Quick-Step,",, 0:07",,1,2014
30,,32,34.0,+0:23,,Burghardt Marcus,33,BMC Racing Team,",, 0:07",,1,2014
29,,8,35.0,+0:23,,Vandenbergh Stijn,34,Omega Pharma - Quick-Step,",, 0:07",,1,2014
28,,53,36.0,+0:23,,Delage Micka\xebl,35,FDJ.fr,",, 0:07",,1,2014
29,,55,37.0,+0:23,,Ladagnous Matthieu,36,FDJ.fr,",, 0:07",,1,2014
28,,142,38.0,+0:23,,Bagdonas Gediminas,37,AG2R La Mondiale,",, 0:07",,1,2014
26,,67,39.0,+0:23,,Stannard Ian,38,Team Sky,",, 0:07",,1,2014
22,,157,40.0,+0:23,,Waeytens Zico,39,Topsport Vlaanderen - Baloise,",, 0:07",,1,2014
31,,31,41.0,+0:23,,Gilbert Philippe,40,BMC Racing Team,",, 0:07",,1,2014
28,,34,42.0,+0:23,,Kohler Martin,41,BMC Racing Team,",, 0:07",,1,2014
24,,71,43.0,+0:23,,Guardini Andrea,42,Astana Pro Team,",, 0:07",,1,2014
32,,11,44.0,+0:23,,Cancellara Fabian,43,Trek Factory Racing,",, 0:07",,1,2014
23,,56,45.0,+0:23,,Le Bon Johan,44,FDJ.fr,",, 0:07",,1,2014
29,,141,46.0,+0:23,,Turgot S\xe9bastien,45,AG2R La Mondiale,",, 0:07",,1,2014
34,,13,47.0,+0:23,,Irizar Markel,46,Trek Factory Racing,",, 0:07",,1,2014
26,,132,48.0,+0:23,,Dempster Zakkari,47,Team NetApp \u2013 Endura,",, 0:07",,1,2014
27,,104,59.0,+1:00,,Goddaert Kristof,48,IAM Cycling,0:44 0:44,,1,2014
31,,147,60.0,+1:00,,Mondory Lloyd,49,AG2R La Mondiale,",, 0:44",,1,2014
29,,167,61.0,+1:03,,Murphy John,50,UnitedHealthcare Pro Cycling Team,0:47 0:47,,1,2014
26,,74,49.0,+0:23,,Guarnieri Jacopo,51,Astana Pro Team,0:07 0:07,,1,2014
34,,22,50.0,+0:23,,Bak Lars Ytting,52,Lotto Belisol,",, 0:07",,1,2014
23,,33,51.0,+0:23,,Dillier Silvan,53,BMC Racing Team,",, 0:07",,1,2014
37,,65,52.0,+0:23,,Rasch Gabriel,54,Team Sky,",, 0:07",,1,2014
28,,38,62.0,+1:25,,Wyss Danilo,55,BMC Racing Team,1:09 1:09,,1,2014
25,,25,63.0,+1:25,,Ligthart Pim,56,Lotto Belisol,",, 1:09",,1,2014
25,,133,64.0,+1:25,,Jarc Bla\u017e,57,Team NetApp \u2013 Endura,",, 1:09",,1,2014
38,,126,53.0,+0:23,,Kroon Karsten,58,Tinkoff - Saxo,0:07 0:07,,1,2014
29,,123,54.0,+0:23,,Breschel Matti,59,Tinkoff - Saxo,",, 0:07",,1,2014
25,,24,55.0,+0:23,,Dockx Gert,60,Lotto Belisol,",, 0:07",,1,2014
25,,127,65.0,+1:25,,Kump Marko,61,Tinkoff - Saxo,1:09 1:09,,1,2014
29,,93,56.0,+0:23,,Gatto Oscar,62,Cannondale,0:07 0:07,,1,2014
34,,14,66.0,+1:53,,Popovych Yaroslav,63,Trek Factory Racing,1:37 1:37,,1,2014
28,,47,67.0,+1:53,,van Emden Jos,64,Belkin-Pro Cycling Team,",, 1:37",,1,2014
30,,48,68.0,+1:53,,Wagner Robert,65,Belkin-Pro Cycling Team,",, 1:37",,1,2014
34,,63,69.0,+2:03,,Pate Danny,66,Team Sky,1:47 1:47,,1,2014
34,,116,57.0,+0:23,,Lancaster Brett,67,Orica GreenEDGE,0:07 0:07,,1,2014
23,,66,70.0,+2:03,,Rowe Luke,68,Team Sky,1:47 1:47,,1,2014
24,,113,71.0,+2:03,,Howard Leigh,69,Orica GreenEDGE,",, 1:47",,1,2014
23,,137,72.0,+2:03,,Thwaites Scott,70,Team NetApp \u2013 Endura,",, 1:47",,1,2014
23,,136,73.0,+2:21,,Schwarzmann Michael,71,Team NetApp \u2013 Endura,2:05 2:05,,1,2014
32,,57,74.0,+2:31,,Mangel Laurent,72,FDJ.fr,2:15 2:15,,1,2014
26,,156,75.0,+2:31,,Vanspeybrouck Pieter,73,Topsport Vlaanderen - Baloise,",, 2:15",,1,2014
34,,77,76.0,+2:38,,Muravyev Dmitriy,74,Astana Pro Team,2:22 2:22,,1,2014
25,,114,77.0,+2:40,,Keukeleire Jens,75,Orica GreenEDGE,2:24 2:24,,1,2014
26,,23,58.0,+0:23,,Boeckmans Kris,76,Lotto Belisol,0:07 0:07,,1,2014
29,,101,78.0,+4:22,,Haussler Heinrich,77,IAM Cycling,4:06 4:06,,1,2014
26,,81,5.0,+0:21,,Kristoff Alexander,78,Team Katusha,0:07 0:07,,1,2014
22,,82,79.0,+4:27,,Haller Marco,79,Team Katusha,4:11 4:11,,1,2014
36,,46,80.0,+4:56,,Tjallingii Maarten,80,Belkin-Pro Cycling Team,4:40 4:40,,1,2014
34,,44,81.0,+4:56,,Brown Graeme,81,Belkin-Pro Cycling Team,",, 4:40",,1,2014
22,,98,82.0,+10:35,,Villella Davide,82,Cannondale,10:19 10:19,,1,2014
24,,88,83.0,+10:35,,Tsatevich Alexey,83,Team Katusha,",, 10:19",,1,2014
33,,52,84.0,+10:35,,Boucher David,84,FDJ.fr,",, 10:19",,1,2014
31,,155,85.0,+10:35,,Van Hecke Preben,85,Topsport Vlaanderen - Baloise,",, 10:19",,1,2014
26,,122,86.0,+10:35,,Boaro Manuele,86,Tinkoff - Saxo,",, 10:19",,1,2014
22,,94,87.0,+10:35,,Koch Michel,87,Cannondale,",, 10:19",,1,2014
32,,62,88.0,+10:35,,Knees Christian,88,Team Sky,",, 10:19",,1,2014
25,,17,89.0,+10:35,,Sergent Jesse,89,Trek Factory Racing,",, 10:19",,1,2014
34,,84,90.0,+10:35,,Kuchynski Aliaksandr,90,Team Katusha,",, 10:19",,1,2014
34,,12,91.0,+10:35,,Devolder Stijn,91,Trek Factory Racing,",, 10:19",,1,2014
26,,175,92.0,+10:35,,Colonna Paolo,92,Bardiani - CSF Pro Team,",, 10:19",,1,2014
29,,72,93.0,+10:35,,Agnoli Valerio,93,Astana Pro Team,",, 10:19",,1,2014
34,,165,94.0,+10:35,,Jones Chris,94,UnitedHealthcare Pro Cycling Team,",, 10:19",,1,2014
36,,118,95.0,+10:35,,Tuft Svein,95,Orica GreenEDGE,",, 10:19",,1,2014
34,,54,96.0,+10:35,,Fischer Murilo Antonio,96,FDJ.fr,",, 10:19",,1,2014
27,,95,97.0,+10:35,,Koren Kristijan,97,Cannondale,",, 10:19",,1,2014
25,,91,98.0,+10:35,,Viviani Elia,98,Cannondale,",, 10:19",,1,2014
33,,73,99.0,+10:35,,Bozic Borut,99,Astana Pro Team,",, 10:19",,1,2014
36,,161,100.0,+10:35,,F\xf6rster Robert,100,UnitedHealthcare Pro Cycling Team,",, 10:19",,1,2014
27,,168,101.0,+10:35,,Reijnen Kiel,101,UnitedHealthcare Pro Cycling Team,",, 10:19",,1,2014
33,,16,102.0,+10:35,,Roulston Hayden,102,Trek Factory Racing,",, 10:19",,1,2014
24,,85,103.0,+10:35,,Kuznetsov Viacheslav,103,Team Katusha,",, 10:19",,1,2014
32,,61,104.0,+10:35,,Eisel Bernhard,104,Team Sky,",, 10:19",,1,2014
27,,83,105.0,+10:35,,Isaychev Vladimir,105,Team Katusha,",, 10:19",,1,2014
24,,64,106.0,+10:35,,Puccio Salvatore,106,Team Sky,",, 10:19",,1,2014
26,,87,107.0,+10:35,,Smukulis Gatis,107,Team Katusha,",, 10:19",,1,2014
31,,163,108.0,+10:35,,Hanson Ken,108,UnitedHealthcare Pro Cycling Team,",, 10:19",,1,2014
22,,35,109.0,+10:35,,Lander Sebastian,109,BMC Racing Team,",, 10:19",,1,2014
23,,188,110.0,+10:35,,Haddi Soufiane,110,Skydive Dubai Pro Cycling Team,",, 10:19",,1,2014
31,,184,111.0,+10:35,,Jelloul Adil,111,Skydive Dubai Pro Cycling Team,",, 10:19",,1,2014
23,,146,112.0,+10:35,,Houle Hugo,112,AG2R La Mondiale,",, 10:19",,1,2014
24,,42,113.0,+10:35,,Bol Jetse,113,Belkin-Pro Cycling Team,",, 10:19",,1,2014
30,,43,114.0,+10:35,,Bos Theo,114,Belkin-Pro Cycling Team,",, 10:19",,1,2014
25,,108,115.0,+10:35,,Pelucchi Matteo,115,IAM Cycling,",, 10:19",,1,2014
24,,172,116.0,+10:35,,Boem Nicola,116,Bardiani - CSF Pro Team,",, 10:19",,1,2014
25,,176,117.0,+10:35,,Fortin Filippo,117,Bardiani - CSF Pro Team,",, 10:19",,1,2014
27,,144,118.0,+10:35,,Gaudin Damien,118,AG2R La Mondiale,",, 10:19",,1,2014
24,,171,119.0,+10:35,,Battaglin Enrico,119,Bardiani - CSF Pro Team,",, 10:19",,1,2014
27,,28,120.0,+10:35,,van Genechten Jonas,120,Lotto Belisol,",, 10:19",,1,2014
25,,174,121.0,+10:35,,Coledan Marco,121,Bardiani - CSF Pro Team,",, 10:19",,1,2014
27,,138,122.0,+10:35,,Voss Paul,122,Team NetApp \u2013 Endura,",, 10:19",,1,2014
30,,134,123.0,+10:35,,Schillinger Andreas,123,Team NetApp \u2013 Endura,",, 10:19",,1,2014
33,,96,124.0,+10:35,,Longo Borghini Paolo,124,Cannondale,",, 10:19",,1,2014
25,,173,125.0,+10:35,,Canola Marco,125,Bardiani - CSF Pro Team,",, 10:19",,1,2014
33,,121,126.0,+10:35,,Bennati Daniele,126,Tinkoff - Saxo,",, 10:19",,1,2014
27,,186,127.0,+10:35,,Pliuschin Alexandr,127,Skydive Dubai Pro Cycling Team,",, 10:19",,1,2014
27,,92,128.0,+10:35,,De Marchi Alessandro,128,Cannondale,",, 10:19",,1,2014
30,,181,129.0,+10:35,,Haedo Lucas Sebastian,129,Skydive Dubai Pro Cycling Team,",, 10:19",,1,2014
21,,18,130.0,+10:35,,Stuyven Jasper,130,Trek Factory Racing,",, 10:19",,1,2014
34,,15,131.0,+10:35,,Rast Gregory,131,Trek Factory Racing,",, 10:19",,1,2014
24,,154,132.0,+10:35,,Sprengers Thomas,132,Topsport Vlaanderen - Baloise,",, 10:19",,1,2014
30,,166,133.0,+10:35,,Maaskant Martijn,133,UnitedHealthcare Pro Cycling Team,",, 10:19",,1,2014
23,,178,134.0,+10:35,,Ruffoni Nicola,134,Bardiani - CSF Pro Team,",, 10:19",,1,2014
37,,185,135.0,+17:10,,Mancebo Francisco,135,Skydive Dubai Pro Cycling Team,16:54 16:54,,1,2014
24,,75,136.0,+17:10,,Huffman Evan,136,Astana Pro Team,",, 16:54",,1,2014
23,,102,137.0,+17:10,,Aregger Marcel,137,IAM Cycling,",, 16:54",,1,2014
29,,106,138.0,+17:10,,Ista Kevyn,138,IAM Cycling,",, 16:54",,1,2014
24,,124,139.0,+17:10,,Juul-Jensen Christopher,139,Tinkoff - Saxo,",, 16:54",,1,2014
25,,135,140.0,+17:10,,Schorn Daniel,140,Team NetApp \u2013 Endura,",, 16:54",,1,2014
22,,111,141.0,+17:10,,Hepburn Michael,141,Orica GreenEDGE,",, 16:54",,1,2014
27,,107,142.0,+17:10,,Klemme Dominic,142,IAM Cycling,",, 16:54",,1,2014
29,,164,143.0,+17:10,,Ile\u0161i\u010d Aldo Ino,143,UnitedHealthcare Pro Cycling Team,",, 16:54",,1,2014
39,,105,144.0,+17:10,,Hinault S\xe9bastien,144,IAM Cycling,",, 16:54",,1,2014
24,,183,145.0,+17:10,,Hasnaoui Maher,145,Skydive Dubai Pro Cycling Team,",, 16:54",,1,2014
26,,143,146.0,+17:10,,Gastauer Ben,146,AG2R La Mondiale,",, 16:54",,1,2014
26,,145,147.0,+17:10,,Gretsch Patrick,147,AG2R La Mondiale,",, 16:54",,1,2014
29,,76,148.0,+17:10,,Iglinskiy Valentin,148,Astana Pro Team,",, 16:54",,1,2014
