stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Prologue - Liege › Liege,CANCELLARA Fabian,Cancellara Fabian,2004,1,0,0,0
0.0,Stage 1 - Liege › Charleroi,KIRSIPUU Jaan,Cancellara Fabian,2004,0,0,0,1
0.0,Stage 2 - Charleroi › Namur,MCEWEN Robbie,Hushovd Thor,2004,0,0,0,1
0.0,Stage 3 - Waterloo › Wasquehal,NAZON Jean-Patrick,McEwen Robbie,2004,0,0,0,1
0.0,Team Time Trial - Cambrai › Arras,US Postal Service,,2004,0,1,0,0
0.0,Stage 5 - Amiens › Chartres,O'GRADY Stuart,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 6 - Bonneval › Angers,BOONEN Tom,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 7 - Châteaubriant › Saint-Brieuc,POZZATO Filippo,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 8 - Lamballe › Quimper,HUSHOVD Thor,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 9 - Saint-Léonard-de-Noblat  › Guéret,MCEWEN Robbie,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 10 - Limoges › Saint-Flour,VIRENQUE Richard,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 11 - Saint-Flour › Figeac,MONCOUTIÉ David,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 12 - Castelsarrasin › La Mongie,BASSO Ivan,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 13 - Lannemezan › Plateau de Beille,,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 14 - Carcassonne › Nîmes,GONZALEZ JIMENEZ Aitor,Voeckler Thomas,2004,0,0,0,1
0.0,Stage 15 - Valréas › Villard de Lans,,,2004,0,0,0,1
0.0,Stage 16 (ITT) - Bourg d'Oisans › L'Alpe d'Huez,,,2004,1,0,0,0
4.0,Stage 17 - Bourg d'Oisans › Le Grand Bornand,,,2004,0,0,1,0
2.0,Stage 18 - Annemasse › Lons le Saunier,MERCADO Juan Miguel,Mercado Juan Miguel,2004,0,0,0,1
0.0,Stage 19 (ITT) - Besançon › Besançon,,,2004,1,0,0,0
0.0,Stage 20 - Montereau › Paris,BOONEN Tom,Boonen Tom,2004,0,0,0,1
