Rider,year,stage_scores
Abakoumov Igor,2007,0.0
Acevedo Janier Alexis,2014,47.0
Ackermann Pierre,1999,0.0
Ackermann Pierre,2000,0.0
Ackermann Silvere,2009,0.0
Adamsson Stefan,2003,0.0
Aebersold Niki,1998,125.0
Aebersold Niki,1999,18.0
Aebersold Niki,2000,22.0
Aebersold Niki,2001,12.0
Aebersold Niki,2002,0.0
Aebersold Niki,2003,20.0
Aebersold Niki,2004,35.0
Aebersold Niki,2005,9.0
Aerts Mario,2000,16.0
Aerts Mario,2006,0.0
Aggiano Elio,2002,11.0
Agnoli Valerio,2010,0.0
Agnoli Valerio,2014,0.0
Agnoli Valerio,2015,0.0
Agnoli Valerio,2017,0.0
Agnolutto Christophe,1998,41.0
Agnolutto Christophe,2002,33.0
Agnolutto Christophe,2003,8.0
Agostini Stefano,2012,0.0
Agostini Stefano,2013,8.0
Ahlstrand Jonas,2013,0.0
Alarc\xf3n Ra\xfal,2008,0.0
Albasini Michael,2005,35.0
Albasini Michael,2006,25.0
Albasini Michael,2007,0.0
Albasini Michael,2008,71.0
Albasini Michael,2009,49.0
Albasini Michael,2010,0.0
Albasini Michael,2011,0.0
Albasini Michael,2012,105.0
Albasini Michael,2013,24.0
Albasini Michael,2014,30.0
Albasini Michael,2015,44.0
Albasini Michael,2016,30.0
Albasini Michael,2017,76.0
Albasini Michael,2018,42.0
Albizu lizaso Joseba,2005,7.0
Albizuri Benat,2007,0.0
Aldag Rolf,1998,13.0
Aldag Rolf,2000,26.0
Aldag Rolf,2001,0.0
Aldag Rolf,2002,26.0
Aldag Rolf,2005,0.0
Amador Andrey,2009,7.0
Amador Andrey,2013,29.0
Amador Andrey,2018,0.0
Amorim Gon\xe7alo,2004,0.0
Anacona Winner,2015,36.0
Anacona Winner,2016,15.0
Andersen S\xf8ren Kragh,2018,72.0
Anderson Ryan,2012,0.0
Anderson Ryan,2017,0.0
Anton Igor,2008,83.0
Anton Igor,2012,0.0
Anton Igor,2013,37.0
Anton Igor,2015,0.0
Anton Igor,2018,19.0
Antonini Simone,2015,0.0
Appollonio Davide,2014,33.0
Aramendia Javier,2009,0.0
Aramendia Javier,2010,6.0
