Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,,+0:00,,,,1,US Postal Service,24:57 24:57,,0,1999
,,,+0:00,,,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,,0,1999
,,,+0:00,,,,3,Credit agricole,0:19 0:19,,0,1999
,,,+0:00,,1.0,,1,US Postal Service,15:13:51 15:13:51,-,1,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,-,1,1999
,,,+0:00,,3.0,,3,Credit agricole,0:19 0:19,-,1,1999
28.0,105.0,,,8.0,1.0,Piccoli Mariano,1,Lampre - Daikin - Colnago,,-,2,1999
28.0,124.0,,,5.0,,Cerezo Francisco,2,Vitalicio Seguros - Grupo Generali,,-,2,1999
31.0,142.0,,,5.0,2.0,Brochard Laurent,3,Festina - Lotus,,\u25bc1,2,1999
33.0,18.0,,,4.0,3.0,Konishev Dimitri,4,Mercatone Uno - Bianchi,,\u25bc1,2,1999
30.0,131.0,,,3.0,,Simon Fran\xe7ois,5,Credit agricole,,-,2,1999
26.0,37.0,,,1.0,,Merckx Axel,6,Mapei - Quickstep,,-,2,1999
30.0,13.0,,,1.0,4.0,Barbero Sergio,7,Mercatone Uno - Bianchi,,\u25bc3,2,1999
,,,+ - 13:18:59,,,,1,US Postal Service,39:58:48 39:58:48,,3,1999
,,,+ - 13:18:59,,,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,,3,1999
,,,+ - 13:18:59,,,,3,Credit agricole,0:19 0:19,,3,1999
,,,+ - 17:10:40,,1.0,,1,US Postal Service,51:34:03 51:34:03,-,4,1999
,,,+ - 17:10:40,,2.0,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,-,4,1999
,,,+ - 17:10:40,,3.0,,3,Credit agricole,0:19 0:19,-,4,1999
,,,+ - 22:47:00,,1.0,,1,US Postal Service,68:23:27 68:23:27,-,5,1999
,,,+ - 22:47:00,,2.0,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,-,5,1999
,,,+ - 22:47:00,,3.0,,3,Credit agricole,0:19 0:19,-,5,1999
,,,+ - 26:57:55,,1.0,,1,US Postal Service,80:56:54 80:56:54,-,6,1999
,,,+ - 26:57:55,,2.0,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,-,6,1999
,,,+ - 26:57:55,,3.0,,3,Credit agricole,0:19 0:19,-,6,1999
,,,+0:00,,1.0,,1,US Postal Service,97:17:51 97:17:51,-,7,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,0:04 0:04,-,7,1999
,,,+0:00,,3.0,,3,Credit agricole,0:19 0:19,-,7,1999
,,,+0:00,,1.0,,1,US Postal Service,100:52:29 100:52:29,-,8,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,1:51 1:51,-,8,1999
,,,+0:00,,3.0,,3,Credit agricole,2:28 2:28,-,8,1999
,,,+0:00,,1.0,,1,US Postal Service,118:59:48 118:59:48,-,9,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,6:10 6:10,-,9,1999
,,,+0:00,,,,3,Festina - Lotus,8:24 8:24,-,9,1999
,,,+0:00,,2.0,,1,O.N.C.E. - Deutsche Bank,139:27:32 139:27:32,\u25b21,10,1999
,,,+0:00,,,,2,Mapei - Quickstep,1:01 1:01,-,10,1999
,,,+0:00,,1.0,,3,US Postal Service,5:14 5:14,\u25bc2,10,1999
,,,+0:00,,,,1,Festina - Lotus,154:01:46 154:01:46,-,11,1999
,,,+0:00,,,,2,Lotto - Mobistar,12:42 12:42,-,11,1999
,,,+0:00,,1.0,,3,O.N.C.E. - Deutsche Bank,15:01 15:01,\u25bc2,11,1999
,,,+0:00,,1.0,,1,Festina - Lotus,169:10:20 169:10:20,-,12,1999
,,,+0:00,,3.0,,2,O.N.C.E. - Deutsche Bank,13:11 13:11,\u25b21,12,1999
,,,+0:00,,,,3,Kelme - Costa Blanca,19:41 19:41,-,12,1999
,,,+0:00,,2.0,,1,O.N.C.E. - Deutsche Bank,187:48:46 187:48:46,\u25b21,13,1999
,,,+0:00,,,,2,Banesto,0:52 0:52,-,13,1999
,,,+0:00,,3.0,,3,Kelme - Costa Blanca,6:25 6:25,-,13,1999
,,,+0:00,,,,1,Festina - Lotus,202:17:45 202:17:45,-,14,1999
,,,+0:00,,1.0,,2,O.N.C.E. - Deutsche Bank,5:19 5:19,\u25bc1,14,1999
,,,+0:00,,,,3,Mapei - Quickstep,",, 5:19",-,14,1999
,,,+0:00,,,,1,Banesto,218:37:07 218:37:07,-,15,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,6:27 6:27,-,15,1999
,,,+0:00,,1.0,,3,Festina - Lotus,11:04 11:04,\u25bc2,15,1999
,,,+0:00,,1.0,,1,Banesto,234:31:02 234:31:02,-,16,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,6:11 6:11,-,16,1999
,,,+0:00,,3.0,,3,Festina - Lotus,13:17 13:17,-,16,1999
,,,+0:00,,1.0,,1,Banesto,247:38:53 247:38:53,-,17,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,6:11 6:11,-,17,1999
,,,+0:00,,3.0,,3,Festina - Lotus,13:01 13:01,-,17,1999
,,,+0:00,,1.0,,1,Banesto,260:35:27 260:35:27,-,18,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,12:07 12:07,-,18,1999
,,,+0:00,,3.0,,3,Festina - Lotus,18:57 18:57,-,18,1999
,,,+0:00,,1.0,,1,Banesto,264:12:24 264:12:24,-,19,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,8:16 8:16,-,19,1999
,,,+0:00,,3.0,,3,Festina - Lotus,16:13 16:13,-,19,1999
,,,+0:00,,1.0,,1,Banesto,275:05:21 275:05:21,-,20,1999
,,,+0:00,,2.0,,2,O.N.C.E. - Deutsche Bank,8:16 8:16,-,20,1999
,,,+0:00,,3.0,,3,Festina - Lotus,16:13 16:13,-,20,1999
,,,+0:00,,,,4,Kelme - Costa Blanca,23:48 23:48,-,20,1999
,,,+0:00,,,,5,Mapei - Quickstep,24:13 24:13,-,20,1999
,,,+0:00,,,,6,Team Telekom,41:00 41:00,-,20,1999
