BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -19:03,,1,US Postal Service,58:05 58:05,,1,2000
,,+ -19:03,,2,O.N.C.E. - Deutsche Bank,0:12 0:12,,1,2000
,,+ -19:03,,3,Festina - Lotus,1:22 1:22,,1,2000
,,+ -5:05:09,1.0,1,US Postal Service,15:16:29 15:16:29,-,2,2000
,,+ -5:05:09,2.0,2,O.N.C.E. - Deutsche Bank,0:12 0:12,-,2,2000
,,+ -5:05:09,3.0,3,Festina - Lotus,1:22 1:22,-,2,2000
,,+ -8:43:09,1.0,1,US Postal Service,26:10:29 26:10:29,-,3,2000
,,+ -8:43:09,2.0,2,O.N.C.E. - Deutsche Bank,0:03 0:03,-,3,2000
,,+ -8:43:09,3.0,3,Festina - Lotus,1:04 1:04,-,3,2000
,,+ - 10:09:10,2.0,1,O.N.C.E. - Deutsche Bank,30:28:17 30:28:17,\u25b21,4,2000
,,+ - 10:09:10,1.0,2,US Postal Service,1:15 1:15,\u25bc1,4,2000
,,+ - 10:09:10,,3,Team Telekom,4:33 4:33,-,4,2000
,,+ - 14:28:25,1.0,1,O.N.C.E. - Deutsche Bank,43:25:50 43:25:50,-,5,2000
,,+ - 14:28:25,2.0,2,US Postal Service,1:05 1:05,-,5,2000
,,+ - 14:28:25,3.0,3,Team Telekom,4:15 4:15,-,5,2000
,,+ - 18:58:40,,1,Rabobank ProTeam,56:57:55 56:57:55,-,6,2000
,,+ - 18:58:40,3.0,2,Team Telekom,12:06 12:06,\u25b21,6,2000
,,+ - 18:58:40,,3,Cr\xe9dit Agricole,13:08 13:08,-,6,2000
,,+ - 24:11:32,1.0,1,Rabobank ProTeam,72:36:31 72:36:31,-,7,2000
,,+ - 24:11:32,2.0,2,Team Telekom,12:06 12:06,-,7,2000
,,+ - 24:11:32,3.0,3,Cr\xe9dit Agricole,13:08 13:08,-,7,2000
,,+ - 28:39:28,1.0,1,Rabobank ProTeam,85:50:58 85:50:58,-,8,2000
,,+ - 28:39:28,2.0,2,Team Telekom,17:48 17:48,-,8,2000
,,+ - 28:39:28,3.0,3,Cr\xe9dit Agricole,18:50 18:50,-,8,2000
,,+ - 33:08:34,1.0,1,Rabobank ProTeam,99:18:16 99:18:16,-,9,2000
,,+ - 33:08:34,2.0,2,Team Telekom,17:48 17:48,-,9,2000
,,+ - 33:08:34,3.0,3,Cr\xe9dit Agricole,18:50 18:50,-,9,2000
,,+0:00,1.0,1,Rabobank ProTeam,118:15:20 118:15:20,-,10,2000
,,+0:00,,2,Banesto,6:49 6:49,-,10,2000
,,+0:00,,3,Festina - Lotus,11:17 11:17,-,10,2000
,,+0:00,1.0,1,Rabobank ProTeam,133:42:51 133:42:51,-,11,2000
,,+0:00,2.0,2,Banesto,11:40 11:40,-,11,2000
,,+0:00,3.0,3,Festina - Lotus,16:22 16:22,-,11,2000
,,+0:00,2.0,1,Banesto,146:48:11 146:48:11,\u25b21,12,2000
,,+0:00,1.0,2,Rabobank ProTeam,1:34 1:34,\u25bc1,12,2000
,,+0:00,,3,Kelme - Costa Blanca,2:52 2:52,-,12,2000
,,+0:00,1.0,1,Banesto,159:17:29 159:17:29,-,13,2000
,,+0:00,2.0,2,Rabobank ProTeam,5:34 5:34,-,13,2000
,,+0:00,3.0,3,Kelme - Costa Blanca,12:58 12:58,-,13,2000
,,+0:00,1.0,1,Banesto,183:18:09 183:18:09,-,14,2000
,,+0:00,3.0,2,Kelme - Costa Blanca,6:37 6:37,\u25b21,14,2000
,,+0:00,,3,Festina - Lotus,12:30 12:30,-,14,2000
,,+0:00,1.0,1,Banesto,200:10:00 200:10:00,-,15,2000
,,+0:00,2.0,2,Kelme - Costa Blanca,3:24 3:24,-,15,2000
,,+0:00,3.0,3,Festina - Lotus,16:01 16:01,-,15,2000
,,+0:00,2.0,1,Kelme - Costa Blanca,216:54:01 216:54:01,\u25b21,16,2000
,,+0:00,1.0,2,Banesto,15:06 15:06,\u25bc1,16,2000
,,+0:00,3.0,3,Festina - Lotus,16:40 16:40,-,16,2000
,,+0:00,1.0,1,Kelme - Costa Blanca,227:08:40 227:08:40,-,17,2000
,,+0:00,2.0,2,Banesto,15:06 15:06,-,17,2000
,,+0:00,3.0,3,Festina - Lotus,16:40 16:40,-,17,2000
,,+0:00,1.0,1,Kelme - Costa Blanca,246:20:25 246:20:25,-,18,2000
,,+0:00,2.0,2,Banesto,15:06 15:06,-,18,2000
,,+0:00,3.0,3,Festina - Lotus,16:40 16:40,-,18,2000
,,+0:00,1.0,1,Kelme - Costa Blanca,249:50:20 249:50:20,-,19,2000
,,+0:00,3.0,2,Festina - Lotus,13:42 13:42,\u25b21,19,2000
,,+0:00,2.0,3,Banesto,18:21 18:21,\u25bc1,19,2000
,,+0:00,1.0,1,Kelme - Costa Blanca,268:32:59 268:32:59,-,20,2000
,,+0:00,2.0,2,Festina - Lotus,13:42 13:42,-,20,2000
,,+0:00,3.0,3,Banesto,18:21 18:21,-,20,2000
,,+0:00,,1,Kelme - Costa Blanca,278:10:47 278:10:47,,21,2000
,,+0:00,,2,Festina - Lotus,13:42 13:42,,21,2000
,,+0:00,,3,Banesto,18:21 18:21,,21,2000
,,+0:00,,4,Team Telekom,40:08 40:08,,21,2000
,,+0:00,,5,Lotto - Adecco,1:11:50 1:11:50,,21,2000
,,+0:00,,6,Rabobank ProTeam,1:16:34 1:16:34,,21,2000
,,+0:00,,7,O.N.C.E. - Deutsche Bank,1:36:14 1:36:14,,21,2000
,,+0:00,,8,US Postal Service,1:46:04 1:46:04,,21,2000
,,+0:00,,9,Mapei - Quickstep,1:50:17 1:50:17,,21,2000
,,+0:00,,10,Cofidis,2:06:48 2:06:48,,21,2000
,,+0:00,,11,Mercatone Uno - Albacom,2:12:27 2:12:27,,21,2000
,,+0:00,,12,Polti,2:18:28 2:18:28,,21,2000
,,+0:00,,13,Saeco,3:03:13 3:03:13,,21,2000
,,+0:00,,14,Vini Caldirola - Sidermec,3:10:12 3:10:12,,21,2000
,,+0:00,,15,Bonjour,3:43:37 3:43:37,,21,2000
,,+0:00,,16,AG2R Prevoyance,4:55:08 4:55:08,,21,2000
,,+0:00,,17,Cr\xe9dit Agricole,5:19:29 5:19:29,,21,2000
,,+0:00,,18,MemoryCard - Jack & Jones,5:59:20 5:59:20,,21,2000
,,+0:00,,19,La Fran\xe7aise des Jeux,6:06:02 6:06:02,,21,2000
,,+0:00,,20,Farm Frites,6:45:01 6:45:01,,21,2000
