Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
31.0,101.0,1.0,+0:00,,Cavendish Mark,1,Team Dimension Data,4:13:55 4:13:55,+0:00,25.0,,1,2016
28.0,181.0,2.0,+0:04,,Kittel Marcel,2,Etixx - Quick Step,0:04 0:04,+0:04,,,1,2016
26.0,32.0,3.0,+0:06,,Sagan Peter,3,Tinkoff,0:06 0:06,+0:06,,,1,2016
33.0,161.0,4.0,+0:10,,Greipel Andr\xe9,4,Lotto Soudal,0:10 0:10,+0:10,,,1,2016
25.0,68.0,5.0,+0:10,,Theuns Edward,5,Trek - Segafredo,",, 0:10",+0:10,,,1,2016
23.0,196.0,6.0,+0:10,,Laporte Christophe,6,"Cofidis, Solutions Cr\xe9dits",",, 0:10",+0:10,,,1,2016
24.0,171.0,7.0,+0:10,,Coquard Bryan,7,Direct Energie,",, 0:10",+0:10,,,1,2016
28.0,144.0,8.0,+0:10,,Kristoff Alexander,8,Team Katusha,",, 0:10",+0:10,,,1,2016
24.0,216.0,9.0,+0:10,,McLay Daniel,9,Fortuneo - Vital Concept,",, 0:10",+0:10,,,1,2016
39.0,167.0,10.0,+0:10,,Henderson Gregory,10,Lotto Soudal,",, 0:10",+0:10,,,1,2016
22.0,75.0,11.0,+0:10,,Enger Sondre Holst,11,IAM Cycling,",, 0:10",+0:10,,,1,2016
24.0,67.0,12.0,+0:10,,Stuyven Jasper,12,Trek - Segafredo,",, 0:10",+0:10,,,1,2016
24.0,111.0,13.0,+0:10,,Barguil Warren,13,Team Giant - Alpecin,",, 0:10",+0:10,,,1,2016
24.0,182.0,14.0,+0:10,,Alaphilippe Julian,14,Etixx - Quick Step,",, 0:10",+0:10,,,1,2016
27.0,113.0,15.0,+0:10,,Degenkolb John,15,Team Giant - Alpecin,",, 0:10",+0:10,,,1,2016
33.0,108.0,16.0,+0:10,,Renshaw Mark,16,Team Dimension Data,",, 0:10",+0:10,,,1,2016
26.0,164.0,17.0,+0:10,,Debusschere Jens,17,Lotto Soudal,",, 0:10",+0:10,,,1,2016
36.0,64.0,18.0,+0:10,,Rast Gregory,18,Trek - Segafredo,",, 0:10",+0:10,,,1,2016
31.0,119.0,19.0,+0:10,,Timmer Albert,19,Team Giant - Alpecin,",, 0:10",+0:10,,,1,2016
33.0,186.0,20.0,+0:10,,Richeze Ariel Maximiliano,20,Etixx - Quick Step,",, 0:10",+0:10,,,1,2016
27.0,117.0,21.0,+0:10,,Sinkeldam Ramon,21,Team Giant - Alpecin,",, 0:10",+0:10,,,1,2016
31.0,82.0,22.0,+0:10,,Breschel Matti,22,Cannondale-Drapac Pro Cycling Team,",, 0:10",+0:10,,,1,2016
23.0,53.0,23.0,+0:10,,Groenewegen Dylan,23,Team LottoNL-Jumbo,",, 0:10",+0:10,,,1,2016
30.0,36.0,24.0,+0:10,,Kreuziger Roman,24,Tinkoff,",, 0:10",+0:10,,,1,2016
31.0,1.0,25.0,+0:10,,Froome Christopher,25,Team Sky,",, 0:10",+0:10,,,1,2016
32.0,14.0,26.0,+0:10,,Erviti Imanol,26,Movistar Team,",, 0:10",+0:10,,,1,2016
32.0,28.0,27.0,+0:10,,Sanchez Luis Leon,27,Astana Pro Team,",, 0:10",+0:10,,,1,2016
31.0,34.0,28.0,+0:10,,Gatto Oscar,28,Tinkoff,",, 0:10",+0:10,,,1,2016
27.0,19.0,29.0,+0:10,,Oliveira Nelson,29,Movistar Team,",, 0:10",+0:10,,,1,2016
26.0,11.0,30.0,+0:10,,Quintana Nairo,30,Movistar Team,",, 0:10",+0:10,,,1,2016
33.0,58.0,31.0,+0:10,,Wagner Robert,31,Team LottoNL-Jumbo,",, 0:10",+0:10,,,1,2016
31.0,98.0,32.0,+0:10,,Van Avermaet Greg,32,BMC Racing Team,",, 0:10",+0:10,,,1,2016
36.0,12.0,33.0,+0:10,,Valverde Alejandro,33,Movistar Team,",, 0:10",+0:10,,,1,2016
36.0,63.0,34.0,+0:10,,Irizar Markel,34,Trek - Segafredo,",, 0:10",+0:10,,,1,2016
