BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -13:13,,1,Team Sky,40:05 40:05,,1,2014
,,+ -13:13,,2,Belkin-Pro Cycling Team,0:12 0:12,,1,2014
,,+ -13:13,,3,IAM Cycling,0:17 0:17,,1,2014
,,+ -13:13,,4,Astana Pro Team,0:28 0:28,,1,2014
,,+ -13:13,,5,Omega Pharma - Quick-Step,0:33 0:33,,1,2014
,,+ -13:13,,6,Team NetApp \u2013 Endura,0:34 0:34,,1,2014
,,+ -13:13,,7,Trek Factory Racing,0:37 0:37,,1,2014
,,+ -13:13,,8,Orica GreenEDGE,0:42 0:42,,1,2014
,,+ -13:13,,9,Garmin Sharp,0:48 0:48,,1,2014
,,+ -13:13,,10,Cannondale,0:50 0:50,,1,2014
,,+ -13:13,,11,Lotto Belisol,0:51 0:51,,1,2014
,,+ -13:13,,12,Team Giant - Shimano,0:59 0:59,,1,2014
,,+ -13:13,,13,Tinkoff - Saxo,1:00 1:00,,1,2014
,,+ -13:13,,14,Movistar Team,1:02 1:02,,1,2014
,,+ -13:13,,15,"Cofidis, Solutions Cr\xe9dits",1:03 1:03,,1,2014
,,+ -13:13,,16,Team Katusha,1:07 1:07,,1,2014
,,+ -13:13,,17,AG2R La Mondiale,1:11 1:11,,1,2014
,,+ -13:13,,18,BMC Racing Team,1:13 1:13,,1,2014
,,+ -13:13,,19,FDJ.fr,1:36 1:36,,1,2014
,,+ -13:13,,20,Team Europcar,1:38 1:38,,1,2014
,,+ -13:13,,21,Lampre - Merida,1:41 1:41,,1,2014
,,+ -4:37:44,4.0,1,Astana Pro Team,13:56:51 13:56:51,\u25b23,2,2014
,,+ -4:37:44,11.0,2,Lotto Belisol,1:33 1:33,\u25b29,2,2014
,,+ -4:37:44,15.0,3,"Cofidis, Solutions Cr\xe9dits",4:35 4:35,\u25b212,2,2014
,,+ -4:37:44,13.0,4,Tinkoff - Saxo,5:10 5:10,\u25b29,2,2014
,,+ -4:37:44,9.0,5,Garmin Sharp,5:17 5:17,\u25b24,2,2014
,,+ -4:37:44,18.0,6,BMC Racing Team,5:57 5:57,\u25b212,2,2014
,,+ -4:37:44,3.0,7,IAM Cycling,6:43 6:43,\u25bc4,2,2014
,,+ -4:37:44,14.0,8,Movistar Team,6:57 6:57,\u25b26,2,2014
,,+ -4:37:44,21.0,9,Lampre - Merida,7:13 7:13,\u25b212,2,2014
,,+ -4:37:44,17.0,10,AG2R La Mondiale,9:06 9:06,\u25b27,2,2014
,,+ -4:37:44,1.0,11,Team Sky,9:11 9:11,\u25bc10,2,2014
,,+ -4:37:44,16.0,12,Team Katusha,9:22 9:22,\u25b24,2,2014
,,+ -4:37:44,20.0,13,Team Europcar,10:46 10:46,\u25b27,2,2014
,,+ -4:37:44,5.0,14,Omega Pharma - Quick-Step,11:21 11:21,\u25bc9,2,2014
,,+ -4:37:44,8.0,15,Orica GreenEDGE,11:41 11:41,\u25bc7,2,2014
,,+ -4:37:44,10.0,16,Cannondale,11:54 11:54,\u25bc6,2,2014
,,+ -4:37:44,6.0,17,Team NetApp \u2013 Endura,12:53 12:53,\u25bc11,2,2014
,,+ -4:37:44,2.0,18,Belkin-Pro Cycling Team,20:11 20:11,\u25bc16,2,2014
,,+ -4:37:44,7.0,19,Trek Factory Racing,20:15 20:15,\u25bc12,2,2014
,,+ -4:37:44,12.0,20,Team Giant - Shimano,20:58 20:58,\u25bc8,2,2014
,,+ -4:37:44,19.0,21,FDJ.fr,23:16 23:16,\u25bc2,2,2014
,,+ - 10:07:47,1.0,1,Astana Pro Team,30:27:00 30:27:00,-,3,2014
,,+ - 10:07:47,2.0,2,Lotto Belisol,1:33 1:33,-,3,2014
,,+ - 10:07:47,3.0,3,"Cofidis, Solutions Cr\xe9dits",4:35 4:35,-,3,2014
,,+ - 10:07:47,4.0,4,Tinkoff - Saxo,5:10 5:10,-,3,2014
,,+ - 10:07:47,5.0,5,Garmin Sharp,5:17 5:17,-,3,2014
,,+ - 10:07:47,6.0,6,BMC Racing Team,5:57 5:57,-,3,2014
,,+ - 10:07:47,7.0,7,IAM Cycling,6:43 6:43,-,3,2014
,,+ - 10:07:47,8.0,8,Movistar Team,6:57 6:57,-,3,2014
,,+ - 10:07:47,9.0,9,Lampre - Merida,7:13 7:13,-,3,2014
,,+ - 10:07:47,10.0,10,AG2R La Mondiale,9:06 9:06,-,3,2014
,,+ - 10:07:47,11.0,11,Team Sky,9:11 9:11,-,3,2014
,,+ - 10:07:47,12.0,12,Team Katusha,9:22 9:22,-,3,2014
,,+ - 10:07:47,13.0,13,Team Europcar,10:46 10:46,-,3,2014
,,+ - 10:07:47,14.0,14,Omega Pharma - Quick-Step,11:21 11:21,-,3,2014
,,+ - 10:07:47,15.0,15,Orica GreenEDGE,11:41 11:41,-,3,2014
,,+ - 10:07:47,16.0,16,Cannondale,11:54 11:54,-,3,2014
,,+ - 10:07:47,17.0,17,Team NetApp \u2013 Endura,12:53 12:53,-,3,2014
,,+ - 10:07:47,18.0,18,Belkin-Pro Cycling Team,20:11 20:11,-,3,2014
,,+ - 10:07:47,19.0,19,Trek Factory Racing,20:15 20:15,-,3,2014
