Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Phonak Hearing Systems,,+ - 91:33:36,274:21:31 274:21:31,2006,20
2,,Lampre-Fondital,,+ - 91:33:36,7:36 7:36,2006,20
3,,Discovery Channel,,+ - 91:33:36,16:05 16:05,2006,20
4,,Saunier Duval - Prodir,,+ - 91:33:36,29:37 29:37,2006,20
5,,Ceramica Panaria - Navigare,,+ - 91:33:36,53:06 53:06,2006,20
6,,Liquigas,,+ - 91:33:36,56:12 56:12,2006,20
7,,Cr\xe9dit Agricole,,+ - 91:33:36,1:22:59 1:22:59,2006,20
8,,CSC ProTeam,,+ - 91:33:36,1:31:15 1:31:15,2006,20
10,,Caisse d'Epargne - Illes Balears,,+ - 91:33:36,1:53:19 1:53:19,2006,20
11,,Selle Italia - Serramenti Diquigiovanni,,+ - 91:33:36,2:11:21 2:11:21,2006,20
12,,Cofidis,,+ - 91:33:36,2:16:44 2:16:44,2006,20
13,,Fran\xe7aise des Jeux,,+ - 91:33:36,2:49:28 2:49:28,2006,20
14,,Quickstep - Innergetic,,+ - 91:33:36,3:03:55 3:03:55,2006,20
15,,T-Mobile Team,,+ - 91:33:36,3:06:51 3:06:51,2006,20
16,,Milram,,+ - 91:33:36,3:15:31 3:15:31,2006,20
17,,AG2R Pr\xe9voyance,,+ - 91:33:36,3:15:42 3:15:42,2006,20
18,,Euskaltel - Euskadi,,+ - 91:33:36,3:20:24 3:20:24,2006,20
19,,Davitamon - Lotto,,+ - 91:33:36,3:52:00 3:52:00,2006,20
20,,Rabobank ProTeam,,+ - 91:33:36,4:26:26 4:26:26,2006,20
21,,Gerolsteiner,,+ - 91:33:36,4:46:44 4:46:44,2006,20
22,,Bouygues Telecom,,+ - 91:33:36,5:32:55 5:32:55,2006,20
