BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -2:58:18,,1,Orica GreenEDGE,8:55:54 8:55:54,,1,2013
,,+ -2:58:18,,2,BMC Racing Team,",, ,,",,1,2013
,,+ -2:58:18,,3,Garmin Sharp,",, ,,",,1,2013
,,+ -2:58:18,,4,RadioShack - Leopard,",, ,,",,1,2013
,,+ -2:58:18,,5,FDJ.fr,",, ,,",,1,2013
,,+ -2:58:18,,6,Astana Pro Team,",, ,,",,1,2013
,,+ -2:58:18,,7,Movistar Team,",, ,,",,1,2013
,,+ -2:58:18,,8,Lampre - Merida,",, ,,",,1,2013
,,+ -2:58:18,,9,Euskaltel - Euskadi,",, ,,",,1,2013
,,+ -2:58:18,,10,Androni Giocattoli - Venezuela,",, ,,",,1,2013
,,+ -2:58:18,,11,Omega Pharma - Quick-Step,",, ,,",,1,2013
,,+ -2:58:18,,13,Cannondale Pro Cycling Team,",, ,,",,1,2013
,,+ -2:58:18,,14,Vacansoleil - DCM,",, ,,",,1,2013
,,+ -2:58:18,,15,Vini Fantini,",, ,,",,1,2013
,,+ -2:58:18,,16,Sky Procycling,",, ,,",,1,2013
,,+ -2:58:18,,17,Lotto Belisol Team,",, ,,",,1,2013
,,+ -2:58:18,,18,Team Saxo - Tinkoff,",, ,,",,1,2013
,,+ -2:58:18,,19,Team Argos - Shimano,",, ,,",,1,2013
,,+ -2:58:18,,20,Bardiani Valvole - CSF Inox,",, ,,",,1,2013
,,+ -2:58:18,,21,Blanco Pro Cycling Team,",, ,,",,1,2013
,,+ -2:58:18,,22,AG2R La Mondiale,",, ,,",,1,2013
,,+ -2:58:18,,23,Team Colombia,",, ,,",,1,2013
,,+ -3:20:43,16.0,1,Sky Procycling,9:17:59 9:17:59,\u25b215,2,2013
,,+ -3:20:43,7.0,2,Movistar Team,0:09 0:09,\u25b25,2,2013
,,+ -3:20:43,6.0,3,Astana Pro Team,0:14 0:14,\u25b23,2,2013
,,+ -3:20:43,,4,Team Katusha,0:19 0:19,-,2,2013
,,+ -3:20:43,15.0,5,Vini Fantini,0:22 0:22,\u25b210,2,2013
,,+ -3:20:43,8.0,6,Lampre - Merida,",, 0:22",\u25b22,2,2013
,,+ -3:20:43,3.0,7,Garmin Sharp,0:25 0:25,\u25bc4,2,2013
,,+ -3:20:43,1.0,8,Orica GreenEDGE,0:28 0:28,\u25bc7,2,2013
,,+ -3:20:43,21.0,9,Blanco Pro Cycling Team,",, 0:28",\u25b212,2,2013
,,+ -3:20:43,14.0,10,Vacansoleil - DCM,0:34 0:34,\u25b24,2,2013
,,+ -3:20:43,13.0,11,Cannondale Pro Cycling Team,0:35 0:35,\u25b22,2,2013
,,+ -3:20:43,2.0,12,BMC Racing Team,0:37 0:37,\u25bc10,2,2013
,,+ -3:20:43,20.0,13,Bardiani Valvole - CSF Inox,0:41 0:41,\u25b27,2,2013
,,+ -3:20:43,4.0,14,RadioShack - Leopard,0:43 0:43,\u25bc10,2,2013
,,+ -3:20:43,18.0,15,Team Saxo - Tinkoff,",, 0:43",\u25b23,2,2013
