Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,,+ -5:13:25,,,1,BORA - hansgrohe,15:40:45 15:40:45,,1,2017
,,,+ -5:13:25,,,2,Trek - Segafredo,",, ,,",,1,2017
,,,+ -5:13:25,,,3,UAE Team Emirates,",, ,,",,1,2017
,,,+ -5:13:25,,,4,Team Dimension Data,",, ,,",,1,2017
,,,+ -5:13:25,,,5,Team Sunweb,",, ,,",,1,2017
,,,+ -5:13:25,,,6,Movistar Team,",, ,,",,1,2017
,,,+ -5:13:25,,,7,Team Sky,",, ,,",,1,2017
,,,+ -5:13:25,,,8,ORICA-Scott,",, ,,",,1,2017
,,,+ -5:13:25,,,9,Quick-Step Floors,",, ,,",,1,2017
,,,+ -5:13:25,,,10,BMC Racing Team,",, ,,",,1,2017
,,,+ -5:13:25,,,11,Bahrain Merida Pro Cycling Team,",, ,,",,1,2017
,,,+ -5:13:25,,,12,Lotto Soudal,",, ,,",,1,2017
,,,+ -5:13:25,,,13,Gazprom-RusVelo,",, ,,",,1,2017
,,,+ -5:13:25,,,14,AG2R La Mondiale,",, ,,",,1,2017
,,,+ -5:13:25,,,15,Team Katusha - Alpecin,",, ,,",,1,2017
,,,+ -5:13:25,,,16,Cannondale-Drapac Pro Cycling Team,",, ,,",,1,2017
,,,+ -5:13:25,,,17,Astana Pro Team,0:18 0:18,,1,2017
,,,+ -5:13:25,,,18,CCC Sprandi Polkowice,",, 0:18",,1,2017
,,,+ -5:13:25,,,19,Team LottoNL-Jumbo,0:26 0:26,,1,2017
,,,+ -5:13:25,,,20,FDJ,0:36 0:36,,1,2017
,,,+ -5:13:25,,,21,Wilier Triestina - Selle Italia,",, 0:36",,1,2017
,,,+ -5:13:25,,,22,Bardiani - CSF,2:18 2:18,,1,2017
,,,+ - 11:18:39,8.0,,1,ORICA-Scott,33:56:39 33:56:39,\u25b27,2,2017
,,,+ - 11:18:39,1.0,,2,BORA - hansgrohe,",, ,,",\u25bc1,2,2017
,,,+ - 11:18:39,3.0,,3,UAE Team Emirates,",, ,,",-,2,2017
,,,+ - 11:18:39,2.0,,4,Trek - Segafredo,",, ,,",\u25bc2,2,2017
,,,+ - 11:18:39,9.0,,5,Quick-Step Floors,",, ,,",\u25b24,2,2017
,,,+ - 11:18:39,4.0,,6,Team Dimension Data,",, ,,",\u25bc2,2,2017
,,,+ - 11:18:39,7.0,,7,Team Sky,",, ,,",-,2,2017
,,,+ - 11:18:39,5.0,,8,Team Sunweb,",, ,,",\u25bc3,2,2017
,,,+ - 11:18:39,11.0,,9,Bahrain Merida Pro Cycling Team,",, ,,",\u25b22,2,2017
,,,+ - 11:18:39,6.0,,10,Movistar Team,",, ,,",\u25bc4,2,2017
,,,+ - 11:18:39,14.0,,11,AG2R La Mondiale,",, ,,",\u25b23,2,2017
