Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Quick-Step Floors,,+ -4:23:22,13:10:36 13:10:36,2018,1
2,,Astana Pro Team,,+ -4:23:22,",, ,,",2018,1
3,,BORA - hansgrohe,,+ -4:23:22,",, ,,",2018,1
4,,Bahrain Merida Pro Cycling Team,,+ -4:23:22,",, ,,",2018,1
5,,Trek - Segafredo,,+ -4:23:22,",, ,,",2018,1
6,,Wanty - Groupe Gobert,,+ -4:23:22,",, ,,",2018,1
7,,Team Katusha - Alpecin,,+ -4:23:22,",, ,,",2018,1
8,,Team Dimension Data,,+ -4:23:22,",, ,,",2018,1
9,,Team Sunweb,,+ -4:23:22,",, ,,",2018,1
10,,"Cofidis, Solutions Cr\xe9dits",,+ -4:23:22,",, ,,",2018,1
11,,Team LottoNL-Jumbo,,+ -4:23:22,",, ,,",2018,1
12,,Direct Energie,,+ -4:23:22,",, ,,",2018,1
13,,Lotto Soudal,,+ -4:23:22,",, ,,",2018,1
14,,Team Fortuneo - Samsic,,+ -4:23:22,",, ,,",2018,1
15,,AG2R La Mondiale,,+ -4:23:22,0:24 0:24,2018,1
16,,UAE-Team Emirates,,+ -4:23:22,0:32 0:32,2018,1
17,,Team EF Education First-Drapac p/b Cannondale,,+ -4:23:22,0:34 0:34,2018,1
18,,BMC Racing Team,,+ -4:23:22,0:51 0:51,2018,1
19,,Groupama - FDJ,,+ -4:23:22,",, 0:51",2018,1
20,,Movistar Team,,+ -4:23:22,1:15 1:15,2018,1
21,,Team Sky,,+ -4:23:22,2:06 2:06,2018,1
22,,Mitchelton-Scott,,+ -4:23:22,2:56 2:56,2018,1
