Rnk,Team,GC,GC-Time,Time,year,stage
1,Gerolsteiner,,+ - 33:08:51,99:44:56 99:44:56,2005,9
2,Phonak Hearing Systems,,+ - 33:08:51,2:33 2:33,2005,9
3,Saunier Duval - Prodir,,+ - 33:08:51,3:40 3:40,2005,9
4,CSC ProTeam,,+ - 33:08:51,9:55 9:55,2005,9
5,Liberty Seguros - W\xfcrth Team,,+ - 33:08:51,10:18 10:18,2005,9
6,Euskaltel - Euskadi,,+ - 33:08:51,21:38 21:38,2005,9
7,T-Mobile Team,,+ - 33:08:51,23:31 23:31,2005,9
8,Lampre-Caffita,,+ - 33:08:51,41:57 41:57,2005,9
9,Illes Balears - Caisse d'Epargne,,+ - 33:08:51,47:03 47:03,2005,9
10,Cr\xe9dit Agricole,,+ - 33:08:51,51:12 51:12,2005,9
11,Cofidis,,+ - 33:08:51,52:37 52:37,2005,9
12,Quickstep - Innergetic,,+ - 33:08:51,1:08:57 1:08:57,2005,9
13,Bouygues Telecom,,+ - 33:08:51,1:14:38 1:14:38,2005,9
14,Fassa Bortolo,,+ - 33:08:51,1:18:41 1:18:41,2005,9
15,Liquigas,,+ - 33:08:51,1:23:30 1:23:30,2005,9
16,Discovery Channel,,+ - 33:08:51,1:27:25 1:27:25,2005,9
17,Fran\xe7aise des Jeux,,+ - 33:08:51,1:53:24 1:53:24,2005,9
18,Rabobank ProTeam,,+ - 33:08:51,1:56:08 1:56:08,2005,9
19,Davitamon - Lotto,,+ - 33:08:51,1:58:34 1:58:34,2005,9
