Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,1,-,,BMC Racing Team,,+ -4:10:24,11:50:45 11:50:45,2018,2
2,2,-,,Team Sunweb,,+ -4:10:24,0:20 0:20,2018,2
3,3,-,,Quick-Step Floors,,+ -4:10:24,0:27 0:27,2018,2
4,4,-,,BORA - hansgrohe,,+ -4:10:24,",, 0:27",2018,2
5,6,\u25b21,,Movistar Team,,+ -4:10:24,0:33 0:33,2018,2
6,7,\u25b21,,Bahrain Merida Pro Cycling Team,,+ -4:10:24,0:36 0:36,2018,2
7,9,\u25b22,,Team Katusha - Alpecin,,+ -4:10:24,",, 0:36",2018,2
8,11,\u25b23,,Team LottoNL-Jumbo,,+ -4:10:24,0:53 0:53,2018,2
9,13,\u25b24,,Trek - Segafredo,,+ -4:10:24,0:58 0:58,2018,2
10,12,\u25b22,,Lotto Soudal,,+ -4:10:24,",, 0:58",2018,2
11,14,\u25b23,,Team Sky,,+ -4:10:24,1:02 1:02,2018,2
12,16,\u25b24,,AG2R La Mondiale,,+ -4:10:24,1:07 1:07,2018,2
13,17,\u25b24,,Team Dimension Data,,+ -4:10:24,1:10 1:10,2018,2
14,20,\u25b26,,Astana Pro Team,,+ -4:10:24,1:18 1:18,2018,2
15,5,\u25bc10,,Mitchelton-Scott,,+ -4:10:24,2:31 2:31,2018,2
16,8,\u25bc8,,Groupama - FDJ,,+ -4:10:24,3:05 3:05,2018,2
17,15,\u25bc2,,Team EF Education First-Drapac p/b Cannondale,,+ -4:10:24,3:07 3:07,2018,2
18,10,\u25bc8,,UAE-Team Emirates,,+ -4:10:24,4:54 4:54,2018,2
19,18,\u25bc1,,Direct Energie,,+ -4:10:24,5:20 5:20,2018,2
20,19,\u25bc1,,Aqua Blue Sport,,+ -4:10:24,",, 5:20",2018,2
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ -4:10:24,11:30 11:30,2018,2
1,1,-,,BMC Racing Team,,+ -8:50:15,25:50:18 25:50:18,2018,3
2,2,-,,Team Sunweb,,+ -8:50:15,0:20 0:20,2018,3
3,3,-,,Quick-Step Floors,,+ -8:50:15,0:27 0:27,2018,3
4,4,-,,BORA - hansgrohe,,+ -8:50:15,",, 0:27",2018,3
5,5,-,,Movistar Team,,+ -8:50:15,0:33 0:33,2018,3
6,6,-,,Bahrain Merida Pro Cycling Team,,+ -8:50:15,0:36 0:36,2018,3
7,7,-,,Team Katusha - Alpecin,,+ -8:50:15,",, 0:36",2018,3
8,8,-,,Team LottoNL-Jumbo,,+ -8:50:15,0:53 0:53,2018,3
9,10,\u25b21,,Lotto Soudal,,+ -8:50:15,0:58 0:58,2018,3
10,12,\u25b22,,AG2R La Mondiale,,+ -8:50:15,1:07 1:07,2018,3
11,14,\u25b23,,Astana Pro Team,,+ -8:50:15,1:18 1:18,2018,3
12,9,\u25bc3,,Trek - Segafredo,,+ -8:50:15,1:25 1:25,2018,3
13,11,\u25bc2,,Team Sky,,+ -8:50:15,1:29 1:29,2018,3
14,13,\u25bc1,,Team Dimension Data,,+ -8:50:15,3:44 3:44,2018,3
15,15,-,,Mitchelton-Scott,,+ -8:50:15,4:38 4:38,2018,3
16,18,\u25b22,,UAE-Team Emirates,,+ -8:50:15,4:54 4:54,2018,3
17,17,-,,Team EF Education First-Drapac p/b Cannondale,,+ -8:50:15,5:14 5:14,2018,3
18,16,\u25bc2,,Groupama - FDJ,,+ -8:50:15,6:11 6:11,2018,3
19,19,-,,Direct Energie,,+ -8:50:15,9:00 9:00,2018,3
20,20,-,,Aqua Blue Sport,,+ -8:50:15,12:33 12:33,2018,3
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ -8:50:15,20:42 20:42,2018,3
1,1,-,,BMC Racing Team,,+ - 13:26:19,39:38:30 39:38:30,2018,4
2,2,-,,Team Sunweb,,+ - 13:26:19,0:20 0:20,2018,4
3,3,-,,Quick-Step Floors,,+ - 13:26:19,0:27 0:27,2018,4
4,4,-,,BORA - hansgrohe,,+ - 13:26:19,",, 0:27",2018,4
5,5,-,,Movistar Team,,+ - 13:26:19,0:33 0:33,2018,4
6,6,-,,Bahrain Merida Pro Cycling Team,,+ - 13:26:19,0:36 0:36,2018,4
7,7,-,,Team Katusha - Alpecin,,+ - 13:26:19,0:46 0:46,2018,4
8,8,-,,Team LottoNL-Jumbo,,+ - 13:26:19,0:53 0:53,2018,4
9,9,-,,Lotto Soudal,,+ - 13:26:19,0:58 0:58,2018,4
10,10,-,,AG2R La Mondiale,,+ - 13:26:19,1:07 1:07,2018,4
11,11,-,,Astana Pro Team,,+ - 13:26:19,1:18 1:18,2018,4
12,12,-,,Trek - Segafredo,,+ - 13:26:19,1:25 1:25,2018,4
13,13,-,,Team Sky,,+ - 13:26:19,3:28 3:28,2018,4
14,14,-,,Team Dimension Data,,+ - 13:26:19,3:44 3:44,2018,4
15,15,-,,Mitchelton-Scott,,+ - 13:26:19,4:30 4:30,2018,4
16,16,-,,UAE-Team Emirates,,+ - 13:26:19,6:53 6:53,2018,4
17,17,-,,Team EF Education First-Drapac p/b Cannondale,,+ - 13:26:19,7:03 7:03,2018,4
18,18,-,,Groupama - FDJ,,+ - 13:26:19,10:09 10:09,2018,4
19,19,-,,Direct Energie,,+ - 13:26:19,10:59 10:59,2018,4
20,20,-,,Aqua Blue Sport,,+ - 13:26:19,20:12 20:12,2018,4
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ - 13:26:19,35:16 35:16,2018,4
1,5,\u25b24,,Movistar Team,,+ - 17:03:53,50:32:04 50:32:04,2018,5
2,6,\u25b24,,Bahrain Merida Pro Cycling Team,,+ - 17:03:53,1:46 1:46,2018,5
3,11,\u25b28,,Astana Pro Team,,+ - 17:03:53,1:55 1:55,2018,5
4,10,\u25b26,,AG2R La Mondiale,,+ - 17:03:53,2:59 2:59,2018,5
5,1,\u25bc4,,BMC Racing Team,,+ - 17:03:53,3:46 3:46,2018,5
6,2,\u25bc4,,Team Sunweb,,+ - 17:03:53,3:48 3:48,2018,5
7,7,-,,Team Katusha - Alpecin,,+ - 17:03:53,8:07 8:07,2018,5
8,4,\u25bc4,,BORA - hansgrohe,,+ - 17:03:53,13:39 13:39,2018,5
9,12,\u25b23,,Trek - Segafredo,,+ - 17:03:53,13:55 13:55,2018,5
10,8,\u25bc2,,Team LottoNL-Jumbo,,+ - 17:03:53,16:04 16:04,2018,5
11,9,\u25bc2,,Lotto Soudal,,+ - 17:03:53,16:18 16:18,2018,5
12,14,\u25b22,,Team Dimension Data,,+ - 17:03:53,22:52 22:52,2018,5
13,3,\u25bc10,,Quick-Step Floors,,+ - 17:03:53,24:22 24:22,2018,5
14,13,\u25bc1,,Team Sky,,+ - 17:03:53,27:30 27:30,2018,5
15,15,-,,Mitchelton-Scott,,+ - 17:03:53,28:31 28:31,2018,5
16,16,-,,UAE-Team Emirates,,+ - 17:03:53,31:44 31:44,2018,5
