Rnk,Team,GC,GC-Time,Time,year,stage
1,CSC ProTeam,,+ - 22:46:46,68:22:28 68:22:28,2006,7
2,Discovery Channel,,+ - 22:46:46,1:40 1:40,2006,7
3,Davitamon - Lotto,,+ - 22:46:46,3:58 3:58,2006,7
4,Phonak Hearing Systems,,+ - 22:46:46,5:59 5:59,2006,7
5,Cr\xe9dit Agricole,,+ - 22:46:46,6:07 6:07,2006,7
6,Saunier Duval - Prodir,,+ - 22:46:46,7:35 7:35,2006,7
7,Health Net Presented By Maxxis,,+ - 22:46:46,11:34 11:34,2006,7
8,Navigators Insurance Cycling Team,,+ - 22:46:46,12:41 12:41,2006,7
9,Gerolsteiner,,+ - 22:46:46,17:34 17:34,2006,7
10,T-Mobile Team,,+ - 22:46:46,17:51 17:51,2006,7
