Rnk,Rider,Age,Team,year,stage
1,Salas Sebastian,24,Optum p/b Kelly Benefit Strategies,2012,8
2,Boily David,22,Spidertech Powered by C10,2012,8
3,Atapuma John Darwin,24,Colombia - Coldeportes,2012,8
4,Vennell Jeremy,31,Bissell Pro Cycling,2012,8
5,Horner Chris,40,RadioShack - Nissan,2012,8
6,Howes Alex,24,Team Garmin - Barracuda,2012,8
7,Gesink Robert,25,Rabobank Cycling Team,2012,8
8,Bajadali Andrew,39,Optum p/b Kelly Benefit Strategies,2012,8
9,Geniez Alexandre,24,Argos - Shimano,2012,8
10,Duarte Fabio,25,Colombia - Coldeportes,2012,8
11,White Bradley,30,UnitedHealthcare Presented by Maxxis,2012,8
12,Bennett George,22,RadioShack - Nissan,2012,8
13,Kelderman Wilco,21,Rabobank Cycling Team,2012,8
14,Quintero Carlos,26,Colombia - Coldeportes,2012,8
15,Georges Sylvain,28,AG2R La Mondiale,2012,8
16,Atkins Joshua,19,Bontrager Livestrong Team,2012,8
17,Rast Gregory,32,RadioShack - Nissan,2012,8
18,Doi Yukihiro,28,Argos - Shimano,2012,8
19,Deignan Philip,28,UnitedHealthcare Presented by Maxxis,2012,8
20,de Maar Marc,28,UnitedHealthcare Presented by Maxxis,2012,8
21,Jacques-Maynes Benjamin,33,Bissell Pro Cycling,2012,8
22,Sulzberger Wesley,25,Orica GreenEDGE,2012,8
23,Danielson Thomas,34,Team Garmin - Barracuda,2012,8
24,Dombrowski Joe,21,Bontrager Livestrong Team,2012,8
25,Voigt Jens,40,RadioShack - Nissan,2012,8
26,King Benjamin,23,RadioShack - Nissan,2012,8
27,Jones Chris,32,UnitedHealthcare Presented by Maxxis,2012,8
28,Marentes Wilson Alexander,26,Colombia - Coldeportes,2012,8
29,Rodriguez Michael,22,Colombia - Coldeportes,2012,8
30,Sutherland Rory,30,UnitedHealthcare Presented by Maxxis,2012,8
31,Duggan Timothy,29,Liquigas - Cannondale,2012,8
32,Bouet Maxime,25,AG2R La Mondiale,2012,8
33,Peterson Tom,25,Team Garmin - Barracuda,2012,8
34,Mondory Lloyd,30,AG2R La Mondiale,2012,8
35,Roche Nicolas,27,AG2R La Mondiale,2012,8
36,Sanchez Luis Leon,28,Rabobank Cycling Team,2012,8
37,Ch\xe9rel Micka\xebl,26,AG2R La Mondiale,2012,8
38,Louder Jeff,34,UnitedHealthcare Presented by Maxxis,2012,8
39,Irizar Markel,32,RadioShack - Nissan,2012,8
40,Zwizanski Scott,34,Optum p/b Kelly Benefit Strategies,2012,8
41,Machado Tiago,26,RadioShack - Nissan,2012,8
42,Vandborg Brian,30,Spidertech Powered by C10,2012,8
43,Tankink Bram,33,Rabobank Cycling Team,2012,8
44,Nibali Vincenzo,27,Liquigas - Cannondale,2012,8
45,Van Avermaet Greg,27,BMC Racing Team,2012,8
46,Eijssen Yannick,22,BMC Racing Team,2012,8
47,Leipheimer Levi,38,Omega Pharma - Quick-Step,2012,8
48,Devenyns Dries,28,Omega Pharma - Quick-Step,2012,8
49,Euser Lucas,28,,2012,8
50,van Garderen Tejay,23,BMC Racing Team,2012,8
