BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -3:02:13,,1,Mitchelton-Scott,9:07:09 9:07:09,,1,2018
,,+ -3:02:13,,2,Hagens Berman Axeon,",, ,,",,1,2018
,,+ -3:02:13,,3,Team Sky,",, ,,",,1,2018
,,+ -3:02:13,,4,BORA - hansgrohe,",, ,,",,1,2018
,,+ -3:02:13,,5,Team LottoNL-Jumbo,",, ,,",,1,2018
,,+ -3:02:13,,6,Rally Cycling,",, ,,",,1,2018
,,+ -3:02:13,,7,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
,,+ -3:02:13,,8,Team Sunweb,",, ,,",,1,2018
,,+ -3:02:13,,9,Quick-Step Floors,",, ,,",,1,2018
,,+ -3:02:13,,10,Team Dimension Data,",, ,,",,1,2018
,,+ -3:02:13,,11,UAE-Team Emirates,",, ,,",,1,2018
,,+ -3:02:13,,12,BMC Racing Team,",, ,,",,1,2018
,,+ -3:02:13,,13,Trek - Segafredo,",, ,,",,1,2018
,,+ -3:02:13,,14,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2018
,,+ -3:02:13,,15,Team Katusha - Alpecin,",, ,,",,1,2018
,,+ -3:02:13,,16,AG2R La Mondiale,",, ,,",,1,2018
,,+ -3:02:13,,17,Holowesko - Citadel p/b Arapahoe Resources,",, ,,",,1,2018
,,+ -7:16:13,13.0,1,Trek - Segafredo,21:54:18 21:54:18,\u25b212,2,2018
,,+ -7:16:13,12.0,2,BMC Racing Team,1:45 1:45,\u25b210,2,2018
,,+ -7:16:13,3.0,3,Team Sky,2:13 2:13,-,2,2018
,,+ -7:16:13,11.0,4,UAE-Team Emirates,3:11 3:11,\u25b27,2,2018
,,+ -7:16:13,2.0,5,Hagens Berman Axeon,6:04 6:04,\u25bc3,2,2018
,,+ -7:16:13,5.0,6,Team LottoNL-Jumbo,6:13 6:13,\u25bc1,2,2018
,,+ -7:16:13,9.0,7,Quick-Step Floors,8:19 8:19,\u25b22,2,2018
,,+ -7:16:13,16.0,8,AG2R La Mondiale,9:31 9:31,\u25b28,2,2018
,,+ -7:16:13,15.0,9,Team Katusha - Alpecin,12:12 12:12,\u25b26,2,2018
,,+ -7:16:13,6.0,10,Rally Cycling,12:55 12:55,\u25bc4,2,2018
,,+ -7:16:13,10.0,11,Team Dimension Data,16:45 16:45,\u25bc1,2,2018
,,+ -7:16:13,14.0,12,UnitedHealthcare Pro Cycling Team,17:26 17:26,\u25b22,2,2018
,,+ -7:16:13,7.0,13,Team EF Education First-Drapac p/b Cannondale,19:57 19:57,\u25bc6,2,2018
,,+ -7:16:13,4.0,14,BORA - hansgrohe,20:33 20:33,\u25bc10,2,2018
,,+ -7:16:13,1.0,15,Mitchelton-Scott,20:56 20:56,\u25bc14,2,2018
,,+ -7:16:13,17.0,16,Holowesko - Citadel p/b Arapahoe Resources,23:10 23:10,\u25b21,2,2018
,,+ -7:16:13,8.0,17,Team Sunweb,30:36 30:36,\u25bc9,2,2018
,,+ - 12:09:08,1.0,1,Trek - Segafredo,36:32:55 36:32:55,-,3,2018
,,+ - 12:09:08,3.0,2,Team Sky,2:21 2:21,\u25b21,3,2018
,,+ - 12:09:08,2.0,3,BMC Racing Team,2:26 2:26,\u25bc1,3,2018
,,+ - 12:09:08,4.0,4,UAE-Team Emirates,4:25 4:25,-,3,2018
,,+ - 12:09:08,6.0,5,Team LottoNL-Jumbo,6:21 6:21,\u25b21,3,2018
,,+ - 12:09:08,5.0,6,Hagens Berman Axeon,6:44 6:44,\u25bc1,3,2018
,,+ - 12:09:08,8.0,7,AG2R La Mondiale,9:39 9:39,\u25b21,3,2018
,,+ - 12:09:08,7.0,8,Quick-Step Floors,10:04 10:04,\u25bc1,3,2018
,,+ - 12:09:08,9.0,9,Team Katusha - Alpecin,12:53 12:53,-,3,2018
,,+ - 12:09:08,12.0,10,UnitedHealthcare Pro Cycling Team,18:07 18:07,\u25b22,3,2018
,,+ - 12:09:08,10.0,11,Rally Cycling,20:30 20:30,\u25bc1,3,2018
,,+ - 12:09:08,15.0,12,Mitchelton-Scott,21:37 21:37,\u25b23,3,2018
,,+ - 12:09:08,13.0,13,Team EF Education First-Drapac p/b Cannondale,22:32 22:32,-,3,2018
,,+ - 12:09:08,14.0,14,BORA - hansgrohe,23:36 23:36,-,3,2018
,,+ - 12:09:08,11.0,15,Team Dimension Data,25:37 25:37,\u25bc4,3,2018
,,+ - 12:09:08,16.0,16,Holowesko - Citadel p/b Arapahoe Resources,25:55 25:55,-,3,2018
,,+ - 12:09:08,17.0,17,Team Sunweb,40:05 40:05,-,3,2018
