BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -3:13:26,,1,Omega Pharma - Quick-Step,9:41:20 9:41:20,,1,2014
,,+ -3:13:26,,2,Lotto Belisol,0:01 0:01,,1,2014
,,+ -3:13:26,,3,BMC Racing Team,",, 0:01",,1,2014
,,+ -3:13:26,,4,FDJ.fr,0:07 0:07,,1,2014
,,+ -3:13:26,,5,Topsport Vlaanderen - Baloise,",, 0:07",,1,2014
,,+ -3:13:26,,6,Orica GreenEDGE,",, 0:07",,1,2014
,,+ -3:13:26,,7,Team Sky,",, 0:07",,1,2014
,,+ -3:13:26,,8,Astana Pro Team,",, 0:07",,1,2014
,,+ -3:13:26,,9,Tinkoff - Saxo,",, 0:07",,1,2014
,,+ -3:13:26,,10,AG2R La Mondiale,0:44 0:44,,1,2014
,,+ -3:13:26,,11,Team NetApp \u2013 Endura,1:09 1:09,,1,2014
,,+ -3:13:26,,12,Belkin-Pro Cycling Team,1:37 1:37,,1,2014
,,+ -3:13:26,,13,Trek Factory Racing,",, 1:37",,1,2014
,,+ -3:13:26,,14,Team Katusha,4:11 4:11,,1,2014
,,+ -3:13:26,,15,IAM Cycling,4:37 4:37,,1,2014
,,+ -3:13:26,,16,Cannondale,10:19 10:19,,1,2014
,,+ -3:13:26,,17,UnitedHealthcare Pro Cycling Team,10:59 10:59,,1,2014
,,+ -3:13:26,,18,Skydive Dubai Pro Cycling Team,20:31 20:31,,1,2014
,,+ -3:13:26,,19,Bardiani - CSF Pro Team,30:43 30:43,,1,2014
,,+ -6:43:30,1.0,1,Omega Pharma - Quick-Step,20:11:41 20:11:41,-,2,2014
,,+ -6:43:30,9.0,2,Tinkoff - Saxo,0:12 0:12,\u25b27,2,2014
,,+ -6:43:30,7.0,3,Team Sky,0:39 0:39,\u25b24,2,2014
,,+ -6:43:30,2.0,4,Lotto Belisol,0:49 0:49,\u25bc2,2,2014
,,+ -6:43:30,3.0,5,BMC Racing Team,2:25 2:25,\u25bc2,2,2014
,,+ -6:43:30,5.0,6,Topsport Vlaanderen - Baloise,2:31 2:31,\u25bc1,2,2014
,,+ -6:43:30,6.0,7,Orica GreenEDGE,",, 2:31",\u25bc1,2,2014
,,+ -6:43:30,12.0,8,Belkin-Pro Cycling Team,3:18 3:18,\u25b24,2,2014
,,+ -6:43:30,11.0,9,Team NetApp \u2013 Endura,5:13 5:13,\u25b22,2,2014
,,+ -6:43:30,14.0,10,Team Katusha,6:05 6:05,\u25b24,2,2014
,,+ -6:43:30,4.0,11,FDJ.fr,8:50 8:50,\u25bc7,2,2014
,,+ -6:43:30,13.0,12,Trek Factory Racing,9:39 9:39,\u25b21,2,2014
,,+ -6:43:30,15.0,13,IAM Cycling,12:01 12:01,\u25b22,2,2014
,,+ -6:43:30,8.0,14,Astana Pro Team,15:09 15:09,\u25bc6,2,2014
,,+ -6:43:30,10.0,15,AG2R La Mondiale,15:46 15:46,\u25bc5,2,2014
,,+ -6:43:30,16.0,16,Cannondale,20:42 20:42,-,2,2014
,,+ -6:43:30,17.0,17,UnitedHealthcare Pro Cycling Team,21:22 21:22,-,2,2014
,,+ -6:43:30,19.0,18,Bardiani - CSF Pro Team,40:42 40:42,\u25b21,2,2014
,,+ -6:43:30,18.0,19,Skydive Dubai Pro Cycling Team,41:52 41:52,\u25bc1,2,2014
,,+ -6:57:06,1.0,1,Omega Pharma - Quick-Step,20:52:43 20:52:43,-,3,2014
,,+ -6:57:06,2.0,2,Tinkoff - Saxo,0:41 0:41,-,3,2014
,,+ -6:57:06,4.0,3,Lotto Belisol,1:37 1:37,\u25b21,3,2014
,,+ -6:57:06,3.0,4,Team Sky,1:47 1:47,\u25bc1,3,2014
,,+ -6:57:06,7.0,5,Orica GreenEDGE,2:31 2:31,\u25b22,3,2014
,,+ -6:57:06,5.0,6,BMC Racing Team,2:48 2:48,\u25bc1,3,2014
,,+ -6:57:06,8.0,7,Belkin-Pro Cycling Team,3:31 3:31,\u25b21,3,2014
,,+ -6:57:06,6.0,8,Topsport Vlaanderen - Baloise,5:04 5:04,\u25bc2,3,2014
,,+ -6:57:06,9.0,9,Team NetApp \u2013 Endura,7:12 7:12,-,3,2014
,,+ -6:57:06,10.0,10,Team Katusha,7:26 7:26,-,3,2014
,,+ -6:57:06,12.0,11,Trek Factory Racing,9:49 9:49,\u25b21,3,2014
,,+ -6:57:06,11.0,12,FDJ.fr,10:22 10:22,\u25bc1,3,2014
,,+ -6:57:06,13.0,13,IAM Cycling,12:50 12:50,-,3,2014
,,+ -6:57:06,14.0,14,Astana Pro Team,16:42 16:42,-,3,2014
,,+ -6:57:06,15.0,15,AG2R La Mondiale,17:16 17:16,-,3,2014
,,+ -6:57:06,16.0,16,Cannondale,22:08 22:08,-,3,2014
,,+ -6:57:06,17.0,17,UnitedHealthcare Pro Cycling Team,24:22 24:22,-,3,2014
,,+ -6:57:06,18.0,18,Bardiani - CSF Pro Team,42:41 42:41,-,3,2014
,,+ -6:57:06,19.0,19,Skydive Dubai Pro Cycling Team,44:00 44:00,-,3,2014
,,+ -9:19:38,1.0,1,Omega Pharma - Quick-Step,28:00:25 28:00:25,-,4,2014
,,+ -9:19:38,2.0,2,Tinkoff - Saxo,0:41 0:41,-,4,2014
,,+ -9:19:38,3.0,3,Lotto Belisol,1:37 1:37,-,4,2014
,,+ -9:19:38,4.0,4,Team Sky,1:47 1:47,-,4,2014
,,+ -9:19:38,5.0,5,Orica GreenEDGE,2:44 2:44,-,4,2014
,,+ -9:19:38,6.0,6,BMC Racing Team,2:48 2:48,-,4,2014
,,+ -9:19:38,7.0,7,Belkin-Pro Cycling Team,3:31 3:31,-,4,2014
,,+ -9:19:38,8.0,8,Topsport Vlaanderen - Baloise,5:04 5:04,-,4,2014
,,+ -9:19:38,9.0,9,Team NetApp \u2013 Endura,7:12 7:12,-,4,2014
,,+ -9:19:38,10.0,10,Team Katusha,7:26 7:26,-,4,2014
,,+ -9:19:38,11.0,11,Trek Factory Racing,9:49 9:49,-,4,2014
,,+ -9:19:38,12.0,12,FDJ.fr,10:54 10:54,-,4,2014
,,+ -9:19:38,13.0,13,IAM Cycling,12:50 12:50,-,4,2014
,,+ -9:19:38,14.0,14,Astana Pro Team,19:18 19:18,-,4,2014
,,+ -9:19:38,16.0,15,Cannondale,22:08 22:08,\u25b21,4,2014
,,+ -9:19:38,15.0,16,AG2R La Mondiale,24:18 24:18,\u25bc1,4,2014
,,+ -9:19:38,17.0,17,UnitedHealthcare Pro Cycling Team,24:54 24:54,-,4,2014
,,+ -9:19:38,18.0,18,Bardiani - CSF Pro Team,49:43 49:43,-,4,2014
,,+ -9:19:38,19.0,19,Skydive Dubai Pro Cycling Team,58:04 58:04,-,4,2014
