Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27.0,50.788000000000004,181.0,1*,+8:02,,Armstrong Lance,1*,US Postal Service,8:02 8:02,0,1999
30.0,50.06100000000001,161.0,2,+8:09,70.0,Zülle Alex,2,Banesto,8:09 8:09,0,1999
29.0,49.655,51.0,3,+8:13,50.0,Olano Abraham,3,O.N.C.E. - Deutsche Bank,8:13 8:13,0,1999
28.0,49.256,148.0,4,+8:17,40.0,Moreau Christophe,4,Festina - Lotus,8:17 8:17,0,1999
30.0,49.157,133.0,5,+8:18,32.0,Boardman Chris,5,Credit agricole,8:18 8:18,0,1999
24.0,48.96,87.0,6,+8:20,26.0,Verbrugghe Rik,6,Lotto - Mobistar,8:20 8:20,0,1999
25.0,48.668,91.0,7,+8:23,22.0,Vinokourov Alexandre,7,Casino - AG2R,8:23 8:23,0,1999
25.0,48.668,55.0,8,+8:23,18.0,González Santos,8,O.N.C.E. - Deutsche Bank,",, 8:23",0,1999
31.0,48.668,142.0,9,+8:23,14.0,Brochard Laurent,9,Festina - Lotus,",, 8:23",0,1999
30.0,48.475,97.0,10,+8:25,10.0,Maignan Gilles,10,Casino - AG2R,8:25 8:25,0,1999
27.0,48.475,57.0,11,+8:25,8.0,Peron Andrea,11,O.N.C.E. - Deutsche Bank,",, 8:25",0,1999
30.0,48.475,74.0,12,+8:25,6.0,Dufaux Laurent,12,Saeco - Cannondale,",, 8:25",0,1999
28.0,48.379,29.0,13,+8:26,4.0,Wesemann Steffen,13,Team Telekom,8:26 8:26,0,1999
23.0,48.284,188.0,14,+8:27,2.0,Vande Velde Christian,14,US Postal Service,8:27 8:27,0,1999
26.0,48.18899999999999,185.0,15,+8:28,1.0,Hincapie George,15,US Postal Service,8:28 8:28,0,1999
25.0,48.18899999999999,136.0,16,+8:28,,O'Grady Stuart,16,Credit agricole,",, 8:28",0,1999
26.0,48.18899999999999,121.0,17,+8:28,,Casero Ángel Luis,17,Vitalicio Seguros - Grupo Generali,",, 8:28",0,1999
28.0,48.093999999999994,184.0,18,+8:29,,Hamilton Tyler,18,US Postal Service,8:29 8:29,0,1999
26.0,48.093999999999994,189.0,19,+8:29,,Vaughters Jonathan,19,US Postal Service,",, 8:29",0,1999
30.0,48.0,31.0,20,+8:30,,Tonkov Pavel,20,Mapei - Quickstep,8:30 8:30,0,1999
30.0,48.0,131.0,21,+8:30,,Simon François,21,Credit agricole,",, 8:30",0,1999
27.0,48.0,1.0,22,+8:30,,Julich Bobby,22,Cofidis,",, 8:30",0,1999
29.0,47.906000000000006,126.0,23,+8:31,,González de Galdeano Álvaro,23,Vitalicio Seguros - Grupo Generali,8:31 8:31,0,1999
28.0,47.906000000000006,169.0,24,+8:31,,Solaun Cesar,24,Banesto,",, 8:31",0,1999
28.0,47.906000000000006,42.0,25,+8:31,,Dekker Erik,25,Rabobank ProTeam,",, 8:31",0,1999
26.0,47.718999999999994,77.0,26,+8:33,,Savoldelli Paolo,26,Saeco - Cannondale,8:33 8:33,0,1999
30.0,47.626000000000005,44.0,27,+8:34,,Jonker Patrick,27,Rabobank ProTeam,8:34 8:34,0,1999
34.0,47.626000000000005,103.0,28,+8:34,,Dierckxsens Ludo,28,Lampre - Daikin - Colnago,",, 8:34",0,1999
25.0,47.626000000000005,99.0,29,+8:34,,Salmon Benoît,29,Casino - AG2R,",, 8:34",0,1999
24.0,47.534,132.0,30,+8:35,,Bäckstedt Magnus,30,Credit agricole,8:35 8:35,0,1999
26.0,47.534,129.0,31,+8:35,,Salmeron Gines,31,Vitalicio Seguros - Grupo Generali,",, 8:35",0,1999
26.0,47.534,98.0,32,+8:35,,Oriol Christophe,32,Casino - AG2R,",, 8:35",0,1999
28.0,47.35,155.0,33,+8:37,,Heulot Stephane,33,La Française des Jeux,8:37 8:37,0,1999
24.0,47.35,81.0,35,+8:37,,Aerts Mario,34,Lotto - Mobistar,",, 8:37",0,1999
28.0,47.35,149.0,34,+8:37,,Rous Didier,35,Festina - Lotus,",, 8:37",0,1999
30.0,47.35,48.0,36,+8:37,,Wauters Marc,36,Rabobank ProTeam,",, 8:37",0,1999
23.0,47.25899999999999,146.0,37,+8:38,,Lefèvre Laurent,37,Festina - Lotus,8:38 8:38,0,1999
25.0,47.25899999999999,138.0,38,+8:38,,Vogels Henk,38,Credit agricole,",, 8:38",0,1999
32.0,47.25899999999999,84.0,39,+8:38,,Durand Jacky,39,Lotto - Mobistar,",, 8:38",0,1999
28.0,47.25899999999999,162.0,40,+8:38,,Arrieta José Luis,40,Banesto,",, 8:38",0,1999
25.0,47.25899999999999,53.0,41,+8:38,,Etxebarria David,41,O.N.C.E. - Deutsche Bank,",, 8:38",0,1999
23.0,47.25899999999999,165.0,42,+8:38,,Mancebo Francisco,42,Banesto,",, 8:38",0,1999
26.0,47.168,52.0,43,+8:39,,Diaz Rafael,43,O.N.C.E. - Deutsche Bank,8:39 8:39,0,1999
28.0,47.168,16.0,44,+8:39,,Fincato Marco,44,Mercatone Uno - Bianchi,",, 8:39",0,1999
26.0,47.168,88.0,45,+8:39,,Verheyen Geert,45,Lotto - Mobistar,",, 8:39",0,1999
32.0,47.168,182.0,46,+8:39,,Andreu Frankie,46,US Postal Service,",, 8:39",0,1999
