Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
23,43,1.0,+0:00,,,Cancellara Fabian,1,Fassa Bortolo,6:50 6:50,0,2004,
23,103,28.0,+0:21,,,Boonen Tom,2,Quickstep - Davitamon,0:21 0:21,0,2004,
25,7,29.0,+0:22,,,Noval Benjamin,3,US Postal Service,0:22 0:22,0,2004,
23,75,30.0,+0:22,,,Karpets Vladimir,4,Illes Balears - Banesto,",, 0:22",0,2004,
24,84,36.0,+0:23,,,Lang Sebastian,5,Gerolsteiner,0:23 0:23,0,2004,
24,196,41.0,+0:24,,,Scarponi Michele,6,Domina Vacanze,0:24 0:24,0,2004,
24,95,42.0,+0:24,,,Engoulvent Jimmy,7,"Cofidis, le Crédit par Téléphone",",, 0:24",0,2004,
23,165,43.0,+0:24,,,Eisel Bernhard,8,Fdjeux.com,",, 0:24",0,2004,
25,121,52.0,+0:27,,,Chavanel Sylvain,9,Brioches La Boulangère,0:27 0:27,0,2004,
25,146,55.0,+0:27,,,Krivtsov Yuriy,10,AG2R Prévoyance,",, 0:27",0,2004,
23,149,63.0,+0:28,,,Scanlon Mark,11,AG2R Prévoyance,0:28 0:28,0,2004,
25,32,66.0,+0:29,,,Camaño Iker,12,Euskaltel - Euskadi,0:29 0:29,0,2004,
25,162,73.0,+0:30,,,Casar Sandy,13,Fdjeux.com,0:30 0:30,0,2004,
24,142,78.0,+0:31,,,Astarloza Mikel,14,AG2R Prévoyance,0:31 0:31,0,2004,
22,47,79.0,+0:31,,,Pozzato Filippo,15,Fassa Bortolo,",, 0:31",0,2004,
24,126,82.0,+0:31,,,Pineau Jérôme,16,Brioches La Boulangère,",, 0:31",0,2004,
24,94,87.0,+0:32,,,Edaleine Christophe,17,"Cofidis, le Crédit par Téléphone",0:32 0:32,0,2004,
25,58,90.0,+0:32,,,Joly Sébastien,18,Crédit Agricole,",, 0:32",0,2004,
25,148,99.0,+0:35,,,Portal Nicolas,19,AG2R Prévoyance,0:35 0:35,0,2004,
25,16,102.0,+0:36,,,Kessler Matthias,20,T-Mobile Team,0:36 0:36,0,2004,
23,113,114.0,+0:38,,,Davis Allan Howard,21,Liberty Seguros,0:38 0:38,0,2004,
24,194,115.0,+0:38,,,Marinangeli Sergio,22,Domina Vacanze,",, 0:38",0,2004,
24,88,117.0,+0:39,,,Wegmann Fabian,23,Gerolsteiner,0:39 0:39,0,2004,
24,108,121.0,+0:40,,,Rogers Michael,24,Quickstep - Davitamon,0:40 0:40,0,2004,
24,124,123.0,+0:40,,,Hary Maryan,25,Brioches La Boulangère,",, 0:40",0,2004,
25,123,132.0,+0:41,,,Charteau Anthony,26,Brioches La Boulangère,0:41 0:41,0,2004,
24,176,133.0,+0:41,,,Loosli David,27,Saeco,",, 0:41",0,2004,
25,129,141.0,+0:42,,,Voeckler Thomas,28,Brioches La Boulangère,0:42 0:42,0,2004,
23,143,144.0,+0:42,,,Dumoulin Samuel,29,AG2R Prévoyance,",, 0:42",0,2004,
25,205,148.0,+0:42,,,Calzati Sylvain,30,R.a.g.t Semence - Mg Rover,",, 0:42",0,2004,
23,43,1.0,+0:00,,1.0,Cancellara Fabian,1,Fassa Bortolo,4:47:11 4:47:11,1,2004,-
23,165,19.0,+0:26,,8.0,Eisel Bernhard,2,Fdjeux.com,0:26 0:26,1,2004,▲6
23,103,26.0,+0:27,,2.0,Boonen Tom,3,Quickstep - Davitamon,0:27 0:27,1,2004,▼1
25,7,32.0,+0:30,,3.0,Noval Benjamin,4,US Postal Service,0:30 0:30,1,2004,▼1
23,75,33.0,+0:30,,4.0,Karpets Vladimir,5,Illes Balears - Banesto,",, 0:30",1,2004,▼1
24,84,37.0,+0:31,,5.0,Lang Sebastian,6,Gerolsteiner,0:31 0:31,1,2004,▼1
24,196,42.0,+0:32,,6.0,Scarponi Michele,7,Domina Vacanze,0:32 0:32,1,2004,▼1
24,95,43.0,+0:32,,7.0,Engoulvent Jimmy,8,"Cofidis, le Crédit par Téléphone",",, 0:32",1,2004,▼1
25,121,52.0,+0:35,,9.0,Chavanel Sylvain,9,Brioches La Boulangère,0:35 0:35,1,2004,-
25,146,55.0,+0:35,,10.0,Krivtsov Yuriy,10,AG2R Prévoyance,",, 0:35",1,2004,-
23,149,63.0,+0:36,,11.0,Scanlon Mark,11,AG2R Prévoyance,0:36 0:36,1,2004,-
25,32,65.0,+0:37,,12.0,Camaño Iker,12,Euskaltel - Euskadi,0:37 0:37,1,2004,-
25,162,72.0,+0:38,,13.0,Casar Sandy,13,Fdjeux.com,0:38 0:38,1,2004,-
24,142,77.0,+0:39,,14.0,Astarloza Mikel,14,AG2R Prévoyance,0:39 0:39,1,2004,-
22,47,78.0,+0:39,,15.0,Pozzato Filippo,15,Fassa Bortolo,",, 0:39",1,2004,-
24,126,81.0,+0:39,,16.0,Pineau Jérôme,16,Brioches La Boulangère,",, 0:39",1,2004,-
24,94,86.0,+0:40,,17.0,Edaleine Christophe,17,"Cofidis, le Crédit par Téléphone",0:40 0:40,1,2004,-
25,148,96.0,+0:43,,19.0,Portal Nicolas,18,AG2R Prévoyance,0:43 0:43,1,2004,▲1
25,16,100.0,+0:44,,20.0,Kessler Matthias,19,T-Mobile Team,0:44 0:44,1,2004,▲1
23,113,110.0,+0:46,,21.0,Davis Allan Howard,20,Liberty Seguros,0:46 0:46,1,2004,▲1
24,194,111.0,+0:46,,22.0,Marinangeli Sergio,21,Domina Vacanze,",, 0:46",1,2004,▲1
24,88,113.0,+0:47,,23.0,Wegmann Fabian,22,Gerolsteiner,0:47 0:47,1,2004,▲1
24,108,117.0,+0:48,,24.0,Rogers Michael,23,Quickstep - Davitamon,0:48 0:48,1,2004,▲1
24,124,119.0,+0:48,,25.0,Hary Maryan,24,Brioches La Boulangère,",, 0:48",1,2004,▲1
25,123,128.0,+0:49,,26.0,Charteau Anthony,25,Brioches La Boulangère,0:49 0:49,1,2004,▲1
