Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
34.0,53.0,6.0,,Dekker Erik,1.0,Rabobank ProTeam,2,2005,
26.0,149.0,5.0,,Voeckler Thomas,2.0,Bouygues Telecom,2,2005,
26.0,82.0,4.0,,Bertogliati Rubens,3.0,Saunier Duval - Prodir,2,2005,
25.0,167.0,3.0,,Wegmann Fabian,4.0,Gerolsteiner,2,2005,
30.0,83.0,2.0,,Cañada David,5.0,Saunier Duval - Prodir,2,2005,
26.0,208.0,2.0,,Portal Nicolas,6.0,AG2R Prévoyance,2,2005,
37.0,143.0,1.0,,Brochard Laurent,7.0,Bouygues Telecom,2,2005,
26.0,203.0,1.0,,Calzati Sylvain,8.0,AG2R Prévoyance,2,2005,
34.0,53.0,6.0,1.0,Dekker Erik,1.0,Rabobank ProTeam,3,2005,-
26.0,149.0,5.0,2.0,Voeckler Thomas,2.0,Bouygues Telecom,3,2005,-
26.0,82.0,4.0,3.0,Bertogliati Rubens,3.0,Saunier Duval - Prodir,3,2005,-
25.0,167.0,3.0,4.0,Wegmann Fabian,4.0,Gerolsteiner,3,2005,-
30.0,83.0,2.0,5.0,Cañada David,5.0,Saunier Duval - Prodir,3,2005,-
26.0,208.0,2.0,6.0,Portal Nicolas,6.0,AG2R Prévoyance,3,2005,-
37.0,143.0,1.0,7.0,Brochard Laurent,7.0,Bouygues Telecom,3,2005,-
26.0,203.0,1.0,8.0,Calzati Sylvain,8.0,AG2R Prévoyance,3,2005,-
34.0,53.0,6.0,1.0,Dekker Erik,1.0,Rabobank ProTeam,5,2005,-
26.0,149.0,5.0,2.0,Voeckler Thomas,2.0,Bouygues Telecom,5,2005,-
26.0,82.0,4.0,3.0,Bertogliati Rubens,3.0,Saunier Duval - Prodir,5,2005,-
28.0,102.0,3.0,,Bodrogi László,4.0,Crédit Agricole,5,2005,-
25.0,167.0,3.0,4.0,Wegmann Fabian,5.0,Gerolsteiner,5,2005,▼1
28.0,114.0,2.0,,Carlström Kjell,6.0,Liquigas,5,2005,-
30.0,83.0,2.0,5.0,Cañada David,7.0,Saunier Duval - Prodir,5,2005,▼2
26.0,208.0,2.0,6.0,Portal Nicolas,8.0,AG2R Prévoyance,5,2005,▼2
37.0,143.0,1.0,7.0,Brochard Laurent,9.0,Bouygues Telecom,5,2005,▼2
30.0,153.0,1.0,,Commesso Salvatore,10.0,Lampre-Caffita,5,2005,-
26.0,203.0,1.0,8.0,Calzati Sylvain,11.0,AG2R Prévoyance,5,2005,▼3
29.0,54.0,7.0,,Kroon Karsten,1.0,Rabobank ProTeam,6,2005,-
30.0,122.0,7.0,,Augé Stéphane,2.0,"Cofidis, le Crédit par Téléphone",6,2005,-
34.0,53.0,6.0,1.0,Dekker Erik,3.0,Rabobank ProTeam,6,2005,▼2
36.0,178.0,6.0,,Mengin Christophe,4.0,Française des Jeux,6,2005,-
26.0,149.0,5.0,2.0,Voeckler Thomas,5.0,Bouygues Telecom,6,2005,▼3
26.0,82.0,4.0,3.0,Bertogliati Rubens,6.0,Saunier Duval - Prodir,6,2005,▼3
25.0,167.0,3.0,5.0,Wegmann Fabian,7.0,Gerolsteiner,6,2005,▼2
28.0,102.0,3.0,4.0,Bodrogi László,8.0,Crédit Agricole,6,2005,▼4
30.0,116.0,3.0,,Gerosa Mauro,9.0,Liquigas,6,2005,-
30.0,83.0,2.0,7.0,Cañada David,10.0,Saunier Duval - Prodir,6,2005,▼3
28.0,114.0,2.0,6.0,Carlström Kjell,11.0,Liquigas,6,2005,▼5
26.0,208.0,2.0,8.0,Portal Nicolas,12.0,AG2R Prévoyance,6,2005,▼4
37.0,143.0,1.0,9.0,Brochard Laurent,13.0,Bouygues Telecom,6,2005,▼4
30.0,153.0,1.0,10.0,Commesso Salvatore,14.0,Lampre-Caffita,6,2005,▼4
35.0,109.0,1.0,,Kirsipuu Jaan,15.0,Crédit Agricole,6,2005,-
26.0,203.0,1.0,11.0,Calzati Sylvain,16.0,AG2R Prévoyance,6,2005,▼5
25.0,167.0,10.0,7.0,Wegmann Fabian,1.0,Gerolsteiner,7,2005,▲6
30.0,122.0,8.0,2.0,Augé Stéphane,2.0,"Cofidis, le Crédit par Téléphone",7,2005,-
29.0,54.0,7.0,1.0,Kroon Karsten,3.0,Rabobank ProTeam,7,2005,▼2
26.0,149.0,7.0,5.0,Voeckler Thomas,4.0,Bouygues Telecom,7,2005,▲1
34.0,53.0,6.0,3.0,Dekker Erik,5.0,Rabobank ProTeam,7,2005,▼2
36.0,178.0,6.0,4.0,Mengin Christophe,6.0,Française des Jeux,7,2005,▼2
26.0,82.0,5.0,6.0,Bertogliati Rubens,7.0,Saunier Duval - Prodir,7,2005,▼1
28.0,102.0,3.0,8.0,Bodrogi László,8.0,Crédit Agricole,7,2005,-
27.0,166.0,3.0,,Scholz Ronny,9.0,Gerolsteiner,7,2005,-
30.0,116.0,3.0,9.0,Gerosa Mauro,10.0,Liquigas,7,2005,▼1
30.0,83.0,2.0,10.0,Cañada David,11.0,Saunier Duval - Prodir,7,2005,▼1
34.0,169.0,2.0,,Zberg Beat,12.0,Gerolsteiner,7,2005,-
28.0,114.0,2.0,11.0,Carlström Kjell,13.0,Liquigas,7,2005,▼2
26.0,208.0,2.0,12.0,Portal Nicolas,14.0,AG2R Prévoyance,7,2005,▼2
37.0,143.0,1.0,13.0,Brochard Laurent,15.0,Bouygues Telecom,7,2005,▼2
30.0,153.0,1.0,14.0,Commesso Salvatore,16.0,Lampre-Caffita,7,2005,▼2
35.0,109.0,1.0,15.0,Kirsipuu Jaan,17.0,Crédit Agricole,7,2005,▼2
