Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,stage,year,▼▲
25,57,21,+0:16,,Posthuma Joost,1,Rabobank ProTeam,8:33 8:33,,0,2006,
24,42,25,+0:18,,Fothen Markus,2,Gerolsteiner,0:02 0:02,,0,2006,
24,159,29,+0:19,,Vaugrenard Benoît,3,Française des Jeux,0:03 0:03,,0,2006,
22,157,37,+0:23,,Löfkvist Thomas,4,Française des Jeux,0:07 0:07,,0,2006,
25,153,58,+0:26,,Eisel Bernhard,5,Française des Jeux,0:10 0:10,,0,2006,
24,179,68,+0:29,,Sprick Matthieu,6,Bouygues Telecom,0:13 0:13,,0,2006,
23,154,70,+0:29,,Gilbert Philippe,7,Française des Jeux,",, 0:13",,0,2006,
24,105,74,+0:30,,Pozzato Filippo,8,Quickstep - Innergetic,0:14 0:14,,0,2006,
24,106,77,+0:31,,Rujano José Humberto,9,Quickstep - Innergetic,0:15 0:15,,0,2006,
25,186,87,+0:33,,Knees Christian,10,Milram,0:17 0:17,,0,2006,
25,69,94,+0:34,,Vansummeren Johan,11,Davitamon - Lotto,0:18 0:18,,0,2006,
25,59,99,+0:36,,Weening Pieter,12,Rabobank ProTeam,0:20 0:20,,0,2006,
25,194,118,+0:39,,Dueñas Moisés,13,Agritubel,0:23 0:23,,0,2006,
25,167,120,+0:40,,Mugerli Matej,14,Liquigas,0:24 0:24,,0,2006,
22,147,121,+0:41,,Riccò Riccardo,15,Saunier Duval - Prodir,0:25 0:25,,0,2006,
24,81,123,+0:41,,Cunego Damiano,16,Lampre-Fondital,",, 0:25",,0,2006,
22,184,125,+0:41,,Grivko Andrey,17,Milram,",, 0:25",,0,2006,
24,124,145,+0:46,,Hernández Aitor,18,Euskaltel - Euskadi,0:30 0:30,,0,2006,
25,127,148,+0:46,,López David,19,Euskaltel - Euskadi,",, 0:30",,0,2006,
24,149,159,+0:49,,Ventoso Francisco José,20,Saunier Duval - Prodir,0:33 0:33,,0,2006,
25,143,164,+0:52,,de la Fuente David,21,Saunier Duval - Prodir,0:36 0:36,,0,2006,
25,185,165,+0:52,,Iglinskiy Maxim,22,Milram,",, 0:36",,0,2006,
22,195,167,+0:58,,Gonzalo Eduardo,23,Agritubel,0:42 0:42,,0,2006,
24,159,8,+4:18:26,3.0,Vaugrenard Benoît,1,Française des Jeux,4:18:26 4:18:26,418.0,1,2006,▲2
25,57,23,+4:18:33,1.0,Posthuma Joost,2,Rabobank ProTeam,0:07 0:07,,1,2006,▼1
24,42,27,+4:18:35,2.0,Fothen Markus,3,Gerolsteiner,0:09 0:09,,1,2006,▼1
22,157,40,+4:18:40,4.0,Löfkvist Thomas,4,Française des Jeux,0:14 0:14,,1,2006,-
25,153,61,+4:18:43,5.0,Eisel Bernhard,5,Française des Jeux,0:17 0:17,,1,2006,-
24,179,63,+4:18:44,6.0,Sprick Matthieu,6,Bouygues Telecom,0:18 0:18,,1,2006,-
23,154,73,+4:18:46,7.0,Gilbert Philippe,7,Française des Jeux,0:20 0:20,,1,2006,-
24,105,77,+4:18:47,8.0,Pozzato Filippo,8,Quickstep - Innergetic,0:21 0:21,,1,2006,-
24,106,80,+4:18:48,9.0,Rujano José Humberto,9,Quickstep - Innergetic,0:22 0:22,,1,2006,-
25,186,90,+4:18:50,10.0,Knees Christian,10,Milram,0:24 0:24,,1,2006,-
25,69,97,+4:18:51,11.0,Vansummeren Johan,11,Davitamon - Lotto,0:25 0:25,,1,2006,-
25,59,102,+4:18:53,12.0,Weening Pieter,12,Rabobank ProTeam,0:27 0:27,,1,2006,-
25,194,119,+4:18:56,13.0,Dueñas Moisés,13,Agritubel,0:30 0:30,,1,2006,-
25,167,121,+4:18:57,14.0,Mugerli Matej,14,Liquigas,0:31 0:31,,1,2006,-
22,147,122,+4:18:58,15.0,Riccò Riccardo,15,Saunier Duval - Prodir,0:32 0:32,,1,2006,-
24,81,123,+4:18:58,16.0,Cunego Damiano,16,Lampre-Fondital,",, 0:32",16.0,1,2006,-
22,184,125,+4:18:58,17.0,Grivko Andrey,17,Milram,",, 0:32",17.0,1,2006,-
24,124,143,+4:19:03,18.0,Hernández Aitor,18,Euskaltel - Euskadi,0:37 0:37,,1,2006,-
25,127,146,+4:19:03,19.0,López David,19,Euskaltel - Euskadi,",, 0:37",19.0,1,2006,-
24,149,156,+4:19:06,20.0,Ventoso Francisco José,20,Saunier Duval - Prodir,0:40 0:40,,1,2006,-
25,143,161,+4:19:09,21.0,de la Fuente David,21,Saunier Duval - Prodir,0:43 0:43,,1,2006,-
25,185,162,+4:19:09,22.0,Iglinskiy Maxim,22,Milram,",, 0:43",22.0,1,2006,-
22,195,164,+4:19:15,23.0,Gonzalo Eduardo,23,Agritubel,0:49 0:49,,1,2006,-
24,159,10,+0:21,1.0,Vaugrenard Benoît,1,Française des Jeux,9:54:40 9:54:40,,2,2006,-
25,57,22,+0:28,2.0,Posthuma Joost,2,Rabobank ProTeam,0:07 0:07,,2,2006,-
24,42,25,+0:30,3.0,Fothen Markus,3,Gerolsteiner,0:09 0:09,,2,2006,-
22,157,37,+0:35,4.0,Löfkvist Thomas,4,Française des Jeux,0:14 0:14,,2,2006,-
25,153,55,+0:38,5.0,Eisel Bernhard,5,Française des Jeux,0:17 0:17,,2,2006,-
24,179,57,+0:39,6.0,Sprick Matthieu,6,Bouygues Telecom,0:18 0:18,,2,2006,-
23,154,65,+0:41,7.0,Gilbert Philippe,7,Française des Jeux,0:20 0:20,,2,2006,-
24,106,71,+0:43,9.0,Rujano José Humberto,8,Quickstep - Innergetic,0:22 0:22,,2,2006,▲1
25,186,80,+0:45,10.0,Knees Christian,9,Milram,0:24 0:24,,2,2006,▲1
25,59,90,+0:48,12.0,Weening Pieter,10,Rabobank ProTeam,0:27 0:27,,2,2006,▲2
25,194,104,+0:51,13.0,Dueñas Moisés,11,Agritubel,0:30 0:30,,2,2006,▲2
22,147,106,+0:53,15.0,Riccò Riccardo,12,Saunier Duval - Prodir,0:32 0:32,,2,2006,▲3
24,81,107,+0:53,16.0,Cunego Damiano,13,Lampre-Fondital,",, 0:32",,2,2006,▲3
22,184,109,+0:53,17.0,Grivko Andrey,14,Milram,",, 0:32",,2,2006,▲3
25,127,125,+0:58,19.0,López David,15,Euskaltel - Euskadi,0:37 0:37,,2,2006,▲4
24,149,133,+1:01,20.0,Ventoso Francisco José,16,Saunier Duval - Prodir,0:40 0:40,,2,2006,▲4
25,185,138,+1:04,22.0,Iglinskiy Maxim,17,Milram,0:43 0:43,,2,2006,▲5
22,195,140,+1:10,23.0,Gonzalo Eduardo,18,Agritubel,0:49 0:49,,2,2006,▲5
25,143,152,+4:40,21.0,de la Fuente David,19,Saunier Duval - Prodir,4:19 4:19,,2,2006,▲2
25,167,153,+4:46,14.0,Mugerli Matej,20,Liquigas,4:25 4:25,,2,2006,▼6
25,69,164,+9:14,11.0,Vansummeren Johan,21,Davitamon - Lotto,8:53 8:53,,2,2006,▼10
24,105,169,+10:19,8.0,Pozzato Filippo,22,Quickstep - Innergetic,9:58 9:58,,2,2006,▼14
24,124,172,+14:13,18.0,Hernández Aitor,23,Euskaltel - Euskadi,13:52 13:52,,2,2006,▼5
24,42,15,+0:25,3.0,Fothen Markus,1,Gerolsteiner,14:52:48 14:52:48,,3,2006,▲2
