Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
24,171,5*,+0:01,,Riccò Riccardo,1*,Scott - American Beef,4:36:07 4:36:07,1,2008,
23,16,16,+0:07,,Schleck Andy,1,CSC ProTeam,4:36:07 4:36:07,1,2008,
24,147,34,+0:07,,Trofimov Yuri,2,Bouygues Telecom,",, ,,",1,2008,
23,196,35,+0:07,,Lowe Trent,3,Team Garmin - Chipotle,",, ,,",1,2008,
24,48,36,+0:07,,Löfkvist Thomas,4,Team Columbia,",, ,,",1,2008,
24,39,38,+0:07,,Sánchez Luis León,5,Caisse d'Epargne,",, ,,",1,2008,
25,189,39,+0:07,,Monfort Maxime,6,"Cofidis, le Crédit par Téléphone",",, ,,",1,2008,
22,65,45,+0:07,,Kreuziger Roman,7,Liquigas,",, ,,",1,2008,
23,67,50,+0:18,,Nibali Vincenzo,8,Liquigas,",, ,,",1,2008,
24,125,59,+0:18,,Gonzalo Eduardo,9,Agritubel,",, ,,",1,2008,
24,178,61,+0:26,,Passeron Aurélien,10,Scott - American Beef,",, ,,",1,2008,
21,52,71,+0:39,,Augustyn John-Lee,11,Barloworld,",, ,,",1,2008,
24,157,76,+0:39,,Terpstra Niki,12,Milram,",, ,,",1,2008,
21,44,78,+0:42,,Ciolek Gerald,13,Team Columbia,",, ,,",1,2008,
24,124,172,+0:52,,Feillu Romain,14,Agritubel,",, ,,",1,2008,
24,73,86,+1:01,,Bono Matteo,15,Lampre,0:01 0:01,1,2008,
24,197,88,+1:01,,Maaskant Martijn,16,Team Garmin - Chipotle,",, 0:01",1,2008,
23,164,93,+1:12,,Gérard Arnaud,17,Française des Jeux,",, 0:01",1,2008,
25,116,101,+1:12,,Krauß Sven,18,Gerolsteiner,",, 0:01",1,2008,
23,134,102,+1:12,,Langeveld Sebastian,19,Rabobank ProTeam,",, 0:01",1,2008,
24,114,111,+1:52,,Haussler Heinrich,20,Gerolsteiner,",, 0:01",1,2008,
25,42,117,+2:00,,Burghardt Marcus,21,Team Columbia,",, 0:01",1,2008,
23,43,118,+2:00,,Cavendish Mark,22,Team Columbia,",, 0:01",1,2008,
22,163,156,+2:00,,Di Grégorio Rémy,23,Française des Jeux,",, 0:01",1,2008,
23,158,157,+2:00,,Velits Peter,24,Milram,",, 0:01",1,2008,
25,168,161,+2:00,,Roy Jérémy,25,Française des Jeux,",, 0:01",1,2008,
25,51,169,+3:04,,Soler Juan Mauricio,26,Barloworld,0:03 0:03,1,2008,
23,57,173,+4:04,,Froome Chris,27,Barloworld,0:04 0:04,1,2008,
24,171,8*,+0:01,1*,Riccò Riccardo,1*,Scott - American Beef,8:21:21 8:21:21,2,2008,-
23,16,16,+0:07,1,Schleck Andy,1,CSC ProTeam,8:21:27 8:21:27,2,2008,-
24,147,19,+0:07,2,Trofimov Yuri,2,Bouygues Telecom,",, ,,",2,2008,-
24,39,31,+0:07,5,Sánchez Luis León,3,Caisse d'Epargne,",, ,,",2,2008,▲2
25,189,34,+0:07,6,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",",, ,,",2,2008,▲2
22,65,36,+0:07,7,Kreuziger Roman,5,Liquigas,",, ,,",2,2008,▲2
23,196,40,+0:07,3,Lowe Trent,6,Team Garmin - Chipotle,",, ,,",2,2008,▼3
24,48,44,+0:07,4,Löfkvist Thomas,7,Team Columbia,",, ,,",2,2008,▼3
23,67,47,+0:18,8,Nibali Vincenzo,8,Liquigas,0:11 0:11,2,2008,-
24,125,54,+0:18,9,Gonzalo Eduardo,9,Agritubel,",, 0:11",2,2008,-
24,124,57,+0:18,14,Feillu Romain,10,Agritubel,",, 0:11",2,2008,▲4
24,178,59,+0:26,10,Passeron Aurélien,11,Scott - American Beef,0:19 0:19,2,2008,▼1
21,52,66,+0:39,11,Augustyn John-Lee,12,Barloworld,0:32 0:32,2,2008,▼1
21,44,74,+0:42,13,Ciolek Gerald,13,Team Columbia,0:35 0:35,2,2008,-
24,197,80,+1:01,16,Maaskant Martijn,14,Team Garmin - Chipotle,0:54 0:54,2,2008,▲2
23,134,89,+1:12,19,Langeveld Sebastian,15,Rabobank ProTeam,1:05 1:05,2,2008,▲4
24,114,97,+1:52,20,Haussler Heinrich,16,Gerolsteiner,1:45 1:45,2,2008,▲4
23,43,99,+2:00,22,Cavendish Mark,17,Team Columbia,1:53 1:53,2,2008,▲5
25,42,114,+2:00,21,Burghardt Marcus,18,Team Columbia,",, 1:53",2,2008,▲3
22,163,115,+2:00,23,Di Grégorio Rémy,19,Française des Jeux,",, 1:53",2,2008,▲4
23,158,120,+2:00,24,Velits Peter,20,Milram,",, 1:53",2,2008,▲4
24,157,131,+3:09,12,Terpstra Niki,21,Milram,3:02 3:02,2,2008,▼9
24,73,132,+3:11,15,Bono Matteo,22,Lampre,3:04 3:04,2,2008,▼7
25,116,133,+3:11,18,Krauß Sven,23,Gerolsteiner,",, 3:04",2,2008,▼5
25,168,158,+4:30,25,Roy Jérémy,24,Française des Jeux,4:23 4:23,2,2008,▲1
23,164,161,+4:34,17,Gérard Arnaud,25,Française des Jeux,4:27 4:27,2,2008,▼8
23,57,169,+6:34,27,Froome Chris,26,Barloworld,6:27 6:27,2,2008,▲1
25,51,178,+10:22,26,Soler Juan Mauricio,27,Barloworld,10:15 10:15,2,2008,▼1
24,124,1,+0:00,10,Feillu Romain,1,Agritubel,13:27:05 13:27:05,3,2008,▲9
23,16,20,+1:52,1,Schleck Andy,2,CSC ProTeam,1:52 1:52,3,2008,▼1
24,147,21,+1:52,2,Trofimov Yuri,3,Bouygues Telecom,",, 1:52",3,2008,▼1
25,189,29,+1:52,4,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",",, 1:52",3,2008,-
24,48,38,+1:52,7,Löfkvist Thomas,5,Team Columbia,",, 1:52",3,2008,▲2
23,67,43,+2:03,8,Nibali Vincenzo,6,Liquigas,2:03 2:03,3,2008,▲2
24,171,49*,+2:24,1*,Riccò Riccardo,7*,Scott - American Beef,2:24 2:24,3,2008,-
21,52,49,+2:24,12,Augustyn John-Lee,7,Barloworld,",, 2:24",3,2008,▲5
22,65,54,+2:30,5,Kreuziger Roman,8,Liquigas,2:30 2:30,3,2008,▼3
24,197,64,+2:46,14,Maaskant Martijn,9,Team Garmin - Chipotle,2:46 2:46,3,2008,▲5
21,44,78,+3:05,13,Ciolek Gerald,10,Team Columbia,3:05 3:05,3,2008,▲3
24,114,82,+3:37,16,Haussler Heinrich,11,Gerolsteiner,3:37 3:37,3,2008,▲5
23,43,84,+3:45,17,Cavendish Mark,12,Team Columbia,3:45 3:45,3,2008,▲5
23,134,94,+4:20,15,Langeveld Sebastian,13,Rabobank ProTeam,4:20 4:20,3,2008,▲2
24,39,101,+4:44,3,Sánchez Luis León,14,Caisse d'Epargne,4:44 4:44,3,2008,▼11
23,196,102,+4:44,6,Lowe Trent,15,Team Garmin - Chipotle,",, 4:44",3,2008,▼9
24,157,104,+4:54,21,Terpstra Niki,16,Milram,4:54 4:54,3,2008,▲5
24,125,105,+4:55,9,Gonzalo Eduardo,17,Agritubel,4:55 4:55,3,2008,▼8
24,73,107,+4:56,22,Bono Matteo,18,Lampre,4:56 4:56,3,2008,▲4
24,178,108,+5:03,11,Passeron Aurélien,19,Scott - American Beef,5:03 5:03,3,2008,▼8
