Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
31,53.21,12,1,+0:00,100.0,Cancellara Fabian,1,RadioShack - Nissan,7:13 7:13,20.0,0,2012
32,52.364,101,2,+0:07,70.0,Wiggins Bradley,2,Sky Procycling,0:07 0:07,10.0,0,2012
33,52.364,192,3,+0:07,50.0,Chavanel Sylvain,3,Omega Pharma - Quick-Step,",, 0:07",6.0,0,2012
23,52.00899999999999,9,4,+0:10,40.0,van Garderen Tejay,4,BMC Racing Team,0:10 0:10,4.0,0,2012
25,51.891999999999996,102,5,+0:11,32.0,Boasson Hagen Edvald,5,Sky Procycling,0:11 0:11,2.0,0,2012
32,51.891999999999996,206,6,+0:11,26.0,Lancaster Brett,6,Orica GreenEDGE,",, 0:11",,0,2012
25,51.775,215,7,+0:12,22.0,Gretsch Patrick,7,Argos - Shimano,0:12 0:12,,0,2012
34,51.659,131,8*,+0:13,,Menchov Denis,8*,Team Katusha,0:13 0:13,,0,2012
29,51.659,4,9,+0:13,14.0,Gilbert Philippe,9,BMC Racing Team,",, 0:13",,0,2012
28,51.428999999999995,184,10,+0:15,10.0,Grivko Andrey,10,Astana Pro Team,0:15 0:15,,0,2012
27,51.31399999999999,105,11,+0:16,8.0,Froome Chris,11,Sky Procycling,0:16 0:16,,0,2012
27,51.2,199,12,+0:17,6.0,Velits Peter,12,Omega Pharma - Quick-Step,0:17 0:17,,0,2012
35,51.2,1,13,+0:17,4.0,Evans Cadel,13,BMC Racing Team,",, 0:17",,0,2012
27,51.086000000000006,51,14,+0:18,2.0,Nibali Vincenzo,14,Liquigas - Cannondale,0:18 0:18,,0,2012
31,51.086000000000006,61,15,+0:18,1.0,Hesjedal Ryder,15,Garmin Sharp,",, 0:18",,0,2012
35,51.086000000000006,66,16,+0:18,,Millar David,16,Garmin Sharp,",, 0:18",,0,2012
31,51.086000000000006,3,17,+0:18,,Cummings Steve,17,BMC Racing Team,",, 0:18",,0,2012
40,50.973,18,18,+0:19,,Voigt Jens,18,RadioShack - Nissan,0:19 0:19,,0,2012
37,50.973,15,19,+0:19,,Klöden Andreas,19,RadioShack - Nissan,",, 0:19",,0,2012
32,50.861000000000004,176,20,+0:20,,Nuyens Nick,20,Team Saxo Bank - Tinkoff Bank,0:20 0:20,,0,2012
31,50.861000000000004,202,21,+0:20,,Albasini Michael,21,Orica GreenEDGE,",, 0:20",,0,2012
39,50.861000000000004,5,22,+0:20,,Hincapie George,22,BMC Racing Team,",, 0:20",,0,2012
35,50.861000000000004,116,23,+0:20,,Henderson Gregory,23,Lotto Belisol Team,",, 0:20",,0,2012
29,50.861000000000004,121,24,+0:20,,Westra Lieuwe,24,Vacansoleil - DCM,",, 0:20",,0,2012
