Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
25,197,1.0,+0:00,,,Kittel Marcel,1,Team Argos - Shimano,4:56:52 4:56:52,+0:00,,1,2013,
25,103,2.0,+0:00,,,Kristoff Alexander,2,Team Katusha,",, ,,",+0:00,,1,2013,
19,208,3.0,+0:00,,,van Poppel Danny,3,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
36,176,4.0,+0:00,,,Millar David,4,Garmin Sharp,",, ,,",+0:00,,1,2013,
23,158,5.0,+0:00,,,Trentin Matteo,5,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2013,
32,84,6.0,+0:00,,,Dumoulin Samuel,6,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
36,26,7.0,+0:00,,,Henderson Gregory,7,Lotto Belisol Team,",, ,,",+0:00,,1,2013,
27,27,8.0,+0:00,,,Roelandts Jürgen,8,Lotto Belisol Team,",, ,,",+0:00,,1,2013,
28,129,9.0,+0:00,,,Rojas José Joaquín,9,Movistar Team,",, ,,",+0:00,,1,2013,
26,202,10.0,+0:00,,,Boeckmans Kris,10,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
28,185,11.0,+0:00,,,Impey Daryl,11,Orica GreenEDGE,",, ,,",+0:00,,1,2013,
24,168,12.0,+0:00,,,Vanmarcke Sep,12,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
27,218,13.0,+0:00,,,Simon Julien,13,Sojasun,",, ,,",+0:00,,1,2013,
28,97,14.0,+0:00,,,Roche Nicolas,14,Team Saxo - Tinkoff,",, ,,",+0:00,,1,2013,
33,181,15.0,+0:00,,,Gerrans Simon,15,Orica GreenEDGE,",, ,,",+0:00,,1,2013,
33,66,16.0,+0:00,,,Kashechkin Andrey,16,Astana Pro Team,",, ,,",+0:00,,1,2013,
34,126,17.0,+0:00,,,Gutiérrez José Iván,17,Movistar Team,",, ,,",+0:00,,1,2013,
31,118,18.0,+0:00,,,Pérez Rubén,18,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
32,182,19.0,+0:00,,,Albasini Michael,19,Orica GreenEDGE,",, ,,",+0:00,,1,2013,
31,169,20.0,+0:00,,,Wynants Maarten,20,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
28,214,21.0,+0:00,,,Hivert Jonathan,21,Sojasun,",, ,,",+0:00,,1,2013,
36,81,22.0,+0:00,,,Peraud Jean-Christophe,22,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
36,31,23.0,+0:00,,,Evans Cadel,23,BMC Racing Team,",, ,,",+0:00,,1,2013,
26,2,24.0,+0:00,,,Boasson Hagen Edvald,24,Sky Procycling,",, ,,",+0:00,,1,2013,
32,89,25.0,+0:00,,,Riblon Christophe,25,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
27,94,26.0,+0:00,,,Kreuziger Roman,26,Team Saxo - Tinkoff,",, ,,",+0:00,,1,2013,
32,206,27.0,+0:00,,,Lagutin Sergey,27,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
26,38,28.0,+0:00,,,Schär Michael,28,BMC Racing Team,",, ,,",+0:00,,1,2013,
23,153,29.0,+0:00,,,Kwiatkowski Michał,29,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2013,
22,82,30.0,+0:00,,,Bardet Romain,30,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
30,21,31.0,+0:00,,,Van den Broeck Jurgen,31,Lotto Belisol Team,",, ,,",+0:00,,1,2013,
31,141,32.0,+0:00,,,Cunego Damiano,32,Lampre - Merida,",, ,,",+0:00,,1,2013,
26,107,33.0,+0:00,,,Smukulis Gatis,33,Team Katusha,",, ,,",+0:00,,1,2013,
33,152,34.0,+0:00,,,Chavanel Sylvain,34,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2013,
33,121,35.0,+0:00,,,Valverde Alejandro,35,Movistar Team,",, ,,",+0:00,,1,2013,
26,183,36.0,+0:00,,,Clarke Simon,36,Orica GreenEDGE,",, ,,",+0:00,,1,2013,
28,159,37.0,+0:00,,,Velits Peter,37,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2013,
37,179,38.0,+0:00,,,Vande Velde Christian,38,Garmin Sharp,",, ,,",+0:00,,1,2013,
28,6,39.0,+0:00,,,Porte Richie,39,Sky Procycling,",, ,,",+0:00,,1,2013,
31,102,40.0,+0:00,,,Brutt Pavel,40,Team Katusha,",, ,,",+0:00,,1,2013,
28,1,41.0,+0:00,,,Froome Chris,41,Sky Procycling,",, ,,",+0:00,,1,2013,
28,63,42.0,+0:00,,,Fuglsang Jakob,42,Astana Pro Team,",, ,,",+0:00,,1,2013,
31,28,43.0,+0:00,,,Sieberg Marcel,43,Lotto Belisol Team,",, ,,",+0:00,,1,2013,
34,101,44.0,+0:00,,,Rodríguez Joaquim,44,Team Katusha,",, ,,",+0:00,,1,2013,
31,105,45.0,+0:00,,,Losada Alberto,45,Team Katusha,",, ,,",+0:00,,1,2013,
29,157,46.0,+0:00,,,Terpstra Niki,46,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2013,
23,128,47.0,+0:00,,,Quintana Nairo,47,Movistar Team,",, ,,",+0:00,,1,2013,
