Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,197,,,45.0,,Kittel Marcel,1,Team Argos - Shimano,,1,2013,
25,103,,,35.0,,Kristoff Alexander,2,Team Katusha,,1,2013,
19,208,,,30.0,,van Poppel Danny,3,Vacansoleil - DCM,,1,2013,
36,176,,,26.0,,Millar David,4,Garmin Sharp,,1,2013,
23,158,,,22.0,,Trentin Matteo,5,Omega Pharma - Quick-Step,,1,2013,
27,161,,,20.0,,Boom Lars,6,Belkin-Pro Cycling Team,,1,2013,
32,84,,,20.0,,Dumoulin Samuel,7,AG2R La Mondiale,,1,2013,
26,202,,,19.0,,Boeckmans Kris,8,Vacansoleil - DCM,,1,2013,
36,26,,,18.0,,Henderson Gregory,9,Lotto Belisol Team,,1,2013,
35,204,,,17.0,,Flecha Juan Antonio,10,Vacansoleil - DCM,,1,2013,
27,27,,,16.0,,Roelandts Jürgen,11,Lotto Belisol Team,,1,2013,
30,215,,,15.0,,Lemoine Cyril,12,Sojasun,,1,2013,
28,129,,,14.0,,Rojas José Joaquín,13,Movistar Team,,1,2013,
24,53,,,13.0,,Cousin Jérôme,14,Team Europcar,,1,2013,
24,115,,,11.0,,Lobato Juan José,15,Euskaltel - Euskadi,,1,2013,
28,185,,,10.0,,Impey Daryl,16,Orica GreenEDGE,,1,2013,
30,24,,,10.0,,Greipel André,17,Lotto Belisol Team,,1,2013,
28,151,,,9.0,,Cavendish Mark,18,Omega Pharma - Quick-Step,,1,2013,
24,168,,,8.0,,Vanmarcke Sep,19,Belkin-Pro Cycling Team,,1,2013,
23,11,,,8.0,,Sagan Peter,20,Cannondale Pro Cycling Team,,1,2013,
27,218,,,6.0,,Simon Julien,21,Sojasun,,1,2013,
26,184,,,6.0,,Goss Matthew,22,Orica GreenEDGE,,1,2013,
22,73,,,5.0,,Bouhanni Nacer,23,FDJ.fr,,1,2013,
28,97,,,4.0,,Roche Nicolas,24,Team Saxo - Tinkoff,,1,2013,
28,18,,,4.0,,Sabatini Fabio,25,Cannondale Pro Cycling Team,,1,2013,
32,156,,,3.0,,Steegmans Gert,26,Omega Pharma - Quick-Step,,1,2013,
33,181,,,2.0,,Gerrans Simon,27,Orica GreenEDGE,,1,2013,
33,152,,,2.0,,Chavanel Sylvain,28,Omega Pharma - Quick-Step,,1,2013,
28,214,,,1.0,,Hivert Jonathan,29,Sojasun,,1,2013,
25,197,,,47.0,1.0,Kittel Marcel,1,Team Argos - Shimano,,2,2013,-
23,11,,,43.0,20.0,Sagan Peter,2,Cannondale Pro Cycling Team,,2,2013,▲18
25,103,,,41.0,2.0,Kristoff Alexander,3,Team Katusha,,2,2013,▼1
27,161,,,40.0,6.0,Boom Lars,4,Belkin-Pro Cycling Team,,2,2013,▲2
19,208,,,39.0,3.0,van Poppel Danny,5,Vacansoleil - DCM,,2,2013,▼2
27,42,,,30.0,,Bakelants Jan,6,RadioShack - Leopard,,2,2013,-
36,176,,,30.0,4.0,Millar David,7,Garmin Sharp,,2,2013,▼3
23,153,,,22.0,,Kwiatkowski Michał,8,Omega Pharma - Quick-Step,,2,2013,-
23,158,,,22.0,5.0,Trentin Matteo,9,Omega Pharma - Quick-Step,,2,2013,▼4
27,218,,,21.0,21.0,Simon Julien,10,Sojasun,,2,2013,▲11
28,185,,,21.0,16.0,Impey Daryl,11,Orica GreenEDGE,,2,2013,▲5
30,24,,,21.0,17.0,Greipel André,12,Lotto Belisol Team,,2,2013,▲5
32,84,,,20.0,7.0,Dumoulin Samuel,13,AG2R La Mondiale,,2,2013,▼6
23,143,,,19.0,,Cimolai Davide,14,Lampre - Merida,,2,2013,-
