BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -4:56:52,,1,Vacansoleil - DCM,14:50:36 14:50:36,1,2013,
,,+ -4:56:52,,2,Orica GreenEDGE,",, ,,",1,2013,
,,+ -4:56:52,,3,Lotto Belisol Team,",, ,,",1,2013,
,,+ -4:56:52,,4,AG2R La Mondiale,",, ,,",1,2013,
,,+ -4:56:52,,5,Movistar Team,",, ,,",1,2013,
,,+ -4:56:52,,6,Omega Pharma - Quick-Step,",, ,,",1,2013,
,,+ -4:56:52,,7,Team Katusha,",, ,,",1,2013,
,,+ -4:56:52,,8,Sojasun,",, ,,",1,2013,
,,+ -4:56:52,,9,Team Argos - Shimano,",, ,,",1,2013,
,,+ -4:56:52,,10,Sky Procycling,",, ,,",1,2013,
,,+ -4:56:52,,11,BMC Racing Team,",, ,,",1,2013,
,,+ -4:56:52,,12,Astana Pro Team,",, ,,",1,2013,
,,+ -4:56:52,,13,Belkin-Pro Cycling Team,",, ,,",1,2013,
,,+ -4:56:52,,14,Garmin Sharp,",, ,,",1,2013,
,,+ -4:56:52,,15,Euskaltel - Euskadi,",, ,,",1,2013,
,,+ -4:56:52,,16,Team Saxo - Tinkoff,",, ,,",1,2013,
,,+ -4:56:52,,17,FDJ.fr,",, ,,",1,2013,
,,+ -4:56:52,,18,Lampre - Merida,",, ,,",1,2013,
,,+ -4:56:52,,19,RadioShack - Leopard,",, ,,",1,2013,
,,+ -4:56:52,,20,Team Europcar,",, ,,",1,2013,
,,+ -4:56:52,,21,"Cofidis, Solutions Crédits",",, ,,",1,2013,
,,+ -4:56:52,,22,Cannondale Pro Cycling Team,",, ,,",1,2013,
,,+ -8:40:03,19.0,1,RadioShack - Leopard,26:00:11 26:00:11,2,2013,▲18
,,+ -8:40:03,1.0,2,Vacansoleil - DCM,0:01 0:01,2,2013,▼1
,,+ -8:40:03,2.0,3,Orica GreenEDGE,",, 0:01",2,2013,▼1
,,+ -8:40:03,18.0,4,Lampre - Merida,",, 0:01",2,2013,▲14
,,+ -8:40:03,11.0,5,BMC Racing Team,",, 0:01",2,2013,▲6
,,+ -8:40:03,4.0,6,AG2R La Mondiale,",, 0:01",2,2013,▼2
,,+ -8:40:03,20.0,7,Team Europcar,",, 0:01",2,2013,▲13
,,+ -8:40:03,5.0,8,Movistar Team,",, 0:01",2,2013,▼3
,,+ -8:40:03,16.0,9,Team Saxo - Tinkoff,",, 0:01",2,2013,▲7
,,+ -8:40:03,8.0,10,Sojasun,",, 0:01",2,2013,▼2
,,+ -8:40:03,7.0,11,Team Katusha,",, 0:01",2,2013,▼4
,,+ -8:40:03,10.0,12,Sky Procycling,",, 0:01",2,2013,▼2
,,+ -8:40:03,15.0,13,Euskaltel - Euskadi,",, 0:01",2,2013,▲2
,,+ -8:40:03,12.0,14,Astana Pro Team,",, 0:01",2,2013,▼2
,,+ -8:40:03,14.0,15,Garmin Sharp,",, 0:01",2,2013,▼1
,,+ -8:40:03,13.0,16,Belkin-Pro Cycling Team,",, 0:01",2,2013,▼3
,,+ -8:40:03,17.0,17,FDJ.fr,",, 0:01",2,2013,-
,,+ -8:40:03,21.0,18,"Cofidis, Solutions Crédits",",, 0:01",2,2013,▲3
,,+ -8:40:03,22.0,19,Cannondale Pro Cycling Team,1:24 1:24,2,2013,▲3
,,+ -8:40:03,3.0,20,Lotto Belisol Team,12:44 12:44,2,2013,▼17
,,+ -8:40:03,6.0,21,Omega Pharma - Quick-Step,17:35 17:35,2,2013,▼15
,,+ -8:40:03,9.0,22,Team Argos - Shimano,43:01 43:01,2,2013,▼13
,,+ - 12:21:27,1.0,1,RadioShack - Leopard,37:04:23 37:04:23,3,2013,-
,,+ - 12:21:27,5.0,2,BMC Racing Team,0:01 0:01,3,2013,▲3
,,+ - 12:21:27,2.0,3,Vacansoleil - DCM,",, 0:01",3,2013,▼1
,,+ - 12:21:27,4.0,4,Lampre - Merida,",, 0:01",3,2013,-
,,+ - 12:21:27,3.0,5,Orica GreenEDGE,",, 0:01",3,2013,▼2
,,+ - 12:21:27,6.0,6,AG2R La Mondiale,",, 0:01",3,2013,-
,,+ - 12:21:27,7.0,7,Team Europcar,",, 0:01",3,2013,-
,,+ - 12:21:27,9.0,8,Team Saxo - Tinkoff,",, 0:01",3,2013,▲1
,,+ - 12:21:27,8.0,9,Movistar Team,",, 0:01",3,2013,▼1
,,+ - 12:21:27,14.0,10,Astana Pro Team,",, 0:01",3,2013,▲4
,,+ - 12:21:27,10.0,11,Sojasun,",, 0:01",3,2013,▼1
,,+ - 12:21:27,11.0,12,Team Katusha,",, 0:01",3,2013,▼1
,,+ - 12:21:27,12.0,13,Sky Procycling,",, 0:01",3,2013,▼1
,,+ - 12:21:27,13.0,14,Euskaltel - Euskadi,",, 0:01",3,2013,▼1
,,+ - 12:21:27,15.0,15,Garmin Sharp,",, 0:01",3,2013,-
,,+ - 12:21:27,16.0,16,Belkin-Pro Cycling Team,",, 0:01",3,2013,-
,,+ - 12:21:27,17.0,17,FDJ.fr,",, 0:01",3,2013,-
,,+ - 12:21:27,18.0,18,"Cofidis, Solutions Crédits",",, 0:01",3,2013,-
,,+ - 12:21:27,19.0,19,Cannondale Pro Cycling Team,1:24 1:24,3,2013,-
,,+ - 12:21:27,20.0,20,Lotto Belisol Team,12:44 12:44,3,2013,-
,,+ - 12:21:27,21.0,21,Omega Pharma - Quick-Step,17:35 17:35,3,2013,-
,,+ - 12:21:27,22.0,22,Team Argos - Shimano,51:44 51:44,3,2013,-
,,+ - 12:47:24,5.0,1,Orica GreenEDGE,37:30:20 37:30:20,4,2013,▲4
,,+ - 12:47:24,13.0,2,Sky Procycling,0:03 0:03,4,2013,▲11
,,+ - 12:47:24,8.0,3,Team Saxo - Tinkoff,0:09 0:09,4,2013,▲5
,,+ - 12:47:24,15.0,4,Garmin Sharp,0:17 0:17,4,2013,▲11
,,+ - 12:47:24,9.0,5,Movistar Team,0:20 0:20,4,2013,▲4
,,+ - 12:47:24,4.0,6,Lampre - Merida,0:25 0:25,4,2013,▼2
,,+ - 12:47:24,2.0,7,BMC Racing Team,0:26 0:26,4,2013,▼5
,,+ - 12:47:24,1.0,8,RadioShack - Leopard,0:28 0:28,4,2013,▼7
,,+ - 12:47:24,12.0,9,Team Katusha,",, 0:28",4,2013,▲3
,,+ - 12:47:24,3.0,10,Vacansoleil - DCM,0:33 0:33,4,2013,▼7
,,+ - 12:47:24,16.0,11,Belkin-Pro Cycling Team,0:37 0:37,4,2013,▲5
,,+ - 12:47:24,17.0,12,FDJ.fr,0:42 0:42,4,2013,▲5
,,+ - 12:47:24,10.0,13,Astana Pro Team,0:56 0:56,4,2013,▼3
,,+ - 12:47:24,6.0,14,AG2R La Mondiale,1:04 1:04,4,2013,▼8
,,+ - 12:47:24,11.0,15,Sojasun,1:10 1:10,4,2013,▼4
,,+ - 12:47:24,7.0,16,Team Europcar,1:13 1:13,4,2013,▼9
,,+ - 12:47:24,18.0,17,"Cofidis, Solutions Crédits",1:20 1:20,4,2013,▲1
,,+ - 12:47:24,14.0,18,Euskaltel - Euskadi,1:24 1:24,4,2013,▼4
,,+ - 12:47:24,19.0,19,Cannondale Pro Cycling Team,1:57 1:57,4,2013,-
,,+ - 12:47:24,20.0,20,Lotto Belisol Team,13:00 13:00,4,2013,-
,,+ - 12:47:24,21.0,21,Omega Pharma - Quick-Step,17:35 17:35,4,2013,-
,,+ - 12:47:24,22.0,22,Team Argos - Shimano,53:30 53:30,4,2013,-
,,+ - 18:19:15,1.0,1,Orica GreenEDGE,54:05:53 54:05:53,5,2013,-
,,+ - 18:19:15,2.0,2,Sky Procycling,0:03 0:03,5,2013,-
