Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,stage,year,▼▲
26.0,32.0,1.0,+0:00,,3.0,Sagan Peter,1.0,Tinkoff,8:34:42 8:34:42,+0:00,25.0,,2,2016,▲2
24.0,182.0,2.0,+0:08,,14.0,Alaphilippe Julian,2.0,Etixx - Quick Step,0:08 0:08,+0:04,,,2,2016,▲12
36.0,12.0,3.0,+0:10,,33.0,Valverde Alejandro,3.0,Movistar Team,0:10 0:10,+0:06,,,2,2016,▲30
24.0,111.0,4.0,+0:14,,13.0,Barguil Warren,4.0,Team Giant - Alpecin,0:14 0:14,+0:10,,,2,2016,▲9
31.0,1.0,5.0,+0:14,,25.0,Froome Chris,5.0,Team Sky,",, 0:14",+0:10,,,2,2016,▲20
31.0,98.0,6.0,+0:14,,32.0,Van Avermaet Greg,6.0,BMC Racing Team,",, 0:14",+0:10,,,2,2016,▲26
26.0,11.0,7.0,+0:14,,30.0,Quintana Nairo,7.0,Movistar Team,",, 0:14",+0:10,,,2,2016,▲23
30.0,36.0,8.0,+0:14,,24.0,Kreuziger Roman,8.0,Tinkoff,",, 0:14",+0:10,,,2,2016,▲16
36.0,201.0,9.0,+0:14,,46.0,Gerrans Simon,9.0,ORICA-BikeExchange,",, 0:14",+0:10,,,2,2016,▲37
29.0,184.0,10.0,+0:14,,54.0,Martin Dan,10.0,Etixx - Quick Step,",, 0:14",+0:10,,,2,2016,▲44
26.0,21.0,11.0,+0:14,,44.0,Aru Fabio,11.0,Astana Pro Team,",, 0:14",+0:10,,,2,2016,▲33
29.0,81.0,12.0,+0:14,,55.0,Rolland Pierre,12.0,Cannondale-Drapac Pro Cycling Team,",, 0:14",+0:10,,,2,2016,▲43
28.0,165.0,13.0,+0:14,,63.0,Gallopin Tony,13.0,Lotto Soudal,",, 0:14",+0:10,,,2,2016,▲50
25.0,114.0,14.0,+0:14,,49.0,Dumoulin Tom,14.0,Team Giant - Alpecin,",, 0:14",+0:10,,,2,2016,▲35
25.0,51.0,15.0,+0:14,,73.0,Kelderman Wilco,15.0,Team LottoNL-Jumbo,",, 0:14",+0:10,,,2,2016,▲58
33.0,147.0,16.0,+0:14,,59.0,Van den Broeck Jurgen,16.0,Team Katusha,",, 0:14",+0:10,,,2,2016,▲43
25.0,41.0,17.0,+0:14,,56.0,Bardet Romain,17.0,AG2R La Mondiale,",, 0:14",+0:10,,,2,2016,▲39
27.0,99.0,18.0,+0:14,,68.0,van Garderen Tejay,18.0,BMC Racing Team,",, 0:14",+0:10,,,2,2016,▲50
25.0,207.0,19.0,+0:14,,90.0,Matthews Michael,19.0,ORICA-BikeExchange,",, 0:14",+0:10,,,2,2016,▲71
29.0,151.0,20.0,+0:14,,81.0,Costa Rui,20.0,Lampre - Merida,",, 0:14",+0:10,,,2,2016,▲61
23.0,209.0,21.0,+0:14,,87.0,Yates Adam,21.0,ORICA-BikeExchange,",, 0:14",+0:10,,,2,2016,▲66
28.0,2.0,22.0,+0:14,,77.0,Henao Sergio,22.0,Team Sky,",, 0:14",+0:10,,,2,2016,▲55
29.0,61.0,23.0,+0:14,,107.0,Mollema Bauke,23.0,Trek - Segafredo,",, 0:14",+0:10,,,2,2016,▲84
26.0,4.0,24.0,+0:14,,114.0,Landa Mikel,24.0,Team Sky,",, 0:14",+0:10,,,2,2016,▲90
27.0,129.0,25.0,+0:14,,113.0,Vichot Arthur,25.0,FDJ,",, 0:14",+0:10,,,2,2016,▲88
37.0,141.0,26.0,+0:14,,160.0,Rodríguez Joaquim,26.0,Team Katusha,",, 0:14",+0:10,,,2,2016,▲134
29.0,71.0,27.0,+0:24,,96.0,Frank Mathias,27.0,IAM Cycling,0:24 0:24,+0:20,,,2,2016,▲69
31.0,22.0,28.0,+0:25,,43.0,Nibali Vincenzo,28.0,Astana Pro Team,0:25 0:25,+0:21,,,2,2016,▲15
27.0,79.0,29.0,+0:25,,83.0,Pantano Jarlinson,29.0,IAM Cycling,",, 0:25",+0:21,,,2,2016,▲54
27.0,126.0,30.0,+0:25,,112.0,Reichenbach Sébastien,30.0,FDJ,",, 0:25",+0:21,,,2,2016,▲82
26.0,121.0,31.0,+0:25,,111.0,Pinot Thibaut,31.0,FDJ,",, 0:25",+0:21,,,2,2016,▲80
24.0,157.0,32.0,+0:25,,123.0,Meintjes Louis,32.0,Lampre - Merida,",, 0:25",+0:21,,,2,2016,▲91
32.0,28.0,33.0,+0:29,,27.0,Sánchez Luis León,33.0,Astana Pro Team,0:29 0:29,+0:25,,,2,2016,▼6
28.0,49.0,34.0,+0:29,,103.0,Vuillermoz Alexis,34.0,AG2R La Mondiale,",, 0:29",+0:25,,,2,2016,▲69
24.0,83.0,35.0,+0:31,,51.0,Craddock Lawson,35.0,Cannondale-Drapac Pro Cycling Team,0:31 0:31,+0:27,,,2,2016,▲16
32.0,107.0,36.0,+0:31,,64.0,Pauwels Serge,36.0,Team Dimension Data,",, 0:31",+0:27,,,2,2016,▲28
28.0,177.0,37.0,+0:31,,74.0,Sicard Romain,37.0,Direct Energie,",, 0:31",+0:27,,,2,2016,▲37
